Name,Success,AUC,MI,Samples,Time,Error
Path,True,0.572,0.0041,140354.0,48.7s,
VolForce,True,0.626,0.0154,140354.0,45.1s,
Risk,False,,,,,'numpy.ndarray' object has no attribute 'rolling'
VolBurst,True,0.628,0.0096,140354.0,45.0s,
Reversion,True,0.534,0.0010,140354.0,255.4s,
Momentum,True,0.530,0.0000,140354.0,59.2s,
Liquidity,True,0.581,0.0000,140354.0,49.9s,
SMC,True,0.580,0.0049,140354.0,66.5s,
Spectral,True,0.560,0.0000,140354.0,114.8s,
Micro,True,0.592,0.0016,140354.0,49.6s,
Macro,True,0.670,0.0069,140354.0,192.1s,
Meso,True,0.596,0.0070,140354.0,164.7s,
