,stage_name,timestamp,input_data_shape,output_data_shape,processing_time,memory_usage_mb,geometry_metrics,model_metrics,feature_metrics,quality_metrics,performance_scores,stability_scores,integrity_scores
0,OOF_Start,2026-01-22T14:43:17.134730,"[132484, 559]",,0.0,1010.546875,{},{},{},{},{},{},{}
1,TrainBatch_VOLATILITY_SPECIALIST,2026-01-22T14:45:36.611907,"[3607, 616]",,0.0,3845.09375,{},{},{},{},{},{},{}
2,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_20_POS,2026-01-22T14:46:40.693851,"[40386, 616]",,0.0,1789.921875,{},{},{},{},{},{},{}
3,TrainBatch_INVENTORY_SPECIALIST,2026-01-22T14:47:18.835238,"[898, 616]",,0.0,1654.53125,{},{},{},{},{},{},{}
4,TrainBatch_MARKET_FRAGILITY_FRAGILITY_ACCEL_100_POS,2026-01-22T14:47:33.638108,"[42571, 616]",,0.0,1458.65625,{},{},{},{},{},{},{}
5,TrainBatch_RELAXATION_GEOMETRY_RELAXATION_ACCEL_100_POS,2026-01-22T14:48:12.583665,"[41995, 616]",,0.0,2236.125,{},{},{},{},{},{},{}
6,TrainBatch_RELAXATION_GEOMETRY_DECAY_RATE_20_POS,2026-01-22T14:49:11.300510,"[41995, 616]",,0.0,1459.515625,{},{},{},{},{},{},{}
7,TrainBatch_VOLUME_SPECIALIST,2026-01-22T14:49:53.633653,"[3931, 616]",,0.0,2407.359375,{},{},{},{},{},{},{}
8,TrainBatch_META_EWMA_1D_COMPOSITE_SURPRISE_Z_CONTINUOUS_VOL_SURPRISE_Z_100_POS_OHLCV_VOLATILITY_SPIKE_30MIN_INT,2026-01-22T14:50:06.429119,"[12719, 616]",,0.0,1869.625,{},{},{},{},{},{},{}
9,TrainBatch_MOMENTUM_DECAY_SPECIALIST,2026-01-22T14:50:26.084661,"[138, 616]",,0.0,1542.734375,{},{},{},{},{},{},{}
10,TrainBatch_LIQUIDITY_SPECIALIST,2026-01-22T14:50:34.374292,"[2909, 616]",,0.0,1449.546875,{},{},{},{},{},{},{}
11,TrainBatch_INFORMATION_SPECIALIST,2026-01-22T14:50:46.135923,"[5285, 616]",,0.0,1361.5,{},{},{},{},{},{},{}
12,TrainBatch_SURPRISE_Z_CONTINUOUS_VOL_SURPRISE_Z_100_POS,2026-01-22T14:51:03.773233,"[34111, 616]",,0.0,1944.21875,{},{},{},{},{},{},{}
13,TrainBatch_SURPRISE_Z_CONTINUOUS_VOLUME_SURPRISE_Z_20_POS,2026-01-22T14:51:50.578742,"[34111, 616]",,0.0,2273.734375,{},{},{},{},{},{},{}
14,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_PRESSURE_20_POS,2026-01-22T14:52:31.882588,"[40386, 616]",,0.0,2198.75,{},{},{},{},{},{},{}
15,TrainBatch_SURPRISE_Z_CONTINUOUS_RETURN_SURPRISE_Z_20_POS,2026-01-22T14:53:15.311282,"[34111, 616]",,0.0,2050.828125,{},{},{},{},{},{},{}
