,stage_name,timestamp,input_data_shape,output_data_shape,processing_time,memory_usage_mb,geometry_metrics,model_metrics,feature_metrics,quality_metrics,performance_scores,stability_scores,integrity_scores
0,OOF_Start,2026-01-24T02:22:07.594121,"[132484, 583]",,0.0,1828.0625,{},{},{},{},{},{},{}
1,TrainBatch_VOLATILITY_SPECIALIST,2026-01-24T02:24:28.693872,"[3541, 640]",,0.0,4550.9375,{},{},{},{},{},{},{}
2,TrainBatch_META_SUM_4H_COMPOSITE_DERIVED_FLOW_IMBALANCE_PROXY_OHLCV_VOLUME_SURGE_30MIN_INT,2026-01-24T02:25:23.239524,"[12719, 640]",,0.0,1451.390625,{},{},{},{},{},{},{}
3,TrainBatch_VOLATILITY_INNOVATION_SPECIALIST,2026-01-24T02:25:50.037328,"[549, 640]",,0.0,1488.171875,{},{},{},{},{},{},{}
4,TrainBatch_LIQUIDITY_SPECIALIST,2026-01-24T02:26:00.914964,"[3492, 640]",,0.0,1493.453125,{},{},{},{},{},{},{}
5,TrainBatch_MARKET_FRAGILITY_FRAGILITY_ACCEL_100_POS,2026-01-24T02:26:15.756207,"[42571, 640]",,0.0,1180.0625,{},{},{},{},{},{},{}
6,TrainBatch_DISPERSION_SPECIALIST,2026-01-24T02:27:04.534256,"[552, 640]",,0.0,1240.90625,{},{},{},{},{},{},{}
7,TrainBatch_MEAN_REVERSION_RELAXATION_ACCEL_100_POS,2026-01-24T02:27:14.223258,"[41995, 640]",,0.0,1201.71875,{},{},{},{},{},{},{}
8,TrainBatch_VOLUME_SPECIALIST,2026-01-24T02:27:58.840198,"[3554, 640]",,0.0,1028.421875,{},{},{},{},{},{},{}
9,TrainBatch_MEAN_REVERSION_DECAY_RATE_20_POS,2026-01-24T02:28:08.372691,"[41995, 640]",,0.0,2185.84375,{},{},{},{},{},{},{}
10,TrainBatch_INVENTORY_SPECIALIST,2026-01-24T02:28:46.404392,"[3519, 640]",,0.0,1377.546875,{},{},{},{},{},{},{}
11,TrainBatch_INFORMATION_SPECIALIST,2026-01-24T02:28:56.375951,"[3856, 640]",,0.0,2009.03125,{},{},{},{},{},{},{}
12,TrainBatch_EXHAUSTION_SPECIALIST,2026-01-24T02:29:04.074811,"[545, 640]",,0.0,1885.0,{},{},{},{},{},{},{}
13,TrainBatch_MOMENTUM_DECAY_SPECIALIST,2026-01-24T02:29:10.988725,"[178, 640]",,0.0,1993.640625,{},{},{},{},{},{},{}
14,TrainBatch_SURPRISE_Z_CONTINUOUS_VOL_SURPRISE_Z_100_POS,2026-01-24T02:29:17.525384,"[34111, 640]",,0.0,1878.1875,{},{},{},{},{},{},{}
15,TrainBatch_SURPRISE_Z_CONTINUOUS_VOLUME_SURPRISE_Z_20_POS,2026-01-24T02:30:12.176354,"[34111, 640]",,0.0,1050.53125,{},{},{},{},{},{},{}
16,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_100_POS,2026-01-24T02:31:13.332896,"[40386, 640]",,0.0,2218.609375,{},{},{},{},{},{},{}
17,TrainBatch_SURPRISE_Z_CONTINUOUS_RETURN_SURPRISE_Z_20_POS,2026-01-24T02:32:08.088694,"[34111, 640]",,0.0,1734.375,{},{},{},{},{},{},{}
18,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_20_POS,2026-01-24T02:33:01.933058,"[40386, 640]",,0.0,2215.84375,{},{},{},{},{},{},{}
19,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_PRESSURE_20_POS,2026-01-24T02:34:17.567469,"[40386, 640]",,0.0,1415.203125,{},{},{},{},{},{},{}
