,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
atr_state,0.031780127,0.0072962525,0.13842401,241.5,22.07374,2642.1553,1.7269593,0.4571947,6.5232353,0.0005477554,0.00012801205,0.0023438102,9.0,1.0,1.0,0.8452149,0.4107143,0.6666667,0.0,6.5,5.5,0.7217216,1.0
mae_8h,0.031880453,0.0040303157,0.2521796,273.83334,29.807251,2515.6528,1.6349108,0.2651858,10.079474,0.0005554561,8.6767825e-05,0.0035558278,1.0,0.43213734,0.6607254,0.84868354,0.73214287,0.8333333,0.12055793,6.5,2.5,0.6350484,2.0
range_norm_12,0.032148905,0.0076058456,0.13588917,234.66667,29.306807,1879.0326,1.7218661,0.5505729,5.3849783,0.0005501767,0.00016259422,0.0018616555,19.0,0.3633587,0.7960585,0.85796493,0.58928573,0.6666667,0.07906486,8.5,3.8333333,0.55004317,3.0
climax_vol_12,0.031212837,0.0065332665,0.14912008,246.0,18.592113,3254.9285,1.7361736,0.49852267,6.046463,0.000548834,0.00014384044,0.0020941175,12.0,0.30775556,0.76858777,0.8256015,0.6785714,0.6666667,0.0,9.0,3.0,0.5424776,4.0
t_be_proxy,0.029624699,0.0057377517,0.15295586,259.5,23.42897,2874.23,1.5592327,0.31578296,7.6989794,0.0005200719,0.00010208961,0.0026493862,5.0,0.4192411,0.71590364,0.77069354,0.48214287,0.6666667,0.0,8.5,4.8333335,0.52140886,5.0
meta_alignment,0.030778972,0.00566562,0.16720945,250.5,37.1203,1690.4564,1.5475513,0.34835586,6.8749094,0.0005413439,0.00011717959,0.0025008894,4.0,0.17770196,0.7644711,0.8106012,0.5,0.8333333,0.07933098,6.5,4.6666665,0.47828248,6.0
impact_24,0.03045763,0.006508001,0.14254259,246.66667,30.93362,1966.9358,1.6462798,0.3298709,8.216055,0.0005210453,9.622381e-05,0.0028214245,6.0,0.20138714,0.75365585,0.79949117,0.39285713,0.6666667,0.16613021,8.5,5.6666665,0.43690455,7.0
vol_z_30_calm,0.036257077,0.011872588,0.11072361,302.0,43.500957,2096.5974,1.9050815,0.6753063,5.3743544,0.0006524445,0.00021013607,0.0020257533,23.0,0.1027802,0.59024644,1.0,0.35714287,0.6666667,0.18579522,4.5,6.0,0.4345486,8.0
climax_decay,0.03416239,0.008519579,0.1369867,254.33333,38.269512,1690.2605,1.8038146,0.50399,6.4559755,0.00059999846,0.0001627772,0.0022116008,11.0,0.102705516,0.6113737,0.92757875,0.39285713,0.6666667,0.2654992,7.0,5.6666665,0.43295193,9.0
climax_range_12,0.022862839,0.003634622,0.14381395,202.33333,18.408936,2223.8538,1.1771817,0.24521591,5.65117,0.0003971079,7.450926e-05,0.002116444,14.0,0.27291417,0.7477768,0.5369104,0.42857143,0.16666667,0.25907093,14.5,5.3333335,0.34799847,10.0
