feature_a,feature_b,lift,final_pair_score
climax_vol_24,adx_di_minus_14,6.689655742720815,6.689655742720815
jump_rate_10h,G_META_TF_QUAL,5.687316558740727,5.687316558740727
climax_vol_24,cos_dow,5.578442606510469,5.578442606510469
body_ratio_15m,adx_di_minus_14,5.4492828866247,5.4492828866247
rvol_hod_base,range_12h_pct,5.335763462197228,5.335763462197228
pct_extreme,adx_di_minus_14,5.312347826991041,5.312347826991041
trapped_longs_96,climax_vol_24,5.005472080885936,5.005472080885936
clv,adx_di_minus_14,4.941837854354736,4.941837854354736
range_pct,mr_pct,4.8960257078204155,4.8960257078204155
kf_vol_ratio_mean,range_pct,4.722251502055443,4.722251502055443
G_META_EXH,mfe_4h,4.721763841116038,4.721763841116038
mfe_2h,adx_di_minus_14,4.67360678200284,4.67360678200284
wick_ratio,body_pct,4.589695342396245,4.589695342396245
clv_mean_4,range_12h_pct,4.567796496047617,4.567796496047617
ker_24,vol_state,4.551648153535465,4.551648153535465
vol_state,G_META_EXH,4.5412359339690305,4.5412359339690305
range_24h_pct,wick_body_ratio,4.502961801611426,4.502961801611426
ffd_amihud_04,range_12h_pct,4.45086335742042,4.45086335742042
range_24h_pct,kf_score_mean,4.282445558867943,4.282445558867943
wick_body_ratio,range_pct,4.274460325530887,4.274460325530887
rvol_hod_base,adx_di_minus_14,4.216630862317169,4.216630862317169
mkt_rv_ratio_G_VOL_1,cos_dow,4.146891692411004,4.146891692411004
mkt_rv_ratio_G_VOL_0,adx_di_minus_14,4.068630268449479,4.068630268449479
range_pct,impact_12,3.9491915158650865,3.9491915158650865
G_META_TF_QUAL,adx_di_minus_14,3.943689505369541,3.943689505369541
mkt_rv_ratio_G_VOL_0,ffd_amihud_04,3.943034924228077,3.943034924228077
mkt_rv_ratio_G_VOL_1,climax_vol_24,3.929318472506722,3.929318472506722
wick_ratio_4h_max,mfe_4h,3.8528435694996377,3.8528435694996377
range_12h_pct,adx_di_minus_14,3.8352146637839453,3.8352146637839453
reject_dir2h_signed_mag,mfe_8h,3.7903892226068066,3.7903892226068066
reject_dir2h_signed_mag,wick_body_ratio,3.783362704218232,3.783362704218232
climax_vol_24,vol_state,3.7200530981781994,3.7200530981781994
jump_rate_10h,hh_count_24,3.6728707838838535,3.6728707838838535
support_quality_score,tf_bias,3.6706184782912867,3.6706184782912867
wick_ratio_4h_max,vol_state,3.6473804339623976,3.6473804339623976
clv,G_META_TF_QUAL,3.613913102309616,3.613913102309616
range_24h_pct,comp_to_exp,3.563161583937235,3.563161583937235
support_quality_score,dv_z,3.4975021310042713,3.4975021310042713
range_pct,mfe_8h,3.4970450800740656,3.4970450800740656
adx_di_minus_14,mfe_4h,3.468600744048782,3.468600744048782
kf_vol_ratio_mean,vol_state,3.431763766959297,3.431763766959297
support_quality_score,clv,3.4269603755654714,3.4269603755654714
range_pct,mfe_4h,3.4247375994240556,3.4247375994240556
mkt_rv_ratio_G_VOL_1,body_pct,3.418416454978633,3.418416454978633
range_24h_pct,atr_pct_base,3.40400999361515,3.40400999361515
support_quality_score,mfe_4h,3.3772644605531648,3.3772644605531648
atr_pct_base,G_META_TF_QUAL,3.324246850322974,3.324246850322974
wick_ratio_4h_max,tf_bias,3.306953056239884,3.306953056239884
