,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
range_16h_pct,0.04005135,0.0070027136,0.22906984,63.5,11.026484,365.68777,122.147934,27.935555,534.09064,0.06741036,0.015461418,0.29390293,5.0,1.0,0.53846157,0.8366331,0.87058824,1.0,0.0,4.5,1.8333334,0.88497365,1.0
range_24h_pct,0.021078227,0.0015968662,0.2782272,35.833332,3.0776975,417.204,61.914093,10.594806,361.81458,0.039391432,0.005955695,0.260538,3.0,1.0,0.7692308,0.37297904,0.8117647,0.16666667,0.30817264,16.5,2.6666667,0.6679456,2.0
impact_24,0.046736464,0.009522758,0.22937648,62.5,9.17878,425.574,138.2156,38.256187,499.35858,0.07643367,0.020686006,0.28241828,4.0,0.0,0.46153846,1.0,0.90588236,1.0,0.0,3.5,1.3333334,0.5764706,3.0
efficiency,0.044041827,0.005020174,0.38637757,59.333332,6.574361,535.48083,128.73563,23.144264,716.06775,0.07265609,0.012755271,0.41386083,1.0,0.0,0.46153846,0.93415004,0.89411765,1.0,0.0,3.5,1.5,0.5603595,4.0
atr_state,0.04472112,0.008111865,0.2465498,60.5,7.1821537,509.63126,137.02507,24.212858,775.4504,0.07574868,0.013385688,0.42865658,2.0,0.0,0.23076923,0.9507502,0.84705883,1.0,0.0,3.0,2.1666667,0.55191475,5.0
mkt_rv_ratio_G_VOL_0,0.014374414,0.0063060275,0.032766078,27.0,5.5677643,130.93227,35.953236,17.427155,74.17362,0.022487847,0.00980776,0.05156154,40.0,1.0,1.0,0.20915519,0.31764707,0.16666667,0.62709564,26.5,9.666667,0.5275976,6.0
ffd_range_24_06,0.037165355,0.006483988,0.21302685,60.166668,10.040197,360.55347,106.12656,25.389679,443.59937,0.06053213,0.014396654,0.2545132,6.0,0.0,0.23076923,0.76610684,0.87058824,1.0,0.0,6.0,1.8333334,0.5208684,7.0
ffd_range_24_04,0.03373527,0.008296154,0.13718025,56.333332,8.844333,358.81107,101.05466,34.851055,293.01965,0.05604502,0.018429844,0.17043251,7.0,0.0,0.46153846,0.6822845,0.85882354,1.0,0.0,9.0,2.0,0.50116277,8.0
asset_atr_level,0.03174229,0.0110936435,0.09082434,70.833336,15.420945,325.36014,84.12298,30.16086,234.63107,0.05418227,0.018027304,0.16284844,11.5,0.0,0.46153846,0.63358116,0.67058825,0.6666667,0.0,9.0,4.6666665,0.39436334,9.0
gamma_score,0.036546584,0.019363375,0.06897831,65.0,19.45936,217.11917,105.81251,70.126465,159.65852,0.0641282,0.040285807,0.10208125,19.0,0.0,0.46153846,0.7509857,0.5764706,0.6666667,0.0,7.5,6.0,0.39431483,10.0
ffd_cvar_5pct_06,0.025679637,0.0067383023,0.09786496,53.166668,8.05019,351.13388,70.25453,25.630264,192.57307,0.0412744,0.0135937305,0.1253207,11.5,0.0,0.46153846,0.4854256,0.7176471,0.6666667,0.0,10.5,4.0,0.3764969,11.0
vol_expansion_ratio,0.027651275,0.009305441,0.08216623,55.166668,10.122856,300.64252,71.17561,23.43181,216.20047,0.045234144,0.014013692,0.14600918,14.0,0.0,0.23076923,0.5336073,0.6117647,0.6666667,0.0,9.0,5.5,0.35966265,12.0
sin_dow,0.022869898,0.0055992072,0.09341183,63.0,5.656854,701.6267,54.32258,13.527717,218.14047,0.040062882,0.009319919,0.1722155,8.0,0.0,0.46153846,0.41676283,0.69411767,0.5,0.15841529,12.0,4.3333335,0.33980277,13.0
support_quality_score,0.022092924,0.00455268,0.10721098,51.166668,6.9860973,374.74826,59.44332,17.033873,207.44011,0.037500184,0.009681371,0.1452546,9.5,0.0,0.46153846,0.3977756,0.63529414,0.33333334,0.0,15.0,5.1666665,0.28837866,14.0
G_LIQ_GOOD,0.025433075,0.010718943,0.060345624,35.333332,8.993825,138.8113,64.11979,27.067041,151.89497,0.039041176,0.0155423,0.09806872,21.0,0.0,0.0,0.47940025,0.3529412,0.5,0.0,11.5,9.166667,0.25911534,15.0
tfq_dir2h_abs_prod,0.007570198,0.0011667243,0.049118627,34.5,3.4520526,344.79486,17.369167,1.825065,165.30258,0.012675569,0.0017520487,0.0917041,26.0,0.0,0.46153846,0.04287773,0.8235294,0.0,0.4857569,49.5,2.5,0.23874575,16.0
