feature_a,feature_b,lift,final_pair_score
body_pct,coherence_24,11.76424448465255,11.76424448465255
prog_eff_24,ffd_dist_ema_fast_04,10.185222813990737,10.185222813990737
liq_regime,evr_slope,9.579791329231163,9.579791329231163
climax_range_24,coherence_24,9.31357478120068,9.31357478120068
evr_slope,G_META_MR_QUAL,7.607071557363662,7.607071557363662
G_META_MR_QUAL,prog_eff_24,7.551410705888902,7.551410705888902
tfq_x_dir_edge_2h,vov_interaction,7.356194668241067,7.356194668241067
complexity_regime_24h,G_META_MR_QUAL,7.2631391537526255,7.2631391537526255
press_24,tfq_x_dir_edge_2h,6.808024559148997,6.808024559148997
pullback_2,coherence_24,6.406640294508585,6.406640294508585
shannon_entropy_ret_16,wick_ratio_4h_max,6.34444080397535,6.34444080397535
trend_overextension_z,coherence_24,5.797990867579909,5.797990867579909
asset_vol_level,prog_eff_24,5.770955983272325,5.770955983272325
tfq_x_dir_edge_2h,excess_coh,5.74349920923903,5.74349920923903
liq_regime,trend_overextension_z,5.660033455456895,5.660033455456895
pullback_48,coherence_24,5.563872525950971,5.563872525950971
tfq_x_dir_edge_2h,prog_eff_24,5.501613395375025,5.501613395375025
complexity_regime_24h,excess_coh,5.476136639966531,5.476136639966531
wick_ratio_4h_max,ffd_dist_ema_slow_04,5.212892552049462,5.212892552049462
tfq_dir2h_abs_prod,coherence_24,5.206221426253945,5.206221426253945
coherence_24,ffd_dist_ema_slow_04,5.187725884436759,5.187725884436759
climax_range_24,asset_vol_level,5.168644608923042,5.168644608923042
body_ratio,coherence_24,5.1464461840830795,5.1464461840830795
liq_regime,climax_range_24,5.081119220346539,5.081119220346539
shannon_entropy_ret_16,G_META_MR_QUAL,5.030745736382379,5.030745736382379
dist_vwap_96_atr,coherence_24,4.996566306430044,4.996566306430044
complexity_regime_24h,tfq_x_dir_edge_2h,4.9602947716155255,4.9602947716155255
climax_range_24,prog_eff_24,4.884891340393863,4.884891340393863
dn_vol_6,wick_ratio_4h_max,4.80231180888052,4.80231180888052
evr_slope,pullback_2,4.759091268597028,4.759091268597028
dn_vol_6,ffd_dist_ema_slow_04,4.756161691863449,4.756161691863449
tfq_x_dir_edge_2h,climax_range_24,4.738931815670868,4.738931815670868
liq_regime,tfq_x_dir_edge_2h,4.560325386160961,4.560325386160961
vov_interaction,climax_range_24,4.554430246914165,4.554430246914165
impact_24,v_power,4.51437764968139,4.51437764968139
liq_regime,impact_24,4.477373850132794,4.477373850132794
clv_mean_4_G_VOL_1,climax_range_24,4.431964641663208,4.431964641663208
liq_regime,trend_regime,4.403083857674669,4.403083857674669
climax_range_24,ret120h,4.391909279623942,4.391909279623942
liq_regime,v_power,4.361263234684981,4.361263234684981
kf_score_mean,liq_regime,4.3142249815134655,4.3142249815134655
dn_vol_6,coherence_24,4.295608707559463,4.295608707559463
body_pct,impact_24,4.290212378335229,4.290212378335229
shannon_entropy_ret_16,trend_regime,4.216220764935354,4.216220764935354
trend_overextension_z,shannon_entropy_ret_16,4.163890303992177,4.163890303992177
vov_mad_60,G_META_MR_QUAL,4.147445586315528,4.147445586315528
atr_pct_change,range_pct,4.1008786134668105,4.1008786134668105
liq_regime,pullback_4,4.0496126154552705,4.0496126154552705
