,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
gamma_score,0.09146092,0.012877216,0.6496047,94.333336,6.5489607,1358.8076,203.12119,34.84444,1184.0687,0.1356495,0.023402343,0.78627974,2.0,0.0,0.8,1.0,0.9529412,1.0,0.0,1.5,0.6666667,0.9382353,1.0
clv,0.08514942,0.0108384155,0.66895604,94.0,3.3665016,2624.683,178.36842,36.76343,865.40594,0.11012323,0.018316261,0.66209614,1.0,1.0,0.8,0.9264849,0.9647059,1.0,0.0,1.5,0.5,0.90074325,2.0
wick_ratio_4h_max,0.060071725,0.017147893,0.21044055,65.333336,7.110243,600.3233,127.11772,43.41966,372.15668,0.0802028,0.02533989,0.25384834,3.0,0.0,0.8,0.6343848,0.9529412,1.0,0.0,3.0,0.6666667,0.737147,3.0
flow_ratio,0.05159936,0.014338837,0.18568408,63.666668,6.92018,585.7427,104.75257,36.308456,302.21887,0.06877756,0.02094013,0.22589892,5.0,1.0,1.0,0.5357004,0.9647059,1.0,0.0,4.0,0.5,0.68581164,4.0
rsi_G_VOL_1,0.02937001,0.004584663,0.1881485,58.5,5.0579967,676.6018,54.478107,12.466108,238.07463,0.03579642,0.006721779,0.19063163,4.0,0.0,0.8,0.27677727,0.88235295,1.0,0.0,8.0,1.6666666,0.5228157,5.0
dist_vwap_norm_G_VOL_0,0.024979929,0.0068337675,0.091310814,37.333332,8.498365,164.00539,47.677334,15.036728,151.17172,0.030096626,0.009404464,0.096316695,9.0,0.0,0.8,0.22564246,0.7647059,0.6666667,0.0,10.0,3.3333333,0.41527987,6.0
prog_def,0.026466796,0.008875373,0.07892528,58.333332,10.0609255,338.21716,47.066074,16.098358,137.60504,0.031270467,0.0104580615,0.093501285,10.0,0.0,0.8,0.2429612,0.69411767,0.6666667,0.0,8.5,4.3333335,0.40715808,7.0
G_LIQ_GOOD,0.022735791,0.004220853,0.12246723,54.0,6.8799224,423.84198,37.31918,7.35955,189.24,0.02570373,0.004778328,0.13826631,6.0,0.0,0.8,0.19950318,0.8117647,0.5,0.0,12.0,2.6666667,0.38766795,8.0
efficiency,0.026324946,0.009319277,0.07436229,54.333332,11.17537,264.16226,47.551144,16.601063,136.2028,0.0319535,0.011035457,0.092522316,12.0,1.0,0.8,0.24130896,0.5764706,0.6666667,0.0,7.0,6.0,0.3768376,9.0
clv_mean_4_G_VOL_1,0.024126813,0.008386434,0.069410086,50.166668,9.770988,257.56805,44.3437,14.550853,135.13736,0.029149894,0.009695384,0.08764132,13.0,0.0,0.8,0.21570553,0.65882355,0.5,0.0,11.0,4.8333335,0.35834396,10.0
