feature_a,feature_b,lift,final_pair_score
cos_dow,ffd_diff_8_06,7.181115909257374,7.181115909257374
sin_hod,tfq_dir2h_abs_prod,7.169815694015754,7.169815694015754
trend_accel_120h,vortex_diff_34,6.269611669804535,6.269611669804535
ts_24,ffd_diff_8_06,5.441700324995182,5.441700324995182
stage_tf,range_norm_12,5.300421326704034,5.300421326704034
tfq_dir2h_abs_prod,kf_vol_ratio_mean,5.229971660091066,5.229971660091066
wick_body_ratio,vortex_diff_34,5.214874923551962,5.214874923551962
vortex_diff_34,rng_z,5.160047158449856,5.160047158449856
range_norm_12,ffd_diff_8_06,4.910823815231539,4.910823815231539
hurst_proxy_x_regime_trend_48h,kf_atr_mean,4.881127110076504,4.881127110076504
ts_24,trend_slope_48h,4.642384871166117,4.642384871166117
wick_body_ratio,ffd_diff_8_06,4.634548329490934,4.634548329490934
trend_accel_120h,ffd_diff_8_06,4.6059688706362,4.6059688706362
kf_atr_mean,ts_24,4.560738715096379,4.560738715096379
evr_slope,trend_slope_48h,4.406002612350812,4.406002612350812
meta_alignment,asset_vol_level,4.342625993101862,4.342625993101862
trend_accel_120h,range_norm_12,4.262151805932256,4.262151805932256
dir_path_long_2h,ker_24,4.255036996578466,4.255036996578466
adx_di_minus_14,cos_dow,4.209961849858443,4.209961849858443
atr_pct_base,ffd_diff_8_06,4.0836582772066645,4.0836582772066645
sin_hod,vov_mad_60,3.9821906867234076,3.9821906867234076
hh_count_24,adx_di_minus_14,3.980924735641716,3.980924735641716
kf_atr_mean,slope,3.8671642156662607,3.8671642156662607
impact_z,adx_di_minus_14,3.798077440940129,3.798077440940129
meta_alignment,ts_24,3.786761335700059,3.786761335700059
vortex_diff_34,ker_24,3.757401219776615,3.757401219776615
cumulative_delta_stall,rng_z,3.628530818840212,3.628530818840212
ker_24,ffd_diff_8_06,3.6216199527654815,3.6216199527654815
meta_alignment,cos_dow,3.5559378020824743,3.5559378020824743
atr_pct,trend_slope_48h,3.485856215166703,3.485856215166703
dir_path_long_2h,range_norm_12,3.482296733650741,3.482296733650741
tfq_dir2h_abs_prod,ffd_diff_8_06,3.355176933158584,3.355176933158584
kf_atr_mean,vortex_diff_34,3.3535805429053416,3.3535805429053416
stage_tf,ffd_diff_8_06,3.353133241999362,3.353133241999362
dir_path_long_2h,kf_vol_ratio_mean,3.351220022820427,3.351220022820427
range_norm_12,ts_24,3.280323899240204,3.280323899240204
tfq_dir2h_abs_prod,ts_24,3.2520314973168047,3.2520314973168047
meta_alignment,trend_slope_48h,3.243106287741227,3.243106287741227
hurst_proxy_x_regime_trend_48h,ffd_diff_8_06,3.2104960053953464,3.2104960053953464
slope,comp_to_exp,3.199953502582968,3.199953502582968
atr_pct,hurst_proxy_x_regime_trend_48h,3.1995211172212796,3.1995211172212796
pullback_120,trend_slope_48h,3.1798877599220168,3.1798877599220168
stage_tf,trapped_longs_96,3.170131387929497,3.170131387929497
wick_body_ratio,ker_24,3.1449174282555594,3.1449174282555594
vov_mad_60,rng_z,3.142752482501213,3.142752482501213
meta_alignment,tfq_dir2h_abs_prod,3.13464978832515,3.13464978832515
cumulative_delta_stall,trapped_longs_12,3.1203532825992006,3.1203532825992006
rvol_hod_base,atr_pct_base,3.1083111548491513,3.1083111548491513
