,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
range_16h_pct,0.05723445,0.0062404396,0.52492815,84.333336,7.498148,948.5157,265.99088,55.16383,1282.564,0.16200538,0.030206341,0.8688819,1.0,0.4,0.2,1.0,0.95,1.0,0.0,1.5,0.6666667,0.9375,1.0
vol_expansion_ratio,0.053592235,0.00890998,0.3223495,70.5,7.99479,621.6861,233.87102,29.22278,1871.6785,0.14449032,0.016858384,1.2384017,2.0,0.4,0.0,0.9262442,0.925,1.0,0.0,2.0,1.0,0.89068437,2.0
dist_from_high_48h,0.04005553,0.0073735546,0.21759455,64.666664,6.3683243,656.6528,183.77293,45.23143,746.65985,0.114977755,0.02807831,0.47082192,3.0,1.0,1.0,0.6521224,0.9375,1.0,0.0,3.5,0.8333333,0.74304235,3.0
gamma_score,0.043307215,0.018588062,0.1008989,63.833332,12.889487,316.1254,216.06091,122.0663,382.43414,0.12935643,0.0680914,0.24574447,9.0,0.2,0.2,0.7179699,0.65,0.8333333,0.0,3.0,4.6666665,0.6823834,4.0
ffd_range_24_05,0.034056313,0.0073556667,0.15767875,54.833332,6.890009,436.3847,163.9291,55.50887,484.1163,0.096403144,0.02959685,0.31400526,5.0,0.2,0.2,0.5306367,0.925,1.0,0.0,5.0,1.0,0.67310023,5.0
pullback_48,0.034390967,0.009526606,0.1241511,61.5,7.112196,531.7978,160.72797,56.10454,460.45255,0.10101794,0.03400739,0.3000708,7.0,0.6,0.2,0.5374136,0.8375,1.0,0.0,5.0,2.1666667,0.6549525,6.0
ret48h,0.026313629,0.0039821323,0.17387848,55.166668,3.3374975,911.8692,102.31332,14.861924,704.3512,0.07094293,0.0074471645,0.6758142,4.0,0.4,0.4,0.3738454,0.7875,0.6666667,0.0,7.5,2.8333333,0.50249,7.0
dist_from_high_120h,0.02184657,0.0029200604,0.16344616,44.333332,4.606758,426.6437,95.34014,23.73429,382.97934,0.059339643,0.014019996,0.25115508,6.0,0.0,0.0,0.28338632,0.7875,0.5,0.0,13.0,2.8333333,0.42773747,8.0
impact_24,0.024723774,0.007926859,0.07711314,49.666668,8.459052,291.61398,109.85389,52.222847,231.08424,0.07011167,0.029360149,0.1674258,12.5,0.0,0.0,0.34165043,0.625,0.5,0.0,15.0,5.0,0.41915774,9.0
cvar_5pct,0.023036888,0.0076376386,0.0694846,45.166668,8.989191,226.9423,103.58345,49.28759,217.69235,0.06132912,0.02681823,0.14025016,18.5,0.0,0.0,0.30749056,0.5625,0.5,0.0,13.0,5.8333335,0.38474482,10.0
