,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
range_16h_pct,0.06371939,0.007348614,0.55250704,88.0,6.708204,1154.4073,265.8242,44.094048,1602.5406,0.16039231,0.025091557,1.0252731,1.0,1.0,1.0,1.0,0.9782609,1.0,0.0,1.0,0.33333334,0.9445652,1.0
dist_from_high_48h,0.04975032,0.0037686315,0.6567621,78.0,5.773503,1053.7797,208.9198,40.780117,1070.3127,0.12912577,0.023322018,0.7149238,2.0,0.33333334,0.33333334,0.7597812,0.9673913,1.0,0.0,2.5,0.5,0.80972755,2.0
pullback_48,0.045871325,0.009673887,0.21751119,67.333336,9.213516,492.07898,200.2151,59.039032,678.9761,0.120538935,0.034829002,0.41717058,6.0,0.6666667,0.6666667,0.69307613,0.9130435,1.0,0.0,3.5,1.3333334,0.7594527,3.0
ffd_range_24_05,0.03861036,0.00541734,0.27518302,57.333332,5.2493386,626.1953,165.38574,42.187004,648.3618,0.09633672,0.022104768,0.41985345,4.0,0.33333334,0.0,0.56821316,0.9347826,1.0,0.0,5.0,1.0,0.6962129,4.0
vol_expansion_ratio,0.039442718,0.010317676,0.15078281,56.666668,4.5704365,702.58307,156.16353,42.0035,580.59564,0.09373,0.023860669,0.36819226,7.5,0.0,0.0,0.58252674,0.8695652,1.0,0.0,4.0,2.0,0.687781,5.0
pullback_120,0.027162971,0.0025144748,0.29343185,52.333332,2.6874192,1019.1107,114.33901,22.540373,579.9997,0.07000954,0.01176957,0.41644126,5.0,0.0,0.0,0.3713584,0.9347826,1.0,0.11861274,8.5,1.0,0.59387344,6.0
dist_from_high_120h,0.02742269,0.0040460126,0.18586297,52.333332,7.7172246,354.89154,115.007744,29.309925,451.2731,0.06941178,0.016347084,0.29473117,7.5,0.6666667,0.6666667,0.37582466,0.92391306,1.0,0.0,9.5,1.1666666,0.5876819,7.0
efficiency,0.030959582,0.0065317405,0.1467443,58.833332,3.578485,967.26996,120.54806,37.40375,388.51276,0.07467656,0.020859383,0.26734194,9.0,0.0,0.0,0.43664673,0.82608694,0.8333333,0.0,7.5,2.6666667,0.57167745,8.0
kf_score_mean,0.02646571,0.00312691,0.22400193,63.833332,4.0585985,1003.9659,95.098656,9.317404,970.6303,0.062969595,0.0044576665,0.88951683,3.0,0.6666667,0.33333334,0.35936797,0.8369565,0.8333333,0.0,9.5,2.5,0.5318915,9.0
atr_state,0.02788433,0.0063524097,0.12240015,49.666668,7.824463,315.2648,113.514725,37.596066,342.73782,0.069413275,0.020811353,0.23151802,10.0,0.0,0.0,0.38376322,0.7826087,0.6666667,0.0,8.0,3.3333333,0.506722,10.0
range_24h_pct,0.022082232,0.0041332194,0.11797704,32.833332,5.785518,186.3321,88.274284,24.61941,316.51242,0.059206396,0.014127794,0.24812067,11.0,0.0,0.0,0.28398758,0.8369565,0.5,0.09906876,13.5,2.5,0.44538575,11.0
impact_24,0.021330804,0.00463101,0.09825139,44.666668,4.606758,433.08353,83.15581,24.845066,278.3204,0.051758092,0.013157754,0.20359857,15.0,0.0,0.0,0.27106565,0.6847826,0.33333334,0.33651814,13.5,4.8333335,0.3871077,12.0
range_12h_pct,0.021143928,0.0040737055,0.109744236,37.5,4.7169905,298.1244,85.926994,17.918972,412.04642,0.05642364,0.011439996,0.27828923,12.0,0.0,0.0,0.26785207,0.76086956,0.16666667,0.12516086,17.5,3.6666667,0.36879408,13.0
