feature_a,feature_b,lift,final_pair_score
ret120h,range_norm_12,12.074811331072954,12.074811331072954
impact_z,liq_score,10.201342281879196,10.201342281879196
trend_accel_120h,trapped_longs_12,8.077861610523659,8.077861610523659
range_norm_12,hh_count_24,7.510456390332084,7.510456390332084
impact_z,slope,7.364818155760509,7.364818155760509
rvol_hod_base,liq_score,6.503183850426771,6.503183850426771
body_pct,trapped_longs_12,6.276828102577757,6.276828102577757
dv_z,tf_qual,6.261355695317959,6.261355695317959
rvol_hod_base,mkt_rv_ratio,6.132274956223637,6.132274956223637
mkt_rv_ratio,slope,5.808133420392865,5.808133420392865
wick_ratio_4h_max,amihud_illiq,5.786908393932901,5.786908393932901
impact_z,rng_z,5.720497251120296,5.720497251120296
impact_z,impact_12,6.787722963201029,5.4301783705608235
stage_tf,slope,5.328005328005328,5.328005328005328
impact_12,prog_eff_24,5.259997005944268,5.259997005944268
range_norm_12,vov_mad_60,5.184301412872841,5.184301412872841
impact_12,cos_dow,5.175202156334233,5.175202156334233
meta_alignment,prog_eff_24,5.174180327868852,5.174180327868852
impact_12,liq_score,5.166331974045023,5.166331974045023
vov_mad_60,dir_path_risk_skew_2h,5.11218551607482,5.11218551607482
impact_12,rvol_hod_base,5.089982693964361,5.089982693964361
trend_overextension_z,rvol_hod_base,5.07399577167019,5.07399577167019
ts_24,slope,4.994910447744493,4.994910447744493
meta_alignment,impact_12,4.992137246569348,4.992137246569348
trend_overextension_z,range_norm_12,4.950239777239211,4.950239777239211
impact_z,prog_eff_24,4.935168789627006,4.935168789627006
evr_slope,wick_ratio_4h_max,4.9314840268232745,4.9314840268232745
ffd_cvar_5pct_06,trend_accel_120h,4.810707425142627,4.810707425142627
trend_pct_base,tf_qual,4.709206498704968,4.709206498704968
wick_ratio_4h_max,cos_dow,4.65315669069829,4.65315669069829
trend_overextension_z,prog_eff_24,4.576576384818237,4.576576384818237
trend_overextension_z,dir_path_risk_skew_2h,4.54907034946074,4.54907034946074
prog_eff_24,slope,4.428358526719182,4.428358526719182
tf_bias,liq_score,4.3638146410477745,4.3638146410477745
impact_12,ffd_amihud_04,4.323193722618912,4.323193722618912
atr_pct_base,wick_ratio_4h_max,4.295347771745709,4.295347771745709
asset_vol_level,slope,4.267425320056899,4.267425320056899
prog_eff_24,dir_path_risk_skew_2h,4.251821330512191,4.251821330512191
range_24h_pct,mkt_rv_ratio,4.238536469470183,4.238536469470183
rvol_hod_base,vov_mad_60,4.230660253809653,4.230660253809653
pullback_120,stall_x_flow,4.161032322216665,4.161032322216665
atr_pct_base,amihud_illiq,4.158521869122594,4.158521869122594
prog_eff_24,amihud_illiq,4.114056017775414,4.114056017775414
impact_z,mkt_rv_ratio,4.093623759731306,4.093623759731306
ts_24,dir_path_risk_skew_2h,4.069978447677274,4.069978447677274
asset_vol_level,impact_12,4.018129313509408,4.018129313509408
asset_vol_level,trend_pct_base,4.01035150559564,4.01035150559564
dv_z,amihud_illiq,3.9939281497723056,3.9939281497723056
