,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
mae_4h,0.120147586,0.0049584094,2.9113052,133.66667,8.359958,2137.1853,12087.401,504.85,289403.3,5.858554,0.22849916,150.2091,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.95000005,1.0
mfe_4h,0.080642685,0.0048217284,1.3487368,109.666664,3.8586123,3116.866,7984.171,425.49405,149818.75,4.059469,0.1929706,85.39793,2.0,0.33333334,0.4117647,0.66825205,0.96153843,1.0,0.0,2.0,0.33333334,0.75792325,2.0
dir_path_long_2h,0.07185846,0.006860313,0.75268257,81.166664,7.289643,903.75183,6983.6924,364.97302,133631.69,3.2960582,0.19064711,56.984867,4.0,0.0,0.0,0.5944852,0.9230769,1.0,0.0,4.0,0.6666667,0.70773613,3.0
mae_8h,0.06781804,0.0012965995,3.5471907,102.333336,3.9015667,2684.0786,6214.206,433.5981,89060.26,2.9910944,0.18047588,49.572533,3.0,0.14285715,0.0,0.5605552,0.9423077,1.0,0.0,5.0,0.5,0.69388235,4.0
mfe_2h,0.07098451,0.008831467,0.5705509,113.666664,8.339997,1549.1744,6471.7495,512.7328,81686.875,3.2852974,0.23659799,45.618225,7.0,0.23809524,0.11764706,0.58714616,0.86538464,1.0,0.0,5.5,1.1666666,0.6892766,5.0
mae_2h,0.06446477,0.005577789,0.7450456,97.5,8.281506,1147.8892,6065.615,283.74182,129666.086,2.9897206,0.13583334,65.80438,5.0,0.04761905,0.05882353,0.5323957,0.96153843,1.0,0.0,7.0,0.33333334,0.68320227,6.0
accept_dir2h_abs_prod,0.030238314,0.0020012576,0.4568905,55.0,6.658328,454.31827,2718.1648,41.25741,179081.06,1.2996626,0.018973142,89.02706,6.0,0.0,0.0,0.2449742,0.9807692,1.0,0.0,10.0,0.16666667,0.5299281,7.0
mfe_8h,0.030677872,0.004785873,0.1966479,74.5,9.48244,585.3188,2638.4878,320.88773,21694.87,1.3408059,0.1655665,10.858238,8.5,0.04761905,0.05882353,0.24866545,0.88461536,1.0,0.0,9.0,1.0,0.50791985,8.0
kf_innov_var,0.045602556,0.018435525,0.11280357,66.166664,23.447933,186.71274,4182.3447,1798.8926,9723.766,1.9966468,0.8496382,4.692113,16.0,0.0,0.0,0.3739976,0.59615386,0.8333333,0.0,8.0,3.5,0.47973716,9.0
reject_dir2h_abs_prod,0.029444572,0.005087226,0.17042346,52.5,6.370505,432.65802,2621.0852,327.29895,20990.254,1.2432201,0.13868985,11.144262,10.0,0.0,0.0,0.23830864,0.86538464,0.8333333,0.0,11.0,1.1666666,0.47241592,10.0
dir_path_short_2h,0.029665511,0.0049527036,0.17768931,82.666664,8.034647,850.53864,2339.2131,356.59448,15344.932,1.2296498,0.16445719,9.194118,11.0,0.0,0.0,0.24016401,0.8076923,0.8333333,0.113192715,11.5,1.6666666,0.46467292,11.0
t_trail_proxy,0.02588312,0.0019265134,0.34774524,61.666668,4.229526,899.1026,2153.0935,264.19916,17546.654,1.0769821,0.12018271,9.65106,8.5,0.04761905,0.05882353,0.20840085,0.88461536,0.5,0.1254544,12.5,1.0,0.41704702,12.0
is_trending,0.06277791,0.027697556,0.1422893,68.0,27.398296,168.7696,5953.2593,2649.2793,13377.713,2.744365,1.2169688,6.1887693,13.0,0.0,0.0,0.51823,0.0,0.8333333,0.0,3.0,8.666667,0.41002652,13.0
mrq_x_dir_edge_2h,0.013547832,0.0012817896,0.14319336,46.0,4.1231055,513.2054,1166.8029,106.21566,12817.593,0.5862253,0.038847648,8.8463545,12.0,0.0,0.0,0.10481353,0.9423077,0.0,0.0,17.0,0.5,0.29322436,14.0
vol_z_30_calm,0.017381974,0.004293351,0.0703723,55.0,6.3245554,478.2945,1447.4221,393.50513,5324.0244,0.71148026,0.19627412,2.5790672,21.0,0.0,0.0,0.13701127,0.8076923,0.0,0.0,14.0,1.6666666,0.27727926,15.0
kf_atr_mean,0.013981381,0.002181446,0.08960985,55.0,4.6547465,649.87427,1181.9938,251.34335,5558.5684,0.5904354,0.1177414,2.9608445,18.5,0.0,0.0,0.108454324,0.86538464,0.0,0.0,15.0,1.1666666,0.27599603,16.0
tfq_x_dir_edge_2h,0.010311999,0.0011951514,0.08897394,36.666668,3.9860868,337.28427,872.43195,106.0154,7179.4995,0.45936394,0.06211543,3.397147,18.5,0.04761905,0.05882353,0.07764017,0.88461536,0.0,0.11637015,22.0,1.0,0.26967445,17.0
tfq_dir2h_signed_mag,0.011963031,0.0020408137,0.070126005,48.5,4.7871356,491.369,936.813,124.01082,7076.9517,0.52396744,0.054682314,5.0206704,20.0,0.0,0.0,0.09150494,0.8269231,0.0,0.18296342,20.0,1.5,0.26620668,18.0
mrq_dir2h_signed_mag,0.012538138,0.0016053636,0.09792479,42.166668,3.9334745,452.02472,1040.6616,79.877426,13557.9795,0.5114507,0.033575512,7.7908506,14.0,0.0,0.0,0.09633448,0.84615386,0.0,0.0,18.5,1.3333334,0.26452243,19.0
dir_path_edge_2h,0.011094832,0.0014042585,0.08765857,44.833332,4.597705,437.1807,844.45844,97.01542,7350.482,0.46862972,0.045119144,4.86742,17.0,0.0,0.0,0.08421411,0.8269231,0.0,0.0,21.5,1.5,0.25304854,20.0
clv_mean_4,0.012850626,0.0014595343,0.11314472,60.0,3.4156504,1053.972,985.1842,120.00278,8088.0454,0.52899295,0.06440348,4.3450065,15.0,0.0,0.0,0.09895865,0.7692308,0.0,0.0,16.5,2.0,0.24673495,21.0
z_vwap_24,0.0010665258,0.00026884925,0.0042309114,21.333334,3.5901098,126.76802,78.869804,21.468298,289.7503,0.04830263,0.012214537,0.19101372,57.0,0.0,0.0,0.0,0.84615386,0.0,0.6324611,59.0,1.3333334,0.24316151,22.0
vol_z_x_regime_trend,0.0017446211,0.00048201333,0.0063145612,25.166666,1.9507834,324.67014,114.30045,32.047783,407.65985,0.069663115,0.018772623,0.25851208,53.0,0.0,0.0,0.0056944005,0.78846157,0.0,0.6530336,52.5,1.8333334,0.232899,23.0
time_since_peak_12h,0.0034072152,0.00042056484,0.027603628,41.333332,5.9066815,289.2393,239.96823,14.674161,3924.2278,0.14380871,0.010635439,1.9445314,25.0,0.0,0.0,0.019656269,0.75,0.0,0.22065139,42.0,2.1666667,0.20934351,24.0
meta_abs_net_x_breakout,0.007847875,0.001298537,0.047429636,45.666668,3.091206,674.63776,603.2014,116.403206,3125.7898,0.32033733,0.0558712,1.8366528,22.0,0.0,0.0,0.05694734,0.71153843,0.0,0.0,25.0,2.5,0.20920564,25.0
z_vwap_12,0.0012837035,0.00034759907,0.0047407914,26.333334,4.818944,143.89966,86.13142,25.926054,286.1454,0.052541047,0.014730374,0.1874061,56.0,0.0,0.0,0.0018237801,0.6923077,0.0,0.6024289,57.5,2.6666667,0.20420146,26.0
ffd_amihud_04,0.001385953,0.00046736398,0.0041099996,22.833334,6.1214557,85.169464,106.29864,34.237022,330.03458,0.06049293,0.02028855,0.18036747,58.0,0.0,0.0,0.0026824353,0.6923077,0.0,0.55558914,57.0,2.6666667,0.20233172,27.0
ft_2,0.0032952707,0.00058212364,0.018653786,26.5,4.5368857,154.78679,253.19121,50.24939,1275.7524,0.13163881,0.026758863,0.6475901,34.0,0.0,0.0,0.0187162,0.71153843,0.0,0.26823282,41.0,2.5,0.20159017,28.0
atr_state,0.007848356,0.0033637583,0.018311866,54.833332,6.5933466,456.01947,576.5225,236.29524,1406.6226,0.31704918,0.11020734,0.9121006,31.5,0.0,0.0,0.056951374,0.63461536,0.0,0.19672981,29.0,3.1666667,0.19981359,29.0
G_META_MR_QUAL,0.0010949943,0.0005619816,0.002133544,12.5,2.9860787,52.32615,71.587616,31.800383,161.15488,0.041377347,0.017886423,0.0957198,60.0,0.0,0.0,0.00023906771,0.59615386,0.0,1.0,57.5,3.5,0.19916995,30.0
climax,0.0013752913,0.00029432322,0.0064263563,28.333334,2.1343749,376.11847,96.59326,20.625689,452.361,0.058487438,0.013184012,0.2594643,52.0,0.0,0.0,0.0025929015,0.75,0.0,0.20388505,56.5,2.1666667,0.19912036,31.0
vol_expansion_ratio,0.0053483415,0.0013980288,0.020460777,33.166668,5.1451163,213.80037,465.4336,144.81854,1495.8612,0.22864343,0.06615005,0.7902915,30.0,0.0,0.0,0.03595715,0.63461536,0.0,0.32475096,32.0,3.1666667,0.19466782,32.0
signed_vol,0.0067143864,0.0014409951,0.03128601,38.5,4.1932487,353.4849,551.1791,110.191734,2756.998,0.27423885,0.057476483,1.308482,24.0,0.0,0.0,0.047428705,0.65384614,0.0,0.0,27.0,3.0,0.18954733,33.0
ffd_atr_expansion_06,0.0021913738,0.0006120492,0.007845971,25.666666,3.8151743,172.67305,149.19406,45.693542,487.13376,0.09237677,0.026529197,0.32166326,48.0,0.0,0.0,0.00944607,0.59615386,0.0,0.69196564,48.5,3.5,0.18883207,34.0
mr_potential,0.006450259,0.0016555547,0.025131058,41.833332,5.7276134,305.54224,507.93405,153.14186,1684.6927,0.2560317,0.07427247,0.88259107,28.0,0.0,0.0,0.04521066,0.65384614,0.0,0.0,27.5,3.0,0.1883274,35.0
vol_scale,0.00946596,0.0025042596,0.035780795,30.833334,1.5723302,604.64044,793.96765,245.65129,2566.177,0.38237035,0.109999985,1.3291556,23.0,0.0,0.0,0.07053543,0.59615386,0.0,0.0,24.0,3.5,0.18783295,36.0
ffd_dist_ema_fast_04,0.002032996,0.00056371756,0.0073318146,29.166666,4.633813,183.58412,138.98515,37.066647,521.1389,0.08479,0.024544569,0.29290977,51.0,0.0,0.0,0.008116069,0.59615386,0.0,0.6397243,49.5,3.5,0.18548852,37.0
amihud_z,0.006212369,0.0020245388,0.019062873,20.833334,4.297932,100.98525,454.85883,160.15338,1291.8651,0.23664989,0.07942764,0.7050842,31.5,0.0,0.0,0.043212947,0.5192308,0.0,0.6282271,27.5,4.1666665,0.18498617,38.0
impact_12,0.00764812,0.0064592026,0.009055877,43.666668,7.133645,267.2936,622.50116,481.06195,805.5255,0.30259973,0.21725126,0.4214779,45.0,0.0,0.0,0.055269867,0.46153846,0.16666667,0.14045054,35.5,4.6666665,0.17780557,39.0
spike_score,0.0019208879,0.0006122216,0.006026919,19.833334,3.5316033,111.38315,132.04155,43.790524,398.1449,0.070245326,0.022668056,0.21768102,55.0,0.0,0.0,0.0071746255,0.5576923,0.0,0.6335962,51.0,3.8333333,0.17504893,40.0
dist_from_high_48h,0.0024841505,0.0004434399,0.013916211,36.166668,5.9278064,220.65967,177.19293,29.826353,1052.6709,0.10507855,0.016380813,0.67405087,39.0,0.0,0.0,0.0119047025,0.63461536,0.0,0.17790751,48.5,3.1666667,0.17409681,41.0
dir_path_risk_long_2h,0.002547327,0.00046087685,0.0140794115,24.833334,2.67187,230.81006,189.73274,25.37269,1418.7898,0.112615846,0.01594231,0.7955138,35.0,0.0,0.0,0.012435237,0.5576923,0.0,0.5343271,46.5,3.8333333,0.1729788,42.0
shock_12h,0.002356325,0.00037044164,0.014988237,34.333332,3.3499587,351.87833,155.04352,23.938934,1004.1588,0.10090864,0.014565893,0.69906825,38.0,0.0,0.0,0.010831271,0.59615386,0.0,0.27202147,48.5,3.5,0.16859674,43.0
t_be_proxy,0.0025199023,0.00038517962,0.016485576,22.833334,3.8042374,137.04747,230.50378,35.935463,1478.5392,0.11410292,0.016730124,0.77820563,33.0,0.0,0.0,0.012204934,0.59615386,0.0,0.24148959,46.0,3.5,0.16782567,44.0
dist_from_low_event_12h,0.004871417,0.0015130165,0.015684364,31.0,5.6273146,170.77419,357.54245,126.90205,1007.3644,0.20909795,0.07124155,0.6137142,36.0,0.0,0.0,0.03195211,0.5576923,0.0,0.13798076,32.5,3.8333333,0.16389577,45.0
