feature_a,feature_b,lift,final_pair_score
ll_count_12,rng_z,14.512071757215681,14.512071757215681
vol_expansion_ratio,rng_z,14.292409577177787,14.292409577177787
time_since_peak_12h,kf_innov_var,13.65075408201421,13.65075408201421
vol_expansion_ratio,trend_slope_48h,9.035660609372865,9.035660609372865
z_vwap_24,trend_slope_48h,8.641829213257784,8.641829213257784
ts_12,rng_z,8.33349769197561,8.33349769197561
hh_count_12,ll_count_12,8.217666676277522,8.217666676277522
kf_ret1h_mean,kf_innov_var,9.980766395255491,7.984613116204393
rng_z,kf_innov_var,7.7685313882761005,7.7685313882761005
ts_12,bb_pos_24,7.560568409692013,7.560568409692013
kf_ret1h_mean,z_vwap_12,7.394172838976967,7.394172838976967
kf_vol_ratio_mean,trend_slope_48h,7.104079805320721,7.104079805320721
tfq_x_dir_edge_2h,ll_count_12,7.004381248870208,7.004381248870208
ts_12,kf_innov_var,6.985807822706719,6.985807822706719
z_vwap_12,ll_count_12,6.59365429014886,6.59365429014886
hh_count_12,trend_age_hours,5.929481285474742,5.929481285474742
trend_slope_48h,signed_vol,5.589958158995815,5.589958158995815
t_be_proxy,rng_z,5.530987988415705,5.530987988415705
z_vwap_12,rng_z,5.366312562760955,5.366312562760955
trend_slope_48h,time_since_peak_12h,5.351300489183153,5.351300489183153
kf_score_mean,trend_slope_48h,5.252129554973487,5.252129554973487
bb_pos_24,trend_age_hours,5.201916225143867,5.201916225143867
z_vwap_12,bb_pos_24,5.090161809927091,5.090161809927091
impact_12,z_vwap_12,5.074979411576495,5.074979411576495
ts_12,ffd_cvar_5pct_06,5.015450206568696,5.015450206568696
kf_vol_ratio_mean,ll_count_12,4.855356734061368,4.855356734061368
z_vwap_12,rvol_hod_base,4.821694096370688,4.821694096370688
hh_count_12,trend_slope_48h,4.820541969923511,4.820541969923511
kf_ret1h_mean,hh_count_12,4.775071482328319,4.775071482328319
ll_count_12,bb_pos_12,4.725664468916979,4.725664468916979
tfq_x_dir_edge_2h,vol_expansion_ratio,4.636373705842056,4.636373705842056
rvol_hod_base,bb_pos_24,4.587435871393294,4.587435871393294
signed_vol,kf_innov_var,4.5572680871342754,4.5572680871342754
tfq_x_dir_edge_2h,rng_z,4.55687480096402,4.55687480096402
z_vwap_24,bb_pos_12,4.5201260799187635,4.5201260799187635
tfq_x_dir_edge_2h,time_since_peak_12h,4.464456587256519,4.464456587256519
z_vwap_12,ret120h,4.397508204453003,4.397508204453003
ts_12,hh_count_12,4.324079677920165,4.324079677920165
kf_score_mean,ll_count_12,4.294323490098556,4.294323490098556
vw_breakout,hh_count_12,4.2774541074537575,4.2774541074537575
