,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
rvol_hod_base,0.07128879,0.009366754,0.54256696,260.66666,18.318176,3709.273,53.90508,8.971482,323.88824,0.015302148,0.002521793,0.092852876,2.0,0.46589163,0.22610176,0.7716928,0.9047619,1.0,0.0,3.0,0.6666667,0.6935911,1.0
atr_state,0.07962166,0.013002649,0.4875628,254.33333,25.47984,2538.6912,62.102898,12.6569,304.71677,0.017444499,0.0036082647,0.084337085,3.0,0.33065286,0.29042014,0.87091273,0.85714287,1.0,0.0,2.0,1.0,0.65419674,2.0
t_be_proxy,0.0904629,0.01199226,0.6824015,289.66666,24.122374,3478.38,68.817795,7.9413614,596.35736,0.019600438,0.0022755447,0.16882867,1.0,0.1130187,0.28258854,1.0,0.88095236,1.0,0.0,1.0,0.8333333,0.6097946,3.0
impact_24,0.06843814,0.011170244,0.41930863,223.0,25.006666,1988.6298,50.738415,9.368052,274.80493,0.014132138,0.002657715,0.07514626,5.0,0.21356454,0.2375365,0.73775005,0.8095238,1.0,0.07531824,3.5,1.3333334,0.5784445,4.0
signed_vol,0.0609991,0.0076549887,0.48607388,220.83333,18.297693,2665.2192,46.32176,7.0835423,302.91412,0.013435619,0.0020964763,0.086104415,4.0,0.16821954,0.40575615,0.64917296,0.8333333,1.0,0.1735405,6.0,1.1666666,0.55572176,5.0
second_leg_accel_2h,0.027025474,0.0071287244,0.1024554,208.66667,33.939487,1282.9238,17.336208,4.7388306,63.42158,0.0058733113,0.001521066,0.022678692,13.0,1.0,1.0,0.24464725,0.54761904,0.0,0.09590285,11.0,3.1666667,0.5406293,6.0
kf_vol_ratio_mean,0.060047965,0.008700444,0.4144338,232.0,18.266544,2946.5889,44.50027,8.367391,236.66568,0.012633929,0.002368458,0.06739243,6.0,0.0,0.15639114,0.6378478,0.88095236,1.0,0.07124652,5.0,0.8333333,0.50136995,7.0
t_trail_proxy,0.045596223,0.008121808,0.25597942,188.0,20.20726,1749.0743,33.39763,5.3362684,209.02278,0.0093959095,0.0014980983,0.058930118,7.0,0.11053762,0.3202497,0.46577013,0.88095236,0.8333333,0.096657716,7.0,0.8333333,0.48191318,8.0
trapped_longs_96,0.02488903,0.007750651,0.07992411,175.5,21.171915,1454.7692,15.909134,4.7368746,53.43197,0.0052231196,0.0015085788,0.018083893,17.0,0.19596262,0.2855329,0.2192085,0.52380955,0.33333334,0.22162181,13.0,3.3333333,0.3044621,9.0
impact_12,0.026338995,0.005609446,0.12367399,143.5,17.356554,1186.4249,18.301992,5.1068544,65.59085,0.0052850707,0.0014030191,0.019908477,11.0,0.14124158,0.24658433,0.2364733,0.6904762,0.16666667,0.069189146,11.5,2.1666667,0.29780772,10.0
dist_from_high_48h,0.018016549,0.003605586,0.09002588,131.83333,12.428685,1398.3802,12.090763,3.195808,45.74322,0.0038285013,0.0009408718,0.015578554,21.0,0.23819731,0.5094897,0.13737752,0.5,0.0,0.8676364,20.5,3.5,0.2792264,11.0
