,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
dir_path_risk_long_2h,0.12871087,0.0050977585,3.2497592,124.666664,2.6874192,5783.1606,0.09360734,0.0046285186,1.8931183,4.2927917e-05,2.1728133e-06,0.0008481199,2.0,0.41217935,0.41505563,1.0,1.0,1.0,0.0,1.0,0.0,0.7442628,1.0
mae_4h,0.04426539,0.009024221,0.21712951,82.0,8.185352,821.46735,0.03028993,0.006348775,0.14451289,1.48140425e-05,2.9769658e-06,7.371797e-05,11.0,1.0,0.60385996,0.32575953,0.84210527,0.6666667,0.0,8.0,1.0,0.7256782,2.0
mae_2h,0.06303846,0.0052170777,0.7616999,71.333336,5.9628477,853.3581,0.051435754,0.003144064,0.84147036,2.3916993e-05,1.5102897e-06,0.00037875024,4.0,0.62983644,1.0,0.47564992,0.8947368,1.0,0.0,4.5,0.6666667,0.6892569,3.0
tfq_x_dir_edge_2h,0.1046185,0.0015605304,7.0136604,91.5,3.86221,2167.7356,0.07963797,0.0014127475,4.48927,3.5582318e-05,6.231795e-07,0.00203168,1.0,0.0,0.27349198,0.8076386,0.92105263,1.0,0.0,2.5,0.5,0.54179084,4.0
mfe_2h,0.10229665,0.012870721,0.81305504,106.5,7.3880534,1535.215,0.0856508,0.011779226,0.62279636,3.9988325e-05,5.492161e-06,0.00029115428,5.0,0.0,0.0,0.7891002,0.92105263,1.0,0.0,2.5,0.5,0.5380832,5.0
dir_path_edge_2h,0.061785687,0.0038657114,0.987521,73.5,4.645787,1162.8279,0.04321156,0.0027822175,0.67113334,2.0393469e-05,1.4757287e-06,0.00028182252,3.0,0.07345951,0.37470093,0.46564737,0.84210527,1.0,0.0,4.5,1.0,0.47936663,6.0
time_since_trough_12h,0.050683443,0.004542498,0.5655063,58.833332,4.2589774,812.7212,0.033425614,0.0030794055,0.36282057,1.5180916e-05,1.3272756e-06,0.00017363403,8.0,0.0,0.13163422,0.3770034,0.94736844,1.0,0.07612969,7.0,0.33333334,0.46604928,7.0
dir_path_short_2h,0.056336425,0.004984965,0.63667303,76.666664,5.3748384,1093.5729,0.04361213,0.0040637646,0.46804336,2.049613e-05,1.9680353e-06,0.00021345724,6.0,0.0,0.41505563,0.42213866,0.8947368,1.0,0.08343998,5.5,0.6666667,0.46228394,8.0
dist_from_low_48h,0.01871172,0.0013002852,0.2692705,45.5,3.9895697,518.9156,0.013635749,0.000952362,0.19523421,6.0488205e-06,4.279448e-07,8.549756e-05,10.0,0.39128754,0.41367364,0.12173063,0.92105263,0.0,0.13590568,13.5,0.5,0.39835522,9.0
time_since_event_extreme_12h,0.040553346,0.0023624005,0.6961453,60.333332,4.109609,885.756,0.027165534,0.0018142671,0.4067572,1.2176986e-05,8.698773e-07,0.0001704597,7.0,0.09475126,0.4809587,0.29612136,0.9736842,0.16666667,0.0,9.0,0.16666667,0.36080828,10.0
