,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
is_high_vol_regime,0.075090185,0.026151357,0.21561159,16.833334,5.610011,50.509903,16.123564,9.320515,27.892164,0.04198132,0.024858886,0.07089744,3.0,0.0,0.0,1.0,0.7802198,0.8333333,0.054054055,1.5,3.3333333,0.8727577,1.0
bollinger_band_width,0.06378323,0.018463442,0.22034353,14.166667,4.4876375,44.721626,10.825977,4.7324615,24.765501,0.028504359,0.012586291,0.06455424,2.0,0.5,1.0,0.8479358,0.83516484,0.8333333,0.17086938,3.0,2.5,0.8086994,2.0
entropy_jump_24h,0.053009048,0.004842221,0.5803038,11.166667,0.89752746,138.93106,18.873621,5.179775,68.77008,0.04864961,0.013081465,0.18092658,1.0,0.5,1.0,0.7030367,0.93406594,1.0,0.110101044,5.0,1.0,0.7756917,3.0
volatility_ratio_short_long,0.05410733,0.026686888,0.10970193,12.0,5.3851647,26.74013,16.37096,11.985624,22.360819,0.042066317,0.03072925,0.05758601,7.0,0.0,0.0,0.71780723,0.72527474,0.8333333,0.05118632,5.5,4.1666665,0.703672,4.0
vol_regime_switch_12h,0.047285907,0.0126159005,0.17723325,9.166667,2.409472,34.873936,20.114038,7.0324993,57.52927,0.051128488,0.017485239,0.14950453,5.0,0.5,1.0,0.62606776,0.83516484,1.0,0.0,7.5,2.5,0.70312846,5.0
spike_score,0.04309162,0.013341947,0.13917665,8.666667,2.8674417,26.194468,5.5531855,3.969664,7.768382,0.01425333,0.010151073,0.020013396,9.5,0.0,0.0,0.56965995,0.82417583,0.8333333,0.0,8.0,2.6666667,0.64435697,6.0
complexity_regime_24h,0.040473536,0.009030562,0.18139592,8.666667,1.8856181,39.833683,13.888084,5.6092677,34.38575,0.036370475,0.015399244,0.08590107,4.0,1.0,1.0,0.53445,0.7802198,0.8333333,0.0775259,9.0,3.3333333,0.61787874,7.0
clv_collapse,0.043394487,0.010812156,0.17416339,9.0,2.236068,36.2243,7.5913014,3.1811056,18.11567,0.019564383,0.008425455,0.045429602,6.0,0.0,0.0,0.5737331,0.7582418,0.6666667,0.0,6.5,3.6666667,0.6051137,8.0
vol_z_base,0.03850334,0.017948085,0.08259975,8.333333,3.543382,19.59835,7.719012,4.7378106,12.576091,0.020018721,0.012421379,0.03226286,11.0,0.0,0.0,0.5079534,0.5604396,0.6666667,0.11989686,7.0,6.6666665,0.52547914,9.0
vov_fast_slow_ratio,0.036320608,0.013918357,0.09478035,8.5,2.5658007,28.158852,10.304489,7.222331,14.70197,0.026629262,0.018777441,0.037764337,9.5,0.0,0.0,0.4785984,0.62637365,0.5,0.22745098,12.0,5.6666665,0.5061951,10.0
kf_atr_mean,0.03187686,0.008565491,0.11863116,7.5,1.7078252,32.936626,8.6206,4.26771,17.413258,0.022101516,0.011193386,0.043639787,8.0,0.5,1.0,0.4188356,0.83516484,0.33333334,0.31718796,12.5,2.5,0.50501025,11.0
regime_stability_24h,0.02942521,0.011158747,0.07759321,6.5,2.5,16.9,10.936641,7.1627655,16.698874,0.027852533,0.018536204,0.041851267,12.0,0.0,0.0,0.38586405,0.6923077,0.5,0.83052206,12.0,4.6666665,0.50182825,12.0
shannon_entropy_ret_16,0.029430643,0.010560802,0.08201675,5.8333335,2.2669117,15.010632,3.394427,1.968561,5.8530746,0.008748905,0.005161669,0.014829182,15.0,0.0,0.0,0.38593712,0.6593407,0.5,0.19545455,11.0,5.1666665,0.4618733,13.0
volu_z,0.023141306,0.007852479,0.06819758,5.3333335,1.5986105,17.79323,3.2960649,1.809582,6.003621,0.008666922,0.004985613,0.015066463,16.0,0.0,0.0,0.3013535,0.82417583,0.16666667,0.54492754,16.0,2.6666667,0.42403477,14.0
rsi_z_x_regime_vol,0.0259937,0.012882792,0.052447665,6.5,3.5939765,11.755781,4.4274893,2.727977,7.1857867,0.011477322,0.00711473,0.01851496,17.0,0.0,0.0,0.3397146,0.72527474,0.16666667,0.46055046,16.5,4.1666665,0.41618922,15.0
volume_zscore_48h,0.025344688,0.011800833,0.054432873,6.5,2.8136573,15.016044,4.4048214,2.4078624,8.057956,0.011421775,0.006197672,0.021049349,14.0,0.0,0.0,0.3309862,0.5934066,0.16666667,0.0,16.0,6.1666665,0.3553941,16.0
rv_2h,0.02484348,0.010341892,0.059679456,5.8333335,2.5440562,13.375403,5.359453,3.1448739,9.13351,0.013783812,0.008261261,0.02299812,13.0,0.0,0.0,0.3242456,0.5824176,0.0,0.4900901,15.0,6.3333335,0.348444,17.0
