,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
clv_t,0.104685694,0.0422011,0.2596874,16.5,6.652067,40.927128,36.202545,17.24446,76.002625,0.16559643,0.078448065,0.34955835,1.0,0.99730456,0.6483898,1.0,0.7761194,0.8333333,0.0,1.0,2.5,0.8690299,1.0
ffd_vol_price_corr_10h_04,0.06560241,0.02801278,0.15363258,10.333333,4.3843155,24.354492,11.910519,9.627108,14.735522,0.05452397,0.044163525,0.0673149,6.0,0.53637356,0.670865,0.61895716,0.80597013,0.8333333,0.0,5.0,2.1666667,0.666919,2.0
asym_ratio,0.049698997,0.014866735,0.16614209,7.8333335,2.3392782,26.23079,8.353557,4.687401,14.887123,0.038156126,0.021176597,0.06874995,5.0,0.0,0.6094443,0.46390674,0.73134327,0.6666667,0.0,5.5,3.0,0.53798455,3.0
complexity_regime_24h,0.050733693,0.018264184,0.14092651,8.0,2.8867514,22.17025,16.252186,8.992958,29.371153,0.074601665,0.041534565,0.13399461,3.0,0.6845518,0.45682007,0.4739945,0.6567164,0.5,0.0,5.5,3.8333333,0.49987608,4.0
body_ratio_15m,0.042288154,0.009465849,0.18891999,6.6666665,1.4907119,29.81424,17.112314,9.043446,32.380497,0.07846077,0.041664746,0.14775302,2.0,0.7145488,0.0,0.39165464,0.74626863,0.5,0.0,8.5,2.8333333,0.47697723,5.0
hh_count_12,0.046507567,0.020892272,0.10352889,7.3333335,3.2998316,16.297127,7.3186846,3.8031185,14.084005,0.033437815,0.017149603,0.06519611,9.0,0.0,0.6094443,0.43279186,0.47761193,0.6666667,0.0,4.0,5.8333335,0.45743853,6.0
spike_score,0.052863553,0.032725323,0.08539428,8.333333,5.1532083,13.475963,17.539145,16.508486,18.63415,0.08032248,0.075759806,0.08515995,7.0,0.0808207,0.6094443,0.4947596,0.37313432,0.5,0.0,7.5,7.0,0.44040138,7.0
regime_transition_entropy_12h,0.03806203,0.010364903,0.13977149,6.0,1.6329932,22.045408,12.900205,6.286445,26.47208,0.059214342,0.029019652,0.120826334,4.0,0.13482071,0.6094443,0.350452,0.74626863,0.16666667,0.0,8.5,2.8333333,0.40431577,8.0
ll_count_24,0.03699374,0.008489294,0.16120736,5.8333335,1.3437096,25.32376,6.3503027,3.4531486,11.678137,0.029018633,0.01565405,0.053793173,8.0,0.21560687,0.6936508,0.3400367,0.7164179,0.16666667,0.0,10.0,3.1666667,0.39112467,9.0
kf_ret1h_mean,0.04333629,0.02490973,0.075393595,6.8333335,3.9334745,11.871042,10.09041,6.642609,15.327769,0.04605201,0.029927528,0.070864104,10.0,0.19404618,0.68523014,0.40187347,0.25373134,0.5,0.0,10.5,8.333333,0.35946327,10.0
ll_count_12,0.038082186,0.01726374,0.084005706,6.0,2.7080128,13.293881,5.4830437,4.4561057,6.746647,0.025076965,0.02039035,0.030840773,14.0,0.4959509,0.80314076,0.35064852,0.5074627,0.16666667,0.0,11.0,5.5,0.34472236,11.0
ffd_z_06,0.030644467,0.011777037,0.07973851,4.8333335,1.86339,12.536888,6.453253,2.7496471,15.145387,0.029532645,0.012527282,0.06962221,11.0,0.0,0.6094443,0.2781344,0.5671642,0.16666667,0.0,13.0,4.8333335,0.31976497,12.0
vol_price_diverge,0.0338359,0.025818612,0.04434274,5.3333335,4.068852,6.990779,3.1393209,2.95026,3.3404973,0.014393529,0.013538971,0.015302025,20.0,0.8416162,0.66313255,0.3092493,0.3880597,0.33333334,0.0,20.5,6.8333335,0.31710207,13.0
