,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
volume_entropy_24,0.048881225,0.009303953,0.25681278,79.0,12.355835,505.10547,79.49846,14.555682,434.195,0.047783535,0.008735615,0.2613744,1.0,0.5,0.5714286,1.0,0.9479167,1.0,0.0,2.0,0.8333333,0.9369792,1.0
atr_slope,0.041988865,0.018124953,0.0972728,63.5,13.4752865,299.23297,77.717186,36.801777,164.12146,0.044776026,0.020951552,0.09569184,12.0,0.0,0.5714286,0.8343764,0.84375,1.0,0.0,2.5,2.5,0.8198445,2.0
dir_path_risk_skew_2h,0.034904107,0.009011583,0.1351923,71.166664,9.263129,546.7585,55.062496,16.24873,186.59172,0.033551354,0.0088976035,0.12651646,5.0,1.0,0.85714287,0.6641295,0.8020833,1.0,0.0,4.0,3.1666667,0.71579206,3.0
ret24h,0.031764373,0.0066435267,0.15187345,60.0,7.9791393,451.17648,49.239742,12.937144,187.41016,0.030484175,0.007414313,0.12533662,3.0,0.25,0.0,0.5886816,0.875,1.0,0.0,5.5,2.0,0.6925249,4.0
atr_percentile,0.031153977,0.009940002,0.09764286,67.0,14.023789,320.09894,47.41882,18.306025,122.83083,0.030420393,0.010443642,0.08860897,13.0,0.25,0.5714286,0.57401377,0.6979167,0.8333333,0.0,5.0,4.8333335,0.61518675,5.0
mtf_divergence_x_regime_vol_12h,0.026792025,0.005712574,0.12565486,55.166668,10.253726,296.8054,42.55503,9.386652,192.92613,0.02672414,0.005551077,0.12865604,4.0,0.0,0.5714286,0.46919593,0.71875,0.8333333,0.17003797,6.5,4.5,0.57124716,6.0
ret10h,0.024891675,0.0049588922,0.12494635,53.0,4.163332,674.69995,40.685093,10.9424515,151.2711,0.02436055,0.0056894287,0.1043051,9.0,0.25,0.0,0.42353046,0.7604167,0.6666667,0.0,10.5,3.8333333,0.52304596,7.0
asset_vol_level,0.02275514,0.0060707056,0.08529427,65.0,13.490738,313.17783,32.953083,9.253684,117.348465,0.022605771,0.0061420193,0.0832008,18.0,0.0,0.5714286,0.3721895,0.6666667,0.6666667,0.0,11.5,5.3333335,0.47137094,8.0
vp_dist_poc_atr,0.022205869,0.0033884873,0.14552233,50.833332,5.7276134,451.15262,33.327805,6.226488,178.38991,0.021793958,0.0041154413,0.115413286,6.0,0.5,0.85714287,0.3589905,0.75,0.5,0.1617984,13.5,4.0,0.4680347,9.0
G_VOL,0.021648822,0.0050386405,0.09301547,62.666668,8.537499,459.9838,30.42527,8.319185,111.27256,0.021397747,0.005046159,0.09073506,16.0,0.25,0.5714286,0.34560466,0.5208333,0.5,0.21375422,11.5,7.6666665,0.40597862,10.0
stall_x_flow,0.023223765,0.009241479,0.05836114,57.666668,16.868774,197.13611,34.25896,14.8318615,79.132095,0.021771517,0.00851782,0.05564792,32.0,0.75,1.0,0.38345057,0.46875,0.33333334,0.0,16.5,8.5,0.37808532,11.0
slope,0.019399779,0.0036988198,0.10174905,40.666668,6.92018,238.97902,30.232386,5.314296,171.98839,0.019672507,0.003300719,0.117249474,10.5,0.25,0.71428573,0.29156008,0.7083333,0.16666667,0.0,17.0,4.6666665,0.3624414,12.0
G_EXH_EFFORT,0.025050703,0.014805731,0.04238478,61.333332,19.499289,192.91873,38.886574,23.374134,64.69398,0.024203671,0.013199841,0.044380665,43.0,0.0,0.5714286,0.42735195,0.17708333,0.5,0.0,12.5,13.166667,0.35431445,13.0
press_24,0.019936478,0.005394292,0.073682174,55.5,11.772142,261.65585,28.564085,8.216734,99.29822,0.019123992,0.005092381,0.07181848,22.0,0.0,0.5714286,0.30445695,0.5104167,0.33333334,0.0,17.0,7.8333335,0.34505552,14.0
climax_vol_12,0.017229764,0.0025056656,0.11847739,33.5,3.640055,308.3058,25.215992,3.2083893,198.18239,0.015275942,0.0018016608,0.12952183,7.0,0.25,0.71428573,0.23941456,0.75,0.0,0.36301196,22.0,4.0,0.3373286,15.0
climax_range_12,0.018480638,0.0037991507,0.089897454,32.333332,2.2852182,457.48123,29.762684,5.9111843,149.85446,0.016441412,0.0030418944,0.08886568,15.0,0.5,0.85714287,0.2694731,0.6145833,0.16666667,0.0,20.5,6.1666665,0.32685605,16.0
vol_state,0.01509673,0.0011153022,0.20434932,32.5,2.8722813,367.73904,24.255106,3.172281,185.45335,0.0152720045,0.0015902383,0.14666614,2.0,0.0,0.5714286,0.1881577,0.8229167,0.0,0.17259721,24.5,2.8333333,0.31784576,17.0
dir_path_risk_long_2h,0.01902854,0.0045069065,0.08034011,44.833332,9.31695,215.73882,28.96761,8.012075,104.732216,0.017986447,0.0043153395,0.07496797,20.0,0.0,0.5714286,0.2826392,0.41666666,0.33333334,0.0,14.5,9.333333,0.30961823,18.0
kf_atr_mean,0.016184816,0.0032645562,0.080240086,42.5,5.619905,321.40222,22.520893,4.3711314,116.03189,0.015944486,0.003183843,0.07984898,19.0,0.0,0.5714286,0.21430443,0.6041667,0.0,0.67232835,28.5,6.3333335,0.30252552,19.0
vp_accept_hvn_touchrate,0.017295917,0.0045771413,0.06535711,43.833332,5.8142543,330.457,25.4753,6.678077,97.182304,0.016873635,0.0046431012,0.06132099,24.5,0.25,0.71428573,0.24100423,0.5729167,0.16666667,0.0,22.0,6.8333335,0.30078152,20.0
mkt_rv_ratio,0.02167598,0.009082461,0.051731363,52.333332,15.018507,182.36018,33.681057,16.31768,69.520515,0.021249559,0.009692162,0.046588548,38.0,0.0,0.5714286,0.34625724,0.23958333,0.33333334,0.0,21.5,12.166667,0.30033734,21.0
down_up_vol_ratio_24,0.01640775,0.0038986658,0.069052935,37.5,6.8980675,203.86145,24.80405,6.731419,91.3984,0.016159395,0.0043186084,0.06046532,23.0,0.0,0.5714286,0.21966156,0.5416667,0.16666667,0.23246093,24.5,7.3333335,0.2928536,22.0
press_12,0.014918255,0.0020953347,0.10621421,49.166668,7.492589,322.63364,21.066998,2.1714299,204.38994,0.014696132,0.0015346583,0.14073251,8.0,0.0,0.5714286,0.18386893,0.625,0.0,0.5518771,26.0,6.0,0.28497177,23.0
cvar_5pct,0.014786534,0.001975753,0.1106624,35.666668,3.681787,345.5146,21.376297,3.354531,136.21758,0.014287457,0.0019399535,0.10522491,10.5,0.0,0.5714286,0.18070368,0.5833333,0.0,0.52347285,26.5,6.6666665,0.271394,24.0
wick_ratio_4h_max,0.015430741,0.003913796,0.060838062,39.5,7.455423,209.27719,21.849594,5.102772,93.557915,0.01405264,0.0029851024,0.06615408,27.0,0.0,0.5714286,0.196184,0.5,0.16666667,0.23724294,32.5,8.0,0.26976335,25.0
spectral_entropy_ret_24,0.012289566,0.0018724389,0.080661334,37.333332,5.0881124,273.92825,18.469555,2.7225697,125.29502,0.011802897,0.0015536434,0.089665614,17.0,0.0,0.5714286,0.12070148,0.6770833,0.0,0.45181823,38.0,5.1666665,0.25824755,26.0
amihud_illiq,0.01702661,0.0041992553,0.069037355,55.0,7.118052,424.9758,23.268494,6.3153296,85.73152,0.016199736,0.003876864,0.067691684,24.5,0.0,0.5714286,0.23453279,0.39583334,0.16666667,0.0,20.5,9.666667,0.25295138,27.0
rsi_x_high_vol,0.017548876,0.004925104,0.06252924,35.333332,7.8881063,158.26923,25.489098,7.640492,85.03303,0.015344258,0.0043810974,0.053741388,29.0,0.0,0.5714286,0.24708283,0.26041666,0.33333334,0.0,22.5,11.833333,0.25099975,28.0
vol_shock_asym_8_24,0.007606667,0.0016025784,0.036105182,28.666666,6.073622,135.30275,10.006688,1.9059569,52.53729,0.007105734,0.0014386975,0.03509526,54.0,0.0,0.5714286,0.008171289,0.78125,0.0,0.9375971,54.0,3.5,0.24668656,29.0
prior_volatility,0.009479701,0.0019782688,0.04542594,31.166666,4.3748016,222.03546,13.7227,3.1608012,59.577454,0.009896389,0.002270409,0.043136954,42.0,0.0,0.5714286,0.053180337,0.6875,0.0,0.8709392,52.0,5.0,0.24467115,30.0
realized_volatility_24h,0.011150867,0.002098731,0.059246197,36.833332,5.079917,267.0702,16.321674,3.052509,87.27151,0.0113636535,0.0022494225,0.057407014,30.0,0.0,0.5714286,0.093338504,0.5625,0.0,0.90594065,42.5,7.0,0.2372582,31.0
zscore_price_200,0.010470079,0.001729035,0.063401006,30.666666,6.289321,149.53036,15.19562,2.8055542,82.30347,0.010519429,0.0020093343,0.055072162,28.0,0.0,0.5714286,0.07697916,0.6354167,0.0,0.62261903,46.0,5.8333335,0.23232366,32.0
is_low_vol_regime,0.009013563,0.0013505128,0.060158134,38.0,3.8297083,377.05222,12.099886,2.068911,70.76535,0.009006083,0.0014841284,0.054651286,31.0,0.0,0.5714286,0.041979045,0.75,0.0,0.3736271,50.0,4.0,0.22926983,33.0
ft_8,0.009145745,0.0015659689,0.053414,34.833332,4.450343,272.64438,11.822035,2.153222,64.907616,0.008762036,0.0016256312,0.047226746,35.0,0.0,0.5714286,0.045155376,0.6979167,0.0,0.49341497,53.0,4.8333335,0.22398537,34.0
rvol_z,0.011445568,0.0022381372,0.058531277,37.0,5.8022985,235.94098,16.25724,4.233342,62.43244,0.011241586,0.0024182594,0.05225794,34.0,0.0,0.5714286,0.10042018,0.5208333,0.0,0.69510305,40.0,7.6666665,0.22019458,35.0
vol_regime_z,0.007266622,0.002103457,0.025103338,27.666666,4.189935,182.68648,9.821126,2.7858949,34.622456,0.0072279475,0.0020900518,0.024996141,60.0,0.0,0.5714286,0.0,0.7291667,0.0,0.6688098,58.0,4.3333335,0.21573216,36.0
