feature_a,feature_b,lift,final_pair_score
realized_volatility_24h,press_12,12.9533870589542,12.9533870589542
zscore_price_200,vol_shock_asym_8_24,9.125237444749539,9.125237444749539
ft_8,vov_fast_slow_ratio_G_VOL_1,7.215134154627914,7.215134154627914
trapped_longs_24,prior_volatility,6.060849628377306,6.060849628377306
prior_volatility,climax_range_24,5.714114853021963,5.714114853021963
wick_ratio_4h_max,vov_fast_slow_ratio_G_VOL_1,5.568449632228917,5.568449632228917
rsi_slope_base,vol_regime_z,5.512489233419466,5.512489233419466
zscore_price_200,vov_fast_slow_ratio_G_VOL_1,5.488570362522168,5.488570362522168
down_up_vol_ratio_24,G_EXH_TAIL_FAIL,5.456208681875195,5.456208681875195
asset_atr_level,climax_range_24,5.377749124392083,5.377749124392083
body_pct,loc_range_pos_24,5.338078959468365,5.338078959468365
rsi_slope_base,vov_fast_slow_ratio_G_VOL_1,5.199354384579087,5.199354384579087
is_low_vol_regime,vol_regime_z,5.1683508129501154,5.1683508129501154
G_VOL,vol_regime_z,5.017133928594262,5.017133928594262
realized_volatility_24h,body_pct,4.911325086384965,4.911325086384965
G_EXH_TAIL_FAIL,climax_range_24,4.819303933536245,4.819303933536245
cvar_5pct,loc_range_pos_24,4.734340135174465,4.734340135174465
body_pct,up_down_semivol_ratio_tanh,4.591104734576758,4.591104734576758
climax_vol_12,vol_shock_asym_8_24,4.455352603500752,4.455352603500752
kf_atr_mean,prior_volatility,4.400760425514703,4.400760425514703
body_pct,kf_score_mean,4.393416229487993,4.393416229487993
rvol_z,vol_shock_asym_8_24,4.375111007824428,4.375111007824428
ft_8,kf_score_mean,4.366059631182857,4.366059631182857
rvol_z,prior_volatility,4.266532498978019,4.266532498978019
cvar_5pct,climax_vol_12,4.065085651722122,4.065085651722122
kf_atr_mean,dv_z,4.061921558082452,4.061921558082452
vol_state,vol_shock_asym_8_24,5.063896211846849,4.051116969477479
accel_5h,rvol_z,4.044708720762653,4.044708720762653
mtf_divergence_x_regime_vol_12h,climax_range_24,3.991047693579824,3.991047693579824
loc_pullback_depth_48,vol_shock_asym_8_24,3.9563194622501454,3.9563194622501454
vol_z_4h,G_EXH_TAIL_FAIL,3.9427889013051867,3.9427889013051867
body_pct,prior_volatility,3.886883199262396,3.886883199262396
accel_5h,decel_4,3.8679518492709173,3.8679518492709173
kf_atr_mean,G_EXH_TAIL_FAIL,3.830607247499206,3.830607247499206
kf_score_mean,prior_volatility,3.806691449814126,3.806691449814126
vp_dist_poc_atr,vov_fast_slow_ratio_G_VOL_1,3.7976527028600158,3.7976527028600158
direction_entropy_20,ret3h,3.7585692202986785,3.7585692202986785
rvol_z,direction_entropy_20,3.628764946060324,3.628764946060324
zscore_price_50,loc_range_pos_24,3.6131041730463704,3.6131041730463704
spectral_entropy_ret_24,is_low_vol_regime,3.601240584847142,3.601240584847142
dist_vwap_96_atr,spectral_entropy_ret_24,3.591111184920289,3.591111184920289
loc_range_pos_24,prior_volatility,3.5714285714285716,3.5714285714285716
dir_path_risk_short_2h,atr_pct_base,3.563325969777574,3.563325969777574
cvar_5pct,kf_atr_mean,3.487272017417607,3.487272017417607
body_pct,G_EXH_TAIL_FAIL,3.484610869646944,3.484610869646944
rsi_slope_base,climax_range_24,3.4183176783224134,3.4183176783224134
loc_pullback_depth_48,spectral_entropy_ret_24,3.4125032885138977,3.4125032885138977
realized_volatility_24h,G_EXH_TAIL_FAIL,3.399081696675019,3.399081696675019
