,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
amihud_illiq,0.05634038,0.005634398,0.5633678,94.666664,8.178563,1095.7644,175.50458,17.239447,1786.7079,0.10605711,0.010125405,1.11088,1.0,0.6666667,0.61538464,1.0,1.0,1.0,0.0,1.0,0.0,0.95000005,1.0
rsi_z_x_regime_vol,0.036037132,0.0034351146,0.37805867,60.5,4.1129875,889.92487,119.340225,17.735538,803.02545,0.06447083,0.0083474275,0.49793634,3.0,0.0,0.46153846,0.5953124,0.9411765,1.0,0.0,3.0,0.8333333,0.712716,2.0
hurst_proxy_x_regime_trend_48h,0.03462366,0.008519623,0.1407102,61.0,10.878113,342.06302,105.8082,30.994717,361.20267,0.059129305,0.016965246,0.20608453,10.0,0.0,0.3846154,0.56713885,0.85882354,1.0,0.0,5.0,2.0,0.6766323,3.0
return_autocorr_48,0.031891648,0.0031449068,0.32340458,53.333332,3.5901098,792.3001,98.35068,8.1680975,1184.2239,0.057199072,0.0057150377,0.57247806,4.0,0.8333333,1.0,0.512684,0.87058824,1.0,0.0,4.5,1.8333334,0.6496233,4.0
entropy_jump_24h,0.029393842,0.005246332,0.1646861,55.5,4.462809,690.2043,82.77251,18.943834,361.66318,0.052476753,0.01165101,0.23635799,8.5,0.0,0.0,0.46289733,0.7764706,0.8333333,0.0,5.5,3.1666667,0.5737112,5.0
kf_atr_mean,0.028400376,0.005512272,0.14632466,55.833332,5.079917,613.6638,82.833145,15.829684,433.44708,0.051431842,0.0097426865,0.27150974,8.5,0.6666667,0.84615386,0.4430954,0.8,0.8333333,0.0,7.5,2.8333333,0.56870246,6.0
atr_pct_base,0.025242731,0.001848898,0.34463528,58.0,5.7445626,585.5972,74.864365,4.8149247,1164.0209,0.043917917,0.0022278922,0.8657437,2.0,1.0,1.0,0.3801567,0.90588236,0.8333333,0.0,9.0,1.3333334,0.56055677,7.0
G_EXH_TAIL_FAIL,0.027617676,0.004338317,0.1758138,64.166664,6.2561083,658.1346,80.657104,13.812899,470.97775,0.04784961,0.007613357,0.30073264,7.0,0.0,0.61538464,0.4274945,0.7882353,0.8333333,0.0,6.0,3.0,0.5571808,8.0
vp_accept_hvn_touchrate,0.022442304,0.0028538657,0.17648236,43.333332,4.8534064,386.89893,65.74035,8.9207115,484.46735,0.03900783,0.005362001,0.2837767,6.0,0.0,0.61538464,0.32433814,0.7882353,0.6666667,0.1818935,12.0,3.0,0.48453948,9.0
accel_5h,0.025427701,0.007021812,0.09207994,51.333332,9.741093,270.51492,74.70203,22.979761,242.83946,0.04503809,0.013410786,0.1512536,19.0,0.16666667,0.6923077,0.38384357,0.64705884,0.5,0.0,13.5,5.0,0.44787866,10.0
rsi_x_high_vol,0.024860788,0.005687307,0.108673364,54.5,7.632169,389.1751,74.243385,17.721313,311.04245,0.043852497,0.010736645,0.17911008,14.0,0.33333334,0.7692308,0.37254375,0.65882355,0.5,0.0,12.5,4.8333335,0.44460493,11.0
trapped_longs_24,0.024165537,0.0059007574,0.09896581,47.5,8.976822,251.34174,78.22067,26.309376,232.55867,0.042987224,0.013199736,0.13999532,18.0,0.16666667,0.6923077,0.3586859,0.5411765,0.6666667,0.0,7.5,6.5,0.4325714,12.0
ffd_range_24_06,0.020711325,0.002251708,0.1905038,46.333332,4.642796,462.38898,60.797913,5.259522,702.7989,0.036989704,0.002685477,0.50949544,5.0,0.5,0.84615386,0.28983602,0.8235294,0.16666667,0.0,16.0,2.5,0.3902922,13.0
mkt_rv_ratio,0.023435365,0.007620193,0.07207381,45.0,6.582806,307.61957,67.6444,18.388374,248.8401,0.03885841,0.009716405,0.15540482,22.0,0.33333334,0.61538464,0.344132,0.48235294,0.5,0.0,15.5,7.3333335,0.38486087,14.0
dir_path_short_2h,0.01984752,0.0028352456,0.13893823,55.666668,6.9920588,443.1853,58.648666,11.320179,303.85263,0.034936026,0.005856089,0.20842,11.0,0.0,0.61538464,0.2726185,0.7411765,0.16666667,0.0,18.0,3.6666667,0.3602343,15.0
vol_regime_z,0.0151222525,0.0018679616,0.122423574,32.166668,4.139914,249.93138,39.30115,4.860538,317.77975,0.025146805,0.002866301,0.22061947,12.0,0.0,0.61538464,0.17843373,0.64705884,0.0,0.86490005,26.5,5.0,0.30314827,16.0
trapped_longs_12,0.01967275,0.005918999,0.065385565,41.833332,8.629729,202.79059,62.693233,22.470135,174.91846,0.033193536,0.011514456,0.095689364,31.0,0.16666667,0.6923077,0.26913497,0.3764706,0.33333334,0.0,15.0,8.833333,0.29214188,17.0
trend_overextension_z,0.018021932,0.0035360411,0.09185131,38.5,6.849574,216.40031,54.19515,14.417261,203.72205,0.032055188,0.008292652,0.123909116,23.0,0.0,0.61538464,0.2362306,0.5176471,0.16666667,0.0,22.0,6.8333335,0.28433862,18.0
ft_2,0.014322719,0.0020855106,0.09836453,44.5,4.1932487,472.24722,39.50702,9.191099,169.81696,0.025188837,0.0055370773,0.114587076,24.0,0.0,0.61538464,0.1624973,0.69411767,0.0,0.2710643,29.5,4.3333335,0.27645612,19.0
trend_acceleration,0.008080656,0.00094656326,0.06898323,30.0,2.9439204,305.7148,21.07922,2.5198953,176.33014,0.014559844,0.0015753456,0.13456668,28.0,0.0,0.61538464,0.03807951,0.8117647,0.0,1.0,54.5,2.6666667,0.27388492,20.0
complexity_regime_24h,0.017034855,0.0033060792,0.08777354,45.333332,5.9066815,347.9299,46.517033,5.463011,396.08826,0.029929329,0.0024671068,0.3630831,16.0,0.0,0.61538464,0.21655603,0.5647059,0.0,0.17434873,26.0,6.1666665,0.26899973,21.0
volume_autocorr_48,0.01283566,0.0015282716,0.107804246,35.166668,4.219663,293.07895,32.59075,5.174886,205.25227,0.02219652,0.0032074468,0.15360674,17.0,0.0,0.61538464,0.13285701,0.7764706,0.0,0.0,34.5,3.1666667,0.26718903,22.0
trend_accel_120h,0.014761004,0.0023262263,0.09366553,34.0,5.259911,219.77557,41.20469,7.788087,218.00304,0.026107755,0.0046991436,0.14505087,20.0,0.0,0.61538464,0.17123327,0.5764706,0.0,0.5716894,26.0,6.0,0.26688042,23.0
clv_t,0.0061701997,0.0012200839,0.03120389,25.0,3.559026,175.60983,16.807215,3.9624822,71.28927,0.010801841,0.0021894693,0.053291343,59.0,0.0,0.61538464,0.0,0.88235295,0.0,0.7023888,59.0,1.6666666,0.25570768,24.0
adx_7_slope,0.010751373,0.0018198488,0.06351738,35.666668,2.924988,434.91156,27.804972,4.229075,182.80983,0.018634837,0.002483238,0.13984047,29.0,0.0,0.61538464,0.09131268,0.63529414,0.0,0.85173154,42.5,5.1666665,0.25163206,25.0
dist_ema20_atr,0.015881866,0.0028186047,0.08948885,41.166668,3.0230596,560.5892,47.396248,12.053886,186.3635,0.028269794,0.0062513473,0.12784144,25.0,0.0,0.61538464,0.19357447,0.5294118,0.0,0.23276415,25.5,6.6666665,0.2504571,26.0
rv_ratio_24_120,0.015548354,0.0030180379,0.08010215,35.0,5.0,245.0,45.814133,10.805233,194.25168,0.028195718,0.0059767934,0.13301423,27.0,0.0,0.61538464,0.18692686,0.49411765,0.0,0.47153395,27.0,7.1666665,0.24991588,27.0
loc_pullback_depth_48,0.016286042,0.003411738,0.07774195,48.0,5.715476,403.11603,43.54937,9.760407,194.3103,0.028664244,0.0058410782,0.14066562,26.0,0.0,0.61538464,0.20163056,0.43529412,0.0,0.5674897,23.0,8.0,0.24809481,28.0
vol_asym,0.011570736,0.0025352284,0.052808624,32.166668,5.4594464,189.5237,33.276608,8.833255,125.35952,0.02006032,0.004335867,0.09281107,47.0,0.0,0.61538464,0.10764434,0.5529412,0.0,0.978295,37.5,6.3333335,0.24635443,29.0
adx_di_minus_7,0.012852043,0.0017966841,0.09193326,30.833334,3.0230596,314.4809,39.17976,6.7289505,228.12675,0.022543464,0.00391381,0.12984988,21.0,0.0,0.61538464,0.13318355,0.6,0.0,0.4261422,34.0,5.6666665,0.24455807,30.0
rolling_range_20,0.008121334,0.0009976429,0.0661119,27.0,4.163332,175.10014,22.53321,3.477617,146.00389,0.015747726,0.002393957,0.10359035,32.0,0.0,0.61538464,0.038890317,0.7058824,0.0,0.8374452,54.5,4.1666665,0.23973253,31.0
prior_volatility,0.008775503,0.0015281793,0.050392948,30.833334,0.89752746,1059.2372,21.31358,1.8855586,240.91994,0.014642887,0.0011539486,0.1858091,35.0,0.0,0.61538464,0.051929325,0.69411767,0.0,0.7316287,52.0,4.3333335,0.23867199,32.0
atr_compression_ratio,0.009458187,0.0013778405,0.06492572,36.833332,4.0173235,337.71103,23.437044,3.3708155,162.95612,0.016827326,0.0025394517,0.11150395,33.0,0.0,0.61538464,0.065536685,0.7294118,0.0,0.40054205,48.0,3.8333333,0.23842523,33.0
price_lt_ema200,0.011807936,0.0010897781,0.12794104,34.833332,4.450343,272.64438,33.41265,6.1119013,182.66087,0.021709993,0.003295913,0.1430025,15.0,0.0,0.61538464,0.11237226,0.64705884,0.0,0.19538374,36.0,5.0,0.23333864,34.0
down_up_vol_ratio_24,0.010569777,0.0010153842,0.11002751,33.166668,2.5440562,432.3913,28.788647,3.253828,254.71112,0.018374417,0.0018331339,0.18417597,13.0,0.0,0.61538464,0.08769308,0.64705884,0.0,0.41566464,45.0,5.0,0.23077914,35.0
asset_vol_level,0.012286349,0.0026732318,0.05646887,37.333332,9.067647,153.70888,30.41212,7.304111,126.626915,0.020617258,0.0049863462,0.08524705,44.5,0.0,0.61538464,0.12190806,0.44705883,0.0,0.7643605,37.0,7.8333335,0.21703216,36.0
dir_path_risk_skew_2h,0.008640888,0.0014213097,0.0525325,36.333332,4.818944,273.942,22.169724,5.0951133,96.46433,0.015845293,0.003255055,0.07713336,51.0,0.0,0.61538464,0.04924615,0.67058825,0.0,0.44184473,52.5,4.6666665,0.21682468,37.0
G_VOL,0.010320238,0.0017893189,0.059523936,41.5,2.0615528,835.41394,26.828295,5.2749286,136.44875,0.018552352,0.003056296,0.11261663,36.0,0.0,0.61538464,0.082719214,0.5411765,0.0,0.65768707,40.0,6.5,0.21367405,38.0
atr_percentile,0.0166629,0.004528213,0.061316065,45.666668,6.674995,312.4264,49.017048,14.009817,171.4991,0.028465562,0.008073163,0.10036812,34.0,0.0,0.61538464,0.20914215,0.29411766,0.16666667,0.0,26.0,10.0,0.2135576,39.0
press_24,0.008560646,0.0012970093,0.056502808,32.166668,3.8908725,265.92865,22.596565,3.1963773,159.74484,0.015801137,0.0025503112,0.09790019,38.0,0.0,0.61538464,0.04764676,0.68235296,0.0,0.22603025,51.5,4.5,0.20809548,40.0
cumulative_delta_stall,0.009862001,0.0016450648,0.05912172,31.833334,4.450343,227.70403,25.495872,3.1670425,205.25127,0.01714429,0.00208165,0.1411989,30.0,0.0,0.61538464,0.07358557,0.45882353,0.0,0.9802064,49.5,7.6666665,0.20418827,41.0
evr_slope,0.011098289,0.0026935916,0.045727804,31.0,5.8878407,163.21773,30.438435,6.803234,136.18498,0.020230798,0.0047574434,0.0860305,49.5,0.0,0.61538464,0.098227456,0.3882353,0.0,0.87717366,48.0,8.666667,0.19494262,42.0
dn_vol,0.009541561,0.0031438204,0.028958837,27.666666,7.039571,108.734535,25.4377,7.3659105,87.847466,0.01619619,0.0046152826,0.056836504,58.0,0.0,0.61538464,0.06719851,0.42352942,0.0,0.98054624,53.0,8.166667,0.19186884,43.0
dir_path_long_2h,0.015556927,0.0044571497,0.054298818,46.666668,7.7172246,282.19702,40.522213,10.765596,152.52753,0.026943544,0.006498985,0.11170276,40.0,0.33333334,0.7692308,0.18709773,0.2,0.16666667,0.1958649,26.5,11.333333,0.18769701,44.0
stall_x_flow,0.01644408,0.004886768,0.055334687,45.5,10.531698,196.57324,43.557213,12.725774,149.0857,0.028373389,0.008337671,0.09655564,39.0,0.0,0.61538464,0.2047806,0.24705882,0.0,0.17095073,18.0,10.666667,0.18294157,45.0
rsi_slope,0.014844904,0.005483991,0.040184453,41.0,7.637626,220.09456,39.67181,16.894203,93.15932,0.02572826,0.010450746,0.063339345,54.0,0.0,0.61538464,0.17290558,0.24705882,0.16666667,0.0,37.0,10.666667,0.18186279,46.0
rv_120h,0.013244772,0.0030075058,0.058328733,41.333332,10.3064165,165.76512,36.06827,11.127633,116.90898,0.023916276,0.0067779934,0.08438902,42.5,0.0,0.61538464,0.1410115,0.3764706,0.0,0.18067954,33.5,8.833333,0.18070796,47.0
kf_score_mean,0.0124658,0.0028603177,0.05432829,39.333332,4.459696,346.90955,33.3834,8.2378645,135.28401,0.02179574,0.00527721,0.09001997,46.0,0.0,0.61538464,0.1254849,0.4117647,0.0,0.17095073,40.5,8.333333,0.18050541,48.0
body_pct,0.015592761,0.0044251448,0.05494378,40.333332,6.182412,263.12994,43.46355,13.352696,141.47557,0.027435513,0.008288101,0.09081783,41.0,0.33333334,0.61538464,0.18781199,0.30588236,0.0,0.0,25.0,9.833333,0.17976719,49.0
efficiency_ratio_20,0.015296481,0.0047453246,0.049307972,45.833332,10.155732,206.84816,41.61098,10.503424,164.8485,0.027504576,0.006223682,0.121552125,42.5,0.0,0.61538464,0.18190648,0.21176471,0.16666667,0.0,31.5,11.166667,0.17798975,50.0
ft_8,0.012877156,0.0035146787,0.047179602,42.333332,8.478731,211.36548,36.29058,7.747669,169.98743,0.022457268,0.004300572,0.11727019,44.5,0.0,0.61538464,0.13368411,0.4117647,0.0,0.0,39.5,8.333333,0.17646745,51.0
signed_max_bar_ret_5h,0.009831463,0.0014978225,0.06453212,33.833332,3.7155828,308.07938,25.754862,4.704932,140.98247,0.017233886,0.003275967,0.09066233,37.0,0.0,0.61538464,0.07297688,0.5411765,0.0,0.0,45.5,6.5,0.1754314,52.0
ret3h,0.010634594,0.0029825664,0.037918545,30.0,6.2716293,143.50339,30.368408,10.886712,84.71246,0.018830135,0.0065714084,0.053957082,56.0,0.0,0.61538464,0.088985,0.34117648,0.0,0.72147864,45.5,9.333333,0.17030981,53.0
rvol_hod_base,0.014986881,0.0063859266,0.035172123,36.333332,9.706813,135.9984,41.718796,22.309639,78.013725,0.027100164,0.013534544,0.054262552,57.0,0.0,0.61538464,0.17573549,0.0,0.33333334,0.435081,35.5,14.166667,0.16840857,54.0
compression_score,0.013216795,0.0032300663,0.054080524,39.666668,8.576453,183.46097,36.332832,12.104531,109.056244,0.024739707,0.0075832345,0.08071136,48.0,0.0,0.61538464,0.14045386,0.1764706,0.0,0.6686618,31.5,11.666667,0.15480037,55.0
vov_fast_slow_ratio_G_VOL_1,0.011096847,0.002952801,0.041702785,27.333334,4.027682,185.49406,33.53721,9.814897,114.59564,0.020199982,0.005842767,0.06983665,53.0,0.0,0.61538464,0.09819872,0.1882353,0.0,0.77816993,43.5,11.5,0.13997662,56.0
liq_score,0.009040085,0.0030553273,0.02674775,32.666668,5.763872,185.1379,24.141254,9.771624,59.6421,0.016342955,0.005833974,0.0457822,60.0,0.0,0.61538464,0.057203002,0.32941177,0.0,0.421705,51.5,9.5,0.13489984,57.0
