feature_a,feature_b,lift,final_pair_score
adx_10_slope,vp_dist_lvn_above_atr,8.695661817665753,8.695661817665753
dist_vwap_24_atr,vp_dist_lvn_above_atr,8.480820029582905,8.480820029582905
tail_asymmetry_q90_q10_atr_norm_G_VOL_1,ffd_ema_spread_06,6.018743423018691,6.018743423018691
dist_ema_fast,ffd_z_24_06,5.9007029267819275,5.9007029267819275
jump_rate_10h,adx_14_slope,5.372614887807188,5.372614887807188
vp_lvn_depth_ratio,vp_dist_hvn_below_atr,6.415613913220094,5.132491130576075
bars_outside_ema20_atr_band_log_norm,efficiency,5.083650875469657,5.083650875469657
vp_lvn_depth_ratio,adx_10_slope,5.078051960932559,5.078051960932559
vol_exhaust,ffd_z_24_06,5.048766494549627,5.048766494549627
ffd_ema_spread_06,efficiency,4.9288932281807725,4.9288932281807725
ffd_cvar_5pct_06,breakout_min,4.884183996298997,4.884183996298997
realized_volatility_24h,vp_dist_lvn_above_atr,4.758687500223421,4.758687500223421
ffd_cvar_5pct_06,atr_percentile,4.64110709122616,4.64110709122616
trend_slope_48h,adx_10_slope,4.631588485271246,4.631588485271246
dist_ema_fast,vp_dist_lvn_above_atr,4.602186126219666,4.602186126219666
vp_lvn_depth_ratio,dist_vwap_24_atr,4.4419914713741475,4.4419914713741475
ffd_cvar_5pct_06,asset_vol_level,4.395870481376996,4.395870481376996
vol_exhaust,vp_dist_lvn_above_atr,4.31395871748287,4.31395871748287
vp_dist_hvn_below_atr,ffd_z_24_06,4.307932490963166,4.307932490963166
breakout_min,jump_rate_10h,4.298046980190674,4.298046980190674
vp_lvn_depth_ratio,retrace_12,4.280033828175132,4.280033828175132
ffd_ema_spread_06,evr_6,4.206843813231399,4.206843813231399
dir_path_long_2h,adx_7_slope,4.187507054465596,4.187507054465596
ffd_cvar_5pct_06,retrace_12,4.128910024925335,4.128910024925335
breakout_min,trend_slope_48h,4.049116624077394,4.049116624077394
bars_outside_ema20_atr_band_log_norm,evr_6,3.984293174565236,3.984293174565236
ffd_z_24_06,dir_path_edge_2h,3.9754346905715825,3.9754346905715825
vov_mad_20_G_VOL_0,vp_dist_lvn_above_atr,3.918276308221093,3.918276308221093
adx_7_slope,asset_vol_level,3.8950705804730927,3.8950705804730927
kf_atr_mean,asset_vol_level,3.8619795028060584,3.8619795028060584
up_down_return_mass_ratio_tanh,vp_dist_lvn_above_atr,3.8610040927164206,3.8610040927164206
breakout_min,efficiency,3.860924326471756,3.860924326471756
trend_slope_48h,vp_dist_lvn_above_atr,3.8566230068791953,3.8566230068791953
dist_vwap_norm_G_VOL_1,efficiency,3.8523370207566985,3.8523370207566985
pullback_48,vp_dist_lvn_above_atr,3.8224112813294444,3.8224112813294444
trend_slope_48h,vp_lvn_depth_ratio,3.8221832029590628,3.8221832029590628
dist_ema_fast,vp_dist_hvn_below_atr,3.8137582880029237,3.8137582880029237
breakout_min,realized_volatility_24h,3.8061347589204146,3.8061347589204146
vp_lvn_depth_ratio,adx_di_minus_7,3.7927891081111573,3.7927891081111573
trend_overextension_z,dir_path_edge_2h,3.78670708786634,3.78670708786634
breakout_min,vp_lvn_depth_ratio,3.7803813217115323,3.7803813217115323
tail_against_G_VOL_1,adx_di_minus_7,3.7793458325217695,3.7793458325217695
vol_exhaust,breakout_min,3.759136790810999,3.759136790810999
realized_volatility_24h,adx_10_slope,3.725333276003051,3.725333276003051
tail_asymmetry_q90_q10_atr_norm_G_VOL_1,breakout_min,3.7200737896901055,3.7200737896901055
efficiency,evr_6,3.7189441047420306,3.7189441047420306
pullback_48,vp_lvn_depth_ratio,3.673997468515608,3.673997468515608
evr_6_G_VOL_0,adx_di_minus_7,3.6687760154557525,3.6687760154557525
