feature_a,feature_b,lift,final_pair_score
delta_stall_6,lr_4h,243.8095238095238,243.8095238095238
zscore_price_200,lr_12h,181.56028368794327,181.56028368794327
sv_imb_24,ffd_diff_2_06,149.70760233918128,149.70760233918128
ffd_diff_4_04,gap_pct,148.91591750396617,148.91591750396617
dist_prior_day_low,asym_ft,132.1135350692001,132.1135350692001
vp_dist_poc_atr,ffd_rv_12_05,130.16380739104682,130.16380739104682
mr_soft,ffd_rv_2h_06,129.7902097902098,129.7902097902098
zscore_price_50,pers_12,122.1309302941956,122.1309302941956
accel_5h,convexity_bis_t,121.3270142180095,121.3270142180095
ft_2,ffd_diff_2_04,120.69486989395831,120.69486989395831
adx_10_slope,convexity_t,114.79820627802691,114.79820627802691
ft_drop,ffd_rv_2h_06,112.77533039647578,112.77533039647578
ffd_diff_4_04,dist_from_high_event_12h,110.3448275862069,110.3448275862069
decel_8,rsi_slope_G_VOL_1,107.83242258652095,107.83242258652095
compression_score_G_VOL_1,rejection_proxy,105.59492332099418,105.59492332099418
excess_12h,dist_from_high_event_12h,94.03467528651191,94.03467528651191
impact_24,dist_from_high_event_12h,91.05357600615228,91.05357600615228
asym_ft,ffd_diff_4_04,89.022780102278,89.022780102278
ret8h,ffd_vol_price_corr_10h_06,87.10775047258981,87.10775047258981
zscore_price_50,ffd_rv_12_05,87.07482993197279,87.07482993197279
ffd_ema_spread_06,trend_strength_percentile,85.33333333333334,85.33333333333334
evr_slope,reversion_target_distance,84.48844884488449,84.48844884488449
signed_max_bar_ret_5h,vp_dist_lvn_above_atr,84.4373712564404,84.4373712564404
trend_strength_percentile,loc_range_pos_24,83.25203252032522,83.25203252032522
shock_decay,ffd_ema_spread_04,82.94632249702993,82.94632249702993
ts_12,loc_bb_channel_pos_24,81.7746228926353,81.7746228926353
clv_t,rsi_slope,81.48541114058355,81.48541114058355
rsi_slope_G_VOL_1,ffd_rv_2h_06,80.11379800853483,80.11379800853483
press_12,ffd_diff_4_04,79.67700346339932,79.67700346339932
adx_10_slope,second_leg_accel_vol_2h,78.26842233262688,78.26842233262688
dist_vwap_96_atr,convexity_bis_t,73.12678532190728,73.12678532190728
vp_in_hvn_above_zone,adx_10_slope,73.1048805815161,73.1048805815161
trend_alignment_1_3_6,loc_prev_day_range_pos_24,73.05815203904375,73.05815203904375
ret2h,ffd_diff_4_04,72.72727272727273,72.72727272727273
retest_quality,ffd_rv_2h_06,71.3091922005571,71.3091922005571
ffd_ema_spread_06,accel_5h,70.91412742382272,70.91412742382272
range_16h_pct,trend_retest_success_rate,70.32967032967034,70.32967032967034
flow_persistence,pers_12,70.13698630136986,70.13698630136986
ts_12,rsi_slope,69.00269541778975,69.00269541778975
body_ratio,vp_in_hvn_above_zone,68.34517599704276,68.34517599704276
compression_score_G_VOL_1,loc_ema_stack_pos_24,68.10580723624201,68.10580723624201
ffd_diff_4_06,second_leg_accel_vol_2h,67.54617414248021,67.54617414248021
mr_tape,ffd_d1_05,67.20964950044272,67.20964950044272
decel_8,loc_prev_week_range_pos_24,67.14754098360656,67.14754098360656
pct_extreme,bars_in_high_vol_state_log_norm,67.00485698866703,67.00485698866703
trend_overextension_z,align,66.28391309242373,66.28391309242373
reversion_target_distance,ffd_rv_2h_06,64.9746192893401,64.9746192893401
dir_path_short_2h,ffd_vol_price_corr_10h_06,64.64646464646465,64.64646464646465
