feature_a,feature_b,lift,final_pair_score
atr_pct_base,climax_decay,10.865912479172147,10.865912479172147
climax_decay,vp_in_lvn_below_zone,10.450748739559033,10.450748739559033
adx_14_gt25,climax_decay,6.7524714150225575,6.7524714150225575
G_EXH_TAIL_FAIL,pct_breakout_t,6.4742273703170685,6.4742273703170685
dist_local_swing,vp_profile_concentration,6.271094175285792,6.271094175285792
kf_vol_ratio_mean,ret10h,6.2008361714746005,6.2008361714746005
range_12h_pct,ret10h,6.009375068807818,6.009375068807818
up_vol,dir_path_risk_short_2h,5.9840074404502595,5.9840074404502595
rv_120h,ret10h,5.886341259219517,5.886341259219517
rsi_slope,climax_decay,5.683943991988057,5.683943991988057
flow_persistence,ret10h,5.572947455800576,5.572947455800576
vol_z,accel_5h,5.499556242083113,5.499556242083113
atr_percentile,climax_decay,5.352215049021408,5.352215049021408
downside_semivariance_24,dir_path_risk_short_2h,5.150451249527475,5.150451249527475
dir_path_risk_long_2h,pct_breakout_t,4.986222152752721,4.986222152752721
rv_120h,dir_path_risk_short_2h,4.808399797580276,4.808399797580276
accel_5h,vp_in_lvn_below_zone,4.77108023011603,4.77108023011603
vp_profile_concentration,dir_path_risk_short_2h,4.748182238058894,4.748182238058894
downside_semivariance_24,ret10h,4.689450375382748,4.689450375382748
qv,dist_local_swing,4.65172723772445,4.65172723772445
range_24h_pct,accel_5h,4.571349386528656,4.571349386528656
rsi_slope,flow_persistence,4.556499605688829,4.556499605688829
G_LIQ_GOOD,climax_decay,4.527404883227897,4.527404883227897
ret2h,accel_5h,4.353821936962086,4.353821936962086
wick_ratio,vp_profile_concentration,4.3346664505255115,4.3346664505255115
kf_vol_ratio_mean,flow_persistence,4.284859026908997,4.284859026908997
dir_path_long_2h,ema20_slope_5h,4.258634308151224,4.258634308151224
pers_12,accel_5h,4.183282796800999,4.183282796800999
downside_semivariance_24,kf_vol_ratio_mean,4.177000391593786,4.177000391593786
mkt_rv_ratio,kf_vol_ratio_mean,4.1756046871639585,4.1756046871639585
dn_vol,vp_profile_concentration,4.14444079233249,4.14444079233249
climax_decay,ema20_slope_5h,4.078443272768653,4.078443272768653
kf_vol_ratio_mean,ret2h,4.070523841528038,4.070523841528038
dn_vol,ema20_slope_5h,4.067119588348772,4.067119588348772
atr_pct_base,accel_5h,4.047496420434675,4.047496420434675
dir_path_risk_long_2h,vp_in_lvn_below_zone,4.044289365615981,4.044289365615981
kf_vol_ratio_mean,vol_z_x_regime_trend,4.023503267158776,4.023503267158776
climax_decay,vol_z_x_regime_trend,4.012588444895756,4.012588444895756
qv,mkt_rv_ratio,3.9882959348011746,3.9882959348011746
downside_semivariance_24,qv,3.9570536897150594,3.9570536897150594
dir_path_risk_skew_2h,vp_profile_concentration,3.891216382305243,3.891216382305243
volu_z,dir_path_risk_short_2h,3.8815612951556764,3.8815612951556764
climax_decay,wick_ratio,3.8730208733086156,3.8730208733086156
range_24h_pct,wick_ratio,3.872912351949644,3.872912351949644
dir_path_risk_long_2h,pers_12,3.833616237504103,3.833616237504103
dir_path_risk_long_2h,ret2h,3.802977153101567,3.802977153101567
bars_outside_ema20_atr_band_log_norm,qv,3.778335043418,3.778335043418
dist_local_swing,wick_ratio,3.7624136304957734,3.7624136304957734
