,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
amihud_illiq,0.05878788,0.00786911,0.43918744,60.5,6.448514,567.6114,96.09533,18.202387,507.3133,0.077082485,0.012891316,0.46090785,1.0,1.0,1.0,1.0,0.9846154,1.0,0.0,1.0,0.33333334,0.9461539,1.0
is_high_vol_regime,0.04336865,0.015794182,0.11908433,58.666668,12.119773,283.98038,70.963394,29.314987,171.78253,0.055351745,0.020277517,0.15109423,4.0,0.25,0.0,0.7086208,0.8769231,1.0,0.0,3.0,2.6666667,0.75897217,2.0
rsi_x_high_vol,0.03467773,0.009423809,0.12760709,40.166668,8.552128,188.65025,52.392456,17.542027,156.4796,0.038798753,0.012786218,0.117731705,3.0,0.25,0.33333334,0.54438734,0.9153846,1.0,0.14584509,5.5,1.8333334,0.6855515,3.0
rsi_z_x_regime_vol,0.03524657,0.009710992,0.12792933,36.5,6.2115483,214.47954,52.36674,18.28357,149.98578,0.03871266,0.01323493,0.11323598,2.0,0.0,0.0,0.5551368,0.77692306,0.8333333,0.0,5.5,4.8333335,0.624556,4.0
G_EXH_TAIL_FAIL,0.032772873,0.011914801,0.09014512,49.333332,7.2264943,336.7854,49.349213,22.204819,109.67641,0.038322218,0.016115896,0.09112693,9.0,0.5,0.33333334,0.508391,0.86153847,0.8333333,0.0,8.5,3.0,0.6199997,5.0
vol_regime_z,0.029887874,0.009597497,0.09307478,33.5,7.455423,150.52802,49.6397,15.534185,158.62434,0.036919855,0.011522723,0.11829457,6.0,0.0,0.0,0.4538728,0.66923076,0.8333333,0.0,7.0,7.1666665,0.5419377,6.0
accel_5h,0.027662711,0.0106572965,0.07180298,37.666668,11.085526,127.9847,38.39206,14.976629,98.41669,0.030880265,0.011645724,0.08188334,11.5,0.0,0.0,0.4118236,0.5769231,0.6666667,0.13936692,8.5,9.166667,0.4777021,7.0
vp_accept_hvn_touchrate,0.023936067,0.0046828976,0.12234633,33.833332,4.297932,266.3361,35.52204,9.971819,126.53814,0.029120602,0.0082557425,0.10271752,5.0,0.0,0.0,0.3414007,0.8153846,0.5,0.0,12.5,4.0,0.46661657,8.0
regime_transition_entropy_12h,0.02575764,0.0070521235,0.0940789,41.5,6.551081,262.89554,33.122166,11.192039,98.023056,0.029020818,0.009371815,0.089866035,8.0,0.0,0.0,0.37582323,0.8076923,0.33333334,0.1468374,14.5,4.1666665,0.4659677,9.0
trapped_longs_24,0.024621125,0.011806067,0.051346466,33.5,8.655441,129.65833,41.078995,25.57173,65.990204,0.030761594,0.018299352,0.05171088,22.0,0.0,0.0,0.35434636,0.52307695,0.5,0.0,12.5,10.333333,0.40065974,10.0
