,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
kf_atr_mean,0.04283814,0.012831112,0.14302005,75.666664,11.527744,496.6665,90.82064,26.535646,310.84183,0.06715579,0.018707836,0.24107017,1.0,1.0,1.0,1.0,0.89285713,0.8333333,0.0,1.0,2.0,0.8982143,1.0
atr_percentile,0.030355498,0.0064655114,0.1425187,55.666668,8.825468,351.11768,62.786644,14.526256,271.3819,0.047633562,0.009373342,0.24206482,3.0,1.0,0.0,0.6396944,0.83035713,0.8333333,0.0,3.5,3.1666667,0.6844212,2.0
efficiency,0.02867696,0.006171041,0.13326246,49.833332,5.01387,495.2983,68.6782,12.392079,380.62177,0.04860275,0.0082822405,0.28521594,2.0,0.0,0.0,0.5912442,0.77678573,0.8333333,0.0,4.5,4.1666665,0.64438075,3.0
vol_compression,0.030075101,0.009292088,0.097342126,48.0,10.263203,224.49132,67.34507,23.150972,195.90356,0.04668361,0.015870191,0.13732408,4.0,0.0,0.0,0.63160086,0.65178573,0.8333333,0.0,4.5,6.5,0.6353269,4.0
volume_autocorr_48,0.027549857,0.009861911,0.07696223,52.333332,9.758187,280.6646,66.34492,31.077,141.63683,0.04783487,0.021039495,0.10875616,12.0,0.0,0.0,0.5587109,0.75,0.5,0.0,11.0,4.6666665,0.569791,5.0
vov_fast_slow_ratio,0.026353616,0.010488639,0.06621575,38.166668,9.42367,154.57825,61.20669,26.010668,144.0278,0.039652884,0.016567722,0.09490448,17.0,0.0,0.0,0.52418196,0.4017857,0.8333333,0.0,5.5,11.166667,0.5137465,6.0
adx_14_gt25,0.024899226,0.008991637,0.06894978,56.666668,11.469767,279.96307,53.135098,20.398943,138.40613,0.0394313,0.013441379,0.1156747,15.0,0.0,0.0,0.48220167,0.44642857,0.6666667,0.0,7.5,10.333333,0.47681808,7.0
down_up_vol_ratio_24,0.021480305,0.0053508645,0.08622971,48.0,8.020806,287.25293,44.99231,12.641883,160.12708,0.03264443,0.008697426,0.122525774,7.0,0.0,0.0,0.38351613,0.625,0.5,0.18958999,12.5,7.0,0.45166335,8.0
ema20_gt_ema50,0.024600588,0.010010617,0.060454708,71.333336,14.4990425,350.95038,53.515263,27.611738,103.71978,0.043076552,0.018897345,0.09819313,20.0,0.0,0.0,0.4735816,0.4017857,0.5,0.0,14.5,11.166667,0.4359163,9.0
vp_in_hvn_below_zone,0.023744289,0.0101780305,0.055392962,67.833336,17.247383,266.78604,49.52066,26.018768,94.25104,0.039231382,0.018201608,0.08455853,23.0,0.0,0.0,0.44886497,0.4375,0.5,0.0,16.0,10.5,0.43125075,10.0
vp_in_lvn_below_zone,0.024556605,0.011281075,0.053454734,67.833336,18.469946,249.12694,49.38342,25.32797,96.28573,0.039129328,0.019070832,0.08028514,25.0,0.0,0.0,0.4723121,0.375,0.33333334,0.0,16.0,11.666667,0.40352166,11.0
volatility_ratio_short_long,0.022660483,0.009509009,0.05400116,37.5,10.626225,132.33768,51.917576,26.902664,100.192116,0.03691183,0.018372687,0.07415809,28.0,0.0,0.0,0.4175814,0.38392857,0.5,0.0,11.5,11.5,0.40065193,12.0
bars_outside_ema20_atr_band_log_norm,0.021152329,0.0074390275,0.06014509,46.0,8.925618,237.0704,44.210068,16.184774,120.76351,0.033671957,0.011036082,0.10273578,19.0,0.0,0.0,0.37404925,0.4107143,0.5,0.16617998,20.0,11.0,0.3917147,13.0
clv_mean_4_G_VOL_0,0.02111164,0.007489277,0.059511926,52.0,12.247449,220.78067,44.72968,17.560785,113.93249,0.033198074,0.011704502,0.09416139,21.0,0.0,0.0,0.37287477,0.42857143,0.5,0.0,12.5,10.666667,0.38722396,14.0
adx_14,0.019705905,0.004503079,0.08623492,48.166668,4.669642,496.83206,39.27881,8.7836485,175.64737,0.031042542,0.0062726154,0.15362641,5.0,0.0,0.0,0.3322989,0.66071427,0.16666667,0.17494555,17.0,6.3333335,0.38169023,15.0
variance_ratio_10_48,0.018965518,0.0042020497,0.085598916,40.833332,5.580223,298.79828,43.63129,12.414833,153.33992,0.03187732,0.00821137,0.12375078,10.0,0.0,0.0,0.310928,0.6339286,0.16666667,0.14945386,17.0,6.8333335,0.36196524,16.0
align,0.019494124,0.007373617,0.051537916,48.333332,11.827463,197.51582,38.302864,14.257231,102.90284,0.03172402,0.0117727555,0.08548666,26.5,0.0,0.0,0.32618594,0.38392857,0.33333334,0.3158968,17.0,11.5,0.34117928,17.0
volume_zscore_48h,0.017239101,0.00443007,0.06708396,31.666666,4.714045,212.72128,38.113026,10.874574,133.5779,0.027649198,0.0074108266,0.10315694,16.0,0.0,0.0,0.2610958,0.53571427,0.16666667,0.5821619,28.0,8.666667,0.33163938,18.0
complexity_regime_24h,0.016999543,0.0047135763,0.06130896,42.333332,6.674995,268.48126,35.955505,9.620784,134.37558,0.02766669,0.0072666276,0.10533713,18.0,0.0,0.0,0.25418106,0.5714286,0.16666667,0.359139,26.5,8.0,0.32561368,19.0
up_down_semivol_ratio_tanh,0.018936833,0.006547414,0.054770272,47.166668,10.253726,216.9645,41.73206,18.013607,96.68051,0.03159282,0.01282481,0.07782621,24.0,0.0,0.0,0.31010002,0.45535713,0.16666667,0.1585593,23.0,10.166667,0.31732225,20.0
slope,0.016118875,0.0055514784,0.046801616,27.166666,3.3374975,221.1321,34.009613,9.999973,115.665695,0.023995543,0.006614753,0.087045744,32.5,0.0,0.0,0.22876099,0.49107143,0.16666667,0.7051718,21.5,9.5,0.308845,21.0
