feature_a,feature_b,lift,final_pair_score
trend_t,ret12h,246.15384615384613,246.15384615384613
cumulative_delta_stall,breakout_t,218.80341880341882,218.80341880341882
shock_vol_ratio,ret3h,215.0,215.0
ret28h,loc_pivot_ladder_pos_48,200.0,200.0
compression_score_G_VOL_0,ffd_rv_6h_04,179.020979020979,179.020979020979
impact_24,mr_climax,168.42105263157896,168.42105263157896
climax_vol_24,ffd_diff_8_06,147.97687861271677,147.97687861271677
ll_count_12,trap_quality,139.1304347826087,139.1304347826087
down_up_vol_ratio_24,impulse_reversal_short,118.77091572862793,118.77091572862793
dir_path_long_2h,trend_pct_base,118.51851851851852,118.51851851851852
dist_vwap_24_atr,vp_air_pocket_score,115.3153153153153,115.3153153153153
vp_in_lvn_above_zone,range_norm_12,100.39215686274511,100.39215686274511
breakout_min,trend_strength_vs_reversion,100.3921568627451,100.3921568627451
bars_in_high_vol_state_log_norm_G_VOL_0,dist_weekly_vwap,99.22480620155038,99.22480620155038
zscore_price_200,loc_bb_channel_pos_48,95.52238805970148,95.52238805970148
up_vol,ffd_rv_24h_06,92.79928395614232,92.79928395614232
loc_swing_range_pos_24,loc_pivot_ladder_pos_48,110.3448275862069,88.27586206896552
vp_dist_lvn_above_atr,ffd_atr_expansion_06,87.77764291782982,87.77764291782982
climax_vol_24,asym_ft,86.76687297376954,86.76687297376954
down_up_vol_ratio_24,gap_pct,86.55238095238094,86.55238095238094
body_pct,loc_bb_channel_pos_48,86.4864864864865,86.4864864864865
bb_pos_12,ffd_mr_z_04,86.19528619528619,86.19528619528619
vp_accept_hvn_touchrate,z_breakout_up_24,84.76821192052981,84.76821192052981
dist_vwap_24_atr,press_24,84.48844884488449,84.48844884488449
impact_24,v_power,84.28240458480674,84.28240458480674
vp_in_hvn_above_zone,ffd_rv_24h_06,83.02094212059583,83.02094212059583
ema20_slope_5h,impulse_ratio_24,76.98517605102775,76.98517605102775
wick_ratio_4h_max,ffd_rv_2h_04,74.01704339815089,74.01704339815089
ret8h,ffd_diff_4_05,69.61445334326689,69.61445334326689
zscore_price_200,ret4h,69.5487833687692,69.5487833687692
trend_t,pullback_depth,68.81720430107526,68.81720430107526
vp_lvn_depth_ratio,ffd_z_24_06,67.98647996137132,67.98647996137132
rsi_slope_G_VOL_1,comp_to_exp,67.65625688235036,67.65625688235036
zscore_price_200,impulse_ratio_24,67.36842105263158,67.36842105263158
impact_24,ffd_mr_z_04,67.27105505189857,67.27105505189857
loc_ema_stack_pos_24,ffd_mr_z_04,66.86923045080101,66.86923045080101
rsi_slope_G_VOL_1,z_breakout_up_24,65.80976863753213,65.80976863753213
up_down_return_mass_ratio_tanh,asym_ft,64.67373845199832,64.67373845199832
loc_ema_stack_pos_24,up_down_return_mass_ratio_tanh,63.10982869468996,63.10982869468996
loc_pivot_ladder_pos_48,ffd_atr_expansion_06,61.588247817756006,61.588247817756006
up_down_semivol_ratio_tanh,z_breakout_up_24,61.225459080972485,61.225459080972485
loc_ema_stack_pos_48,ffd_diff_4_05,60.10077874484654,60.10077874484654
atr_expansion,trend_acceleration,59.83013167645213,59.83013167645213
accel_5h,sv_imb_24,56.76274944567628,56.76274944567628
vp_dist_lvn_below_atr,z_r_12,56.63716814159292,56.63716814159292
delta_stall_6,vp_profile_concentration,55.77342047930283,55.77342047930283
body_pct,up_down_return_mass_ratio_tanh,55.73478476001979,55.73478476001979
climax_range_12,ffd_diff_4_05,55.15080297688994,55.15080297688994
