,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
vol_high,0.041615885,0.01333902,0.12983575,61.166668,14.450106,258.91583,374.86182,127.33841,1103.527,0.18181516,0.060860436,0.5431567,3.0,0.6,0.75,1.0,0.6972477,0.8333333,0.0,1.5,5.5,0.84931195,1.0
trail_act_pct,0.0389913,0.019055916,0.07978211,70.833336,19.894863,252.1938,313.67084,159.01527,618.74176,0.17761238,0.08294847,0.3803103,16.5,0.2,0.75,0.923881,0.73394495,0.8333333,0.0,6.0,4.8333335,0.81662077,2.0
climax_decay,0.027273389,0.0026099368,0.2850022,53.666668,3.3499587,859.7453,245.45134,22.538074,2673.0925,0.12449811,0.0101730535,1.5236113,1.0,0.2,0.375,0.5840346,0.94495416,1.0,0.23280925,9.0,1.0,0.71909803,3.0
climax_vol_12,0.032005988,0.011274535,0.09085813,52.666668,12.801909,216.66907,281.4758,95.22292,832.0331,0.1456546,0.04940801,0.42938918,10.0,0.0,0.75,0.7212909,0.7798165,0.8333333,0.0,5.0,4.0,0.71666414,4.0
is_trending,0.030796848,0.007901895,0.12002764,56.166668,11.305112,279.05026,275.40942,80.77329,939.05237,0.13848475,0.039182786,0.48945028,6.0,0.0,0.75,0.6862231,0.78899086,0.8333333,0.0,5.5,3.8333333,0.69967043,5.0
mkt_rv_pct,0.030927384,0.008533665,0.11208585,67.5,11.2952795,403.3765,263.98538,75.59451,921.86945,0.14252834,0.03884633,0.52294075,7.0,0.4,0.375,0.69000894,0.72477067,0.8333333,0.0,7.0,5.0,0.68569756,6.0
t_trail_proxy,0.028020423,0.0064956835,0.12087168,47.166668,8.782875,253.29912,241.29776,66.03306,881.7494,0.12982753,0.03418064,0.4931209,5.0,0.0,0.25,0.6057004,0.79816514,0.6666667,0.0,8.5,3.6666667,0.63267654,7.0
trend_retest_success_rate,0.02719218,0.008118978,0.09107238,56.166668,7.733405,407.93085,230.32411,69.58584,762.35626,0.12352711,0.035933405,0.42464522,11.0,0.4,0.0,0.5816794,0.7614679,0.5,0.0,10.5,4.3333335,0.5852906,8.0
trapped_longs_96,0.024559354,0.006517918,0.09253905,55.0,10.214369,296.15143,204.82022,61.752937,679.3413,0.11623927,0.036626678,0.3688996,12.0,1.0,0.5,0.50532144,0.66972476,0.6666667,0.0,10.5,6.0,0.545358,9.0
rv_ratio_24_120,0.02450904,0.008170284,0.07352168,45.166668,10.073342,202.51747,217.1928,78.663635,599.67615,0.11068212,0.03883556,0.31544626,20.0,0.2,0.75,0.5038622,0.5045872,0.5,0.0,10.5,9.0,0.478271,10.0
kf_vol_ratio_mean,0.0239774,0.008546795,0.06726683,44.666668,12.840907,155.3715,206.82825,80.24764,533.07385,0.106791966,0.04074025,0.2799326,22.0,0.0,0.75,0.48844343,0.3853211,0.6666667,0.1318855,8.0,11.166667,0.47156844,11.0
range_norm_12,0.021821756,0.0053965473,0.08823958,39.833332,7.840422,202.3736,185.39595,53.49381,642.5352,0.09674117,0.026199194,0.35721916,14.0,0.2,0.125,0.42592478,0.73394495,0.33333334,0.0,13.0,4.8333335,0.4677449,12.0
climax_range_12,0.022179406,0.007910128,0.062189396,41.666668,11.352924,152.92194,189.27716,76.264565,469.75742,0.097991884,0.036521245,0.26292664,28.0,0.4,0.25,0.43629745,0.3853211,0.5,0.0,11.5,11.166667,0.41129386,13.0
rsi_z_x_regime_vol,0.02077855,0.005692738,0.07584191,40.333332,8.359958,194.59163,175.86716,48.071804,643.39703,0.097799666,0.025327725,0.3776405,18.0,0.4,0.25,0.3956694,0.56880736,0.33333334,0.0,16.0,7.8333335,0.40982002,14.0
rv_48h,0.020652657,0.0065212375,0.06540664,45.333332,9.42809,217.97745,176.46194,63.763012,488.3524,0.09386477,0.03068928,0.28709033,24.0,0.2,0.75,0.39201823,0.41284403,0.5,0.0,16.0,10.666667,0.39382106,15.0
stage_blowoff,0.020069411,0.00935756,0.043043405,45.166668,12.81167,159.232,162.9619,83.5864,317.7141,0.08866088,0.043511175,0.18066052,40.0,0.0,0.75,0.37510273,0.36697248,0.33333334,0.0,20.5,11.5,0.34804964,16.0
bars_in_high_vol_state_log_norm,0.018001907,0.007917845,0.040928897,48.0,7.5055537,306.9727,161.68925,88.785736,294.45514,0.082383364,0.038850218,0.17469704,43.5,0.2,0.75,0.31514037,0.5321101,0.16666667,0.31315893,29.5,8.5,0.3470127,17.0
rv_24h,0.017019961,0.0023273793,0.12446578,36.833332,5.2730975,257.28607,148.49492,25.529049,863.7509,0.07818894,0.011762987,0.5197243,4.0,0.0,0.25,0.28666168,0.6513761,0.16666667,0.0,24.5,6.3333335,0.34550795,18.0
dir_path_long_2h,0.014745971,0.0011557323,0.18814363,33.333332,4.2687497,260.2896,119.24766,15.49415,917.76605,0.06719638,0.0064302357,0.70220643,2.0,0.2,0.75,0.22071075,0.8440367,0.0,0.14608221,28.0,2.8333333,0.3397042,19.0
kf_state_uncertainty,0.017153854,0.0046168384,0.0637351,32.666668,6.5996633,161.69176,155.47968,47.413193,509.8566,0.0782939,0.022592468,0.27132645,26.0,0.0,0.75,0.29054487,0.58715594,0.16666667,0.14181075,20.5,7.5,0.3386792,20.0
mae_4h,0.014377909,0.0018855081,0.1096385,34.5,2.291288,519.4677,114.74702,16.410759,802.3321,0.06381484,0.00769048,0.5295292,8.0,0.0,0.75,0.2100361,0.7522936,0.0,0.62797713,33.0,4.5,0.3349921,21.0
vol_z_30_calm,0.015604329,0.0028837216,0.08443779,53.5,5.8807597,486.71432,116.52811,25.627735,529.8478,0.0730476,0.016067168,0.33210286,19.0,0.0,0.75,0.24560511,0.66972476,0.0,0.13230954,29.5,6.0,0.3091295,22.0
kf_score_mean,0.014917412,0.0024610292,0.09042118,44.666668,6.896054,289.312,113.893776,25.080383,517.20874,0.06959456,0.015055004,0.32171384,16.5,0.8,1.0,0.22568293,0.6972477,0.0,0.0,26.0,5.5,0.29843754,23.0
rv_120h,0.016990319,0.004331717,0.066641234,46.0,5.6273146,376.02307,133.85611,36.572384,489.91766,0.074838206,0.019079814,0.29354358,23.0,0.0,0.75,0.285802,0.43119267,0.16666667,0.1405841,26.0,10.333333,0.2970185,24.0
mfe_8h,0.015940217,0.0050279736,0.050535373,44.0,6.582806,294.09952,132.27917,47.0963,371.53195,0.07312049,0.02381968,0.2244617,32.0,0.4,0.75,0.25534663,0.49541286,0.16666667,0.0,27.0,9.166667,0.28929386,25.0
dir_path_short_2h,0.015421686,0.005413357,0.043933626,35.333332,7.520343,166.00899,129.75697,48.060577,350.32608,0.06839025,0.02433388,0.19221047,38.0,0.0,0.75,0.24030803,0.40366971,0.0,1.0,22.0,10.833333,0.28308687,26.0
impact_24,0.015362348,0.002467805,0.09563225,36.333332,2.560382,515.5915,122.145,21.92769,680.3908,0.066285655,0.010815204,0.4062603,9.0,0.0,0.75,0.23858711,0.56880736,0.0,0.1331767,24.5,7.8333335,0.28008357,27.0
ret120h,0.011332992,0.0018442207,0.06964282,37.833332,6.387923,224.07301,83.82345,13.302057,528.2168,0.051970188,0.008216519,0.32871592,21.0,0.0,0.75,0.12172652,0.78899086,0.0,0.25647807,39.5,3.8333333,0.2770212,28.0
kf_innov_var,0.016225647,0.0046011265,0.057218943,27.0,5.9721575,122.06644,158.46179,47.203472,531.9554,0.07452726,0.021452388,0.25891352,27.0,0.0,0.75,0.26362476,0.44036698,0.0,0.39833438,24.5,10.166667,0.27500206,29.0
vol_scale,0.010636123,0.0013526147,0.08363587,34.166668,2.67187,436.9079,76.405,8.740101,667.92413,0.047797497,0.0056841215,0.4019268,13.0,0.0,0.75,0.1015157,0.7614679,0.0,0.53345686,43.0,4.3333335,0.27287346,30.0
dist_from_low_vol,0.009097193,0.0011618364,0.071231134,28.5,3.9895697,203.59338,73.13234,7.5669904,706.7987,0.04252815,0.0042025903,0.430364,15.0,0.0,0.75,0.056883212,0.7798165,0.0,0.91028565,51.0,4.0,0.27175418,31.0
trend_overextension_z,0.010259063,0.0015555123,0.067661546,27.5,2.5,302.5,79.367516,16.491133,381.9751,0.046261176,0.008287475,0.25823262,25.0,0.0,0.75,0.0905801,0.7522936,0.0,0.6350328,45.5,4.5,0.26964408,32.0
ffd_amihud_06,0.0075658695,0.0012000782,0.047698878,24.833334,3.1313825,196.94,57.461807,9.756383,338.43066,0.03364448,0.004948785,0.22873309,34.0,0.0,0.75,0.0124713,0.853211,0.0,0.942072,55.0,2.6666667,0.26726556,33.0
ll_count_24,0.008740914,0.0018772109,0.040700585,28.666666,5.022173,163.62991,66.392685,15.087715,292.1575,0.0400322,0.008416164,0.19041656,42.0,0.0,0.75,0.046550293,0.7614679,0.0,0.7758112,50.0,4.3333335,0.25476018,34.0
vol_low,0.018132549,0.0092164185,0.035674304,32.666668,10.176225,104.86316,142.95676,73.23249,279.06512,0.07456269,0.035963334,0.15459065,49.0,0.0,0.75,0.31892928,0.0,0.5,0.0,18.0,18.166666,0.2504111,35.0
