,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
down_up_vol_ratio_24,0.060897276,0.023208065,0.15979265,57.333332,12.995726,252.93787,371.1273,150.7176,913.8645,0.17765939,0.07040299,0.44831708,3.0,0.17898299,0.86473125,1.0,0.42372882,0.8333333,0.0,1.0,5.6666665,0.7809322,1.0
t_trail_proxy,0.047720503,0.009364591,0.24317625,59.0,5.5976186,621.8716,294.11978,79.49691,1088.1738,0.14582397,0.038025357,0.55922234,2.0,1.0,0.0,0.73654485,0.86440676,1.0,0.0,4.0,1.3333334,0.7712014,2.0
vol_compression,0.046726212,0.016860427,0.12949488,52.666668,11.841546,234.24118,275.05756,105.18824,719.25024,0.13308047,0.049377773,0.3586717,6.0,0.0,0.8820546,0.7166651,0.44067797,0.8333333,0.28162888,3.0,5.5,0.6434167,3.0
rv_120h,0.04113511,0.0075509013,0.2240921,55.5,7.2743845,423.4379,257.90817,51.269123,1297.4012,0.12740321,0.024746725,0.65590817,1.0,0.6923753,0.7947355,0.6048771,0.7627119,0.6666667,0.0,4.5,2.3333333,0.6233604,4.0
hh_count_24,0.037771326,0.011618015,0.12279834,49.5,10.32392,237.33716,211.15396,80.00629,557.2812,0.104443856,0.036455598,0.29922754,12.0,0.0,0.5124785,0.5376219,0.6779661,0.6666667,0.0,6.5,3.1666667,0.5651836,5.0
trend_regime_stability,0.031543825,0.0045986283,0.2163717,47.833332,4.913134,465.69617,178.12956,40.91315,775.54865,0.09507273,0.021062845,0.42913595,4.0,0.32429677,0.5010876,0.4131098,0.6440678,0.5,0.12602462,9.5,3.5,0.46952856,6.0
vol_z_30_calm,0.03347601,0.010045951,0.11155174,56.166668,13.170885,239.5203,191.92311,64.3952,572.0066,0.10127581,0.029965328,0.3422886,10.5,0.0,0.7926655,0.45174176,0.59322035,0.16666667,0.29530793,11.0,4.0,0.43652844,7.0
dist_from_high_48h,0.038543176,0.02752999,0.053962108,49.5,22.08129,110.96499,211.3109,141.99037,314.47412,0.10368153,0.06501609,0.16534151,30.0,0.0,0.8820546,0.5530542,0.2542373,0.33333334,0.13974531,14.5,7.3333335,0.42472643,8.0
dist_from_high_120h,0.0341412,0.013634447,0.08549094,45.0,13.796135,146.78024,181.83713,72.526024,455.90176,0.09029681,0.033618897,0.24252772,17.0,0.30847418,0.52638614,0.46504152,0.45762712,0.33333334,0.0,11.5,5.3333335,0.4201796,9.0
rv_24h,0.02992363,0.0045300843,0.19766161,36.333332,1.8856181,700.09467,169.4824,36.786087,780.8465,0.08684083,0.01780375,0.42358103,5.0,0.802646,0.6293375,0.38071582,0.7118644,0.16666667,0.0,11.5,2.8333333,0.4123598,10.0
ffd_cvar_5pct_06,0.03016475,0.009636434,0.09442416,38.166668,8.132582,179.11832,179.70663,58.740383,549.78314,0.090433106,0.029510032,0.27713108,14.0,0.19115648,0.8820546,0.38553673,0.30508474,0.5,0.0,10.5,6.8333335,0.36331642,11.0
mkt_rv_pct,0.029274836,0.006015241,0.1424741,48.0,6.952218,331.40503,163.37454,46.861164,569.5812,0.08380385,0.02292343,0.30637148,8.5,0.25024375,0.49839425,0.36774388,0.47457626,0.16666667,0.26052165,11.0,5.1666665,0.3589293,12.0
impact_24,0.025193853,0.0074199685,0.08554352,34.5,4.7871356,248.63512,147.18503,46.28733,468.02078,0.075908475,0.024017371,0.23991372,15.0,0.14662865,0.39429978,0.28614908,0.5423729,0.16666667,0.21442494,19.0,4.5,0.32869646,13.0
mae_2h,0.029895738,0.0125507675,0.0712112,34.333332,7.5424724,156.28532,174.86992,93.13958,328.31894,0.08272051,0.042827882,0.1597717,27.0,0.0,0.7111526,0.38015813,0.10169491,0.33333334,0.5421974,14.5,8.833333,0.31162056,14.0
vp_profile_concentration,0.017686848,0.0019708734,0.15872383,24.333334,4.109609,144.07967,94.64143,18.591228,481.7864,0.048159655,0.008665588,0.2676509,10.5,0.0,0.8820546,0.1360547,0.779661,0.0,0.8062451,26.0,2.1666667,0.3100576,15.0
complexity_regime_24h,0.023562783,0.0044812122,0.12389612,42.5,5.2519836,343.91766,128.79758,26.330359,630.0263,0.06740742,0.012595763,0.3607372,7.0,0.93225527,0.95376676,0.25353763,0.6101695,0.0,0.13302584,19.0,3.8333333,0.29863936,16.0
bars_outside_ema20_atr_band_log_norm,0.02627384,0.006943027,0.0994256,47.333332,8.1989155,273.26105,132.05254,44.8264,389.00897,0.07062616,0.022090413,0.22580178,18.0,0.0,0.8820546,0.3077422,0.2542373,0.33333334,0.28985244,15.0,7.3333335,0.29731017,17.0
kf_vol_ratio_mean,0.028179942,0.012531482,0.06336913,30.5,10.889598,85.42556,142.29333,62.582634,323.53055,0.07538564,0.032025903,0.17744993,28.0,0.0,0.8820546,0.34585264,0.18644068,0.33333334,0.12602462,12.0,8.0,0.29313037,18.0
ffd_rv_24h_04,0.018186847,0.0027303717,0.12114154,31.0,2.7688746,347.07242,105.91406,20.59927,544.57214,0.054069206,0.010100771,0.28943127,13.0,0.09390882,0.8820546,0.14605165,0.69491524,0.0,0.6230196,24.5,3.0,0.2852082,19.0
up_down_semivol_ratio_tanh,0.026697587,0.008196317,0.08696116,48.0,7.393691,311.61703,150.6843,52.014996,436.52332,0.07661298,0.023392176,0.2509193,16.0,0.43562374,0.6058056,0.3162146,0.2542373,0.16666667,0.31408814,17.5,7.3333335,0.27818173,20.0
kf_atr_mean,0.023997085,0.0046148873,0.12478313,45.166668,6.5170717,313.0283,131.54288,28.140322,614.90155,0.07006526,0.014402802,0.3408462,8.5,0.0,0.7952037,0.262221,0.4915254,0.0,0.0,17.5,5.0,0.2671029,21.0
trend_slope_120h,0.01584169,0.0033034345,0.075969175,27.166666,3.5316033,208.9781,82.974,17.305096,397.84146,0.045175217,0.008989918,0.22700986,21.0,0.0,0.8820546,0.09916281,0.59322035,0.0,0.7428909,30.0,4.0,0.23998918,22.0
