feature_a,feature_b,lift,final_pair_score
bb_pos_24,press_24,5.453730235497563,5.453730235497563
trend_pct,bb_pos_24,5.191224755017403,5.191224755017403
vp_profile_concentration,mae_2h,4.441623480341212,4.441623480341212
ts_24,bb_pos_24,4.213209270902907,4.213209270902907
time_since_trough_12h,trend_slope_120h,4.194132773692105,4.194132773692105
impact_24,bb_pos_24,4.055578030853612,4.055578030853612
tail_asymmetry_q90_q10_atr_norm,trapped_longs_96,4.005231293643556,4.005231293643556
trapped_longs_96,press_24,3.993952121741311,3.993952121741311
vp_profile_concentration,rv_48h,3.9573216617420144,3.9573216617420144
ffd_rv_24h_04,trapped_longs_96,3.6187453362620734,3.6187453362620734
vp_profile_concentration,trend_slope_120h,3.5836769392758248,3.5836769392758248
rv_48h,trapped_longs_96,3.5308027038377032,3.5308027038377032
rv_48h,trend_pct,3.4582001796031925,3.4582001796031925
time_since_trough_12h,bb_pos_24,3.3100944072349376,3.3100944072349376
vol_z_30_calm,vp_profile_concentration,3.2664891857406153,3.2664891857406153
tail_asymmetry_q90_q10_atr_norm,time_since_trough_12h,3.2527486009529767,3.2527486009529767
asset_atr_level,trapped_longs_96,3.2394604246117824,3.2394604246117824
tail_asymmetry_q90_q10_atr_norm,vp_profile_concentration,3.2362055719377048,3.2362055719377048
bars_outside_ema20_atr_band_log_norm,trend_slope_120h,3.1606430636184193,3.1606430636184193
tail_asymmetry_q90_q10_atr_norm,mae_2h,3.1324354994817907,3.1324354994817907
ffd_rv_24h_04,trend_slope_120h,3.1123942383784478,3.1123942383784478
vp_profile_concentration,up_down_semivol_ratio_tanh,3.0796728317159663,3.0796728317159663
vol_scale,press_24,2.871020913133889,2.871020913133889
vol_price_diverge,bb_pos_24,2.8663397098957617,2.8663397098957617
up_down_semivol_ratio_tanh,asset_vol_level,2.8609090622096374,2.8609090622096374
ts_24,rng_z,2.8056501160661056,2.8056501160661056
vol_compression,vp_profile_concentration,2.7821825329964875,2.7821825329964875
asset_atr_level,press_24,2.745950419920758,2.745950419920758
trend_retest_success_rate,mae_2h,2.6809235789337964,2.6809235789337964
dist_from_high_48h,ffd_rv_24h_04,2.6431067174726204,2.6431067174726204
tail_asymmetry_q90_q10_atr_norm,press_24,2.6313090635719365,2.6313090635719365
vol_scale,bb_pos_24,2.6092603384588458,2.6092603384588458
rv_48h,mkt_rv_pct,2.5581372855685753,2.5581372855685753
vp_profile_concentration,vol_scale,2.5560961233205854,2.5560961233205854
vol_compression,rv_48h,2.5444732471381246,2.5444732471381246
complexity_regime_24h,trapped_longs_96,2.5160163205167265,2.5160163205167265
vol_price_diverge,trapped_longs_96,2.459368842856694,2.459368842856694
tail_asymmetry_q90_q10_atr_norm,asset_atr_level,2.4335592066845977,2.4335592066845977
vol_price_diverge,trend_slope_120h,2.41120714099645,2.41120714099645
rv_48h,ffd_rv_24h_04,2.409385332689313,2.409385332689313
tail_asymmetry_q90_q10_atr_norm,vol_scale,2.3877960319923153,2.3877960319923153
vp_profile_concentration,trend_pct,2.3842812480510975,2.3842812480510975
trend_regime_stability,kf_vol_ratio_mean,2.3835972404082826,2.3835972404082826
mkt_rv_pct,trend_slope_120h,2.369302334416247,2.369302334416247
tail_asymmetry_q90_q10_atr_norm,trend_pct,2.3606784556423652,2.3606784556423652
bars_outside_ema20_atr_band_log_norm,trend_pct,2.321551417061842,2.321551417061842
vol_z_30_calm,ambig,2.318888914872098,2.318888914872098
rv_48h,trend_slope_120h,2.315510039919174,2.315510039919174
