feature_a,feature_b,lift,final_pair_score
ll_count_24,hh_count_24,9.276723343093192,9.276723343093192
rv_ratio_24_120,vol_high,4.866329625884731,4.866329625884731
amihud_illiq,vol_z_30_calm,4.619620488651867,4.619620488651867
rv_ratio_24_120,rv_120h,5.4117635392505585,4.329410831400447
amihud_z,ll_count_24,4.174677823008127,4.174677823008127
press_12,hh_count_24,3.8383975862465007,3.8383975862465007
hh_count_24,mkt_rv_pct,3.8316797810468692,3.8316797810468692
pullback_120,ret6h,3.755749886971124,3.755749886971124
rv_ratio_24_120,ll_count_24,3.657062395748087,3.657062395748087
amihud_illiq,rv_ratio_24_120,3.55278161195463,3.55278161195463
ffd_amihud_04,t_trail_proxy,3.5371503361761403,3.5371503361761403
ll_count_24,asset_vol_level,3.4563118194358835,3.4563118194358835
ll_count_24,z_vwap_12,3.421046925439662,3.421046925439662
ll_count_24,rv_120h,3.252341164244911,3.252341164244911
rv_ratio_24_120,z_vwap_12,3.2008673778343866,3.2008673778343866
dist_from_low_48h,rvol_hod_base,3.1426269094002612,3.1426269094002612
trapped_longs_96,rvol_hod_base,3.0945877838777482,3.0945877838777482
press_12,vol_z_30_calm,3.0862065954795073,3.0862065954795073
liq_regime,rvol_hod_base,3.082644189668274,3.082644189668274
ll_count_24,up_down_semivol_ratio_tanh,3.051283730560618,3.051283730560618
rvol_hod_base,up_down_semivol_ratio_tanh,2.949518822712908,2.949518822712908
amihud_illiq,kf_score_mean,2.884456510223199,2.884456510223199
ts_12,ll_count_24,2.8552778098747766,2.8552778098747766
press_12,cusum_strength_norm,2.838365232834352,2.838365232834352
rv_ratio_24_120,mkt_rv_pct,2.8102758346824688,2.8102758346824688
rvol_hod_base,kf_atr_mean,2.8098011462998955,2.8098011462998955
rv_ratio_24_120,pullback_120,2.797262996446774,2.797262996446774
kf_score_mean,rv_ratio_24_120,2.7775659580205447,2.7775659580205447
rvol_hod_base,mkt_rv_pct,2.7469104720526296,2.7469104720526296
amihud_illiq,hh_count_24,2.740567795619242,2.740567795619242
ret2h,vol_high,2.7296172577251183,2.7296172577251183
dist_from_low_48h,trend_pct,2.718235253165913,2.718235253165913
rv_ratio_24_120,ffd_cvar_5pct_06,2.7170043578757457,2.7170043578757457
press_12,grind_score,2.663387653811007,2.663387653811007
rv_ratio_24_120,t_trail_proxy,2.635697094153244,2.635697094153244
amihud_illiq,z_vwap_12,2.6291793268461663,2.6291793268461663
press_12,trend_pct,2.551070863178637,2.551070863178637
kf_atr_mean,vol_high,2.5462259814820696,2.5462259814820696
ts_12,vol_z_30_calm,2.540310428227591,2.540310428227591
vol_z_30_calm,hh_count_24,2.534701818363513,2.534701818363513
rv_120h,vol_high,2.523149082053074,2.523149082053074
amihud_illiq,t_trail_proxy,2.474317186427692,2.474317186427692
ts_12,cusum_strength_norm,2.4262354035517917,2.4262354035517917
dir_path_long_2h,rv_ratio_24_120,2.409574189122717,2.409574189122717
ts_12,vol_high,2.392346115236799,2.392346115236799
hh_count_24,asset_vol_level,2.3865864015244935,2.3865864015244935
regime_stability_24h,ll_count_24,2.3830343656782156,2.3830343656782156
ffd_amihud_04,hh_count_12,2.342271204667678,2.342271204667678
