,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,blended_mu,blended_std,blended_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
base_prob_x_entropy,0.17494589,0.054885264,0.55763716,225.33333,58.721565,864.6757,210.81302,92.02624,482.9289,0.06534745,0.029089373,0.14679894,0.4,7.450581e-09,21473684.0,1.0,0.0,0.29522648,1.0,1.0,1.0,0.0,1.0,0.0,0.95000005,1.0
t_be_proxy,0.071594656,0.025176141,0.2035973,114.166664,34.00204,383.33072,79.21616,29.487015,212.81235,0.025847638,0.0100297555,0.066611834,0.17883055,0.08774811,0.36445647,3.0,0.0,0.0,0.40892258,0.75,0.8333333,0.0,3.0,1.6666666,0.5374074,2.0
time_since_peak_12h,0.062263347,0.021067329,0.18401594,109.5,21.57738,555.6861,75.79841,32.7281,175.5494,0.02329971,0.010418242,0.05210827,0.15063229,0.0661056,0.34324002,4.0,1.0,1.0,0.35555577,0.775,0.8333333,0.0,4.0,1.5,0.51430565,3.0
vol_regime_z,0.0661051,0.02340854,0.18667907,113.666664,32.019093,403.51273,75.99385,36.74583,157.16246,0.024688393,0.011971234,0.050915115,0.15896507,0.09337279,0.2706344,5.0,0.68138754,0.43698117,0.37752718,0.675,0.8333333,0.0,3.0,2.1666667,0.50139,4.0
asset_atr_level,0.060491014,0.036264397,0.10090234,112.333336,59.415672,212.3813,75.487404,52.460526,108.62163,0.024089487,0.018098809,0.03206307,0.13826875,0.07138594,0.26781532,9.0,0.06504932,0.29522648,0.34541962,0.7,0.8333333,0.0,6.0,2.0,0.4899808,5.0
amihud_illiq,0.047730017,0.010835656,0.21024612,87.166664,20.723711,366.63452,52.974358,13.130649,213.72003,0.01661599,0.004281806,0.06448007,0.11279522,0.04317205,0.29469904,2.0,0.0,0.29522648,0.27243802,0.775,0.6666667,0.060991008,7.5,1.5,0.4466405,6.0
vol_z_30_calm,0.05440177,0.022391163,0.13217503,100.0,37.170776,269.02853,61.25229,25.699375,145.98965,0.019541437,0.008267252,0.046190407,0.13532193,0.07398644,0.24750514,6.0,0.0,0.29522648,0.31059453,0.45,0.6666667,0.0,7.0,3.6666667,0.383327,7.0
regime_stability_24h,0.043785434,0.01743414,0.10996608,78.166664,26.841614,227.63266,54.109455,27.216732,107.57475,0.017084444,0.00872807,0.033441324,0.111926965,0.06766743,0.18513554,7.0,0.12395719,0.29522648,0.24987851,0.5,0.6666667,0.0,7.0,3.3333333,0.3624332,8.0
amihud_z,0.049543027,0.024316093,0.10094186,80.0,32.572994,196.48178,45.17897,25.230612,80.89932,0.015213149,0.00869975,0.026603052,0.10509343,0.06478412,0.17048357,10.0,0.046451434,0.29522648,0.28280684,0.375,0.6666667,0.0,7.5,4.1666665,0.34929377,9.0
kf_ret1h_mean,0.027182827,0.009229012,0.0800634,53.0,12.382784,226.84721,29.793896,6.4919257,136.73541,0.009218141,0.0019569485,0.04342175,0.06398125,0.020675654,0.19799136,8.0,0.06637347,0.29522648,0.15492631,0.75,0.33333334,0.0,11.0,1.6666666,0.3227095,10.0
liq_low,0.0015907736,0.0006899095,0.00366796,4.1666665,1.0671874,16.2681,1.7788457,0.6592179,4.80007,0.00054159376,0.00019989997,0.0014673531,0.0035616285,0.0017632518,0.007194206,38.0,0.0,0.29522648,0.008562472,0.875,0.0,0.93659234,37.5,0.8333333,0.27028897,11.0
kf_innov_var,9.360576e-05,0.00013874608,2.1050539e-05,0.33333334,0.47140452,0.07856742,0.057840817,0.08699062,0.01281962,1.7182992e-05,2.6374484e-05,3.7315772e-06,0.0,0.0,0.0,40.0,0.0,0.29522648,0.0,1.0,0.0,0.0,40.0,0.0,0.25,12.0
time_since_trough_12h,0.0032842536,0.0016071462,0.0067114746,8.666667,3.1446605,23.885286,3.4646618,1.1119466,10.795377,0.0010426091,0.0003400712,0.0031964886,0.007478394,0.0035151113,0.015910272,36.0,0.0,0.29522648,0.018247677,0.85,0.0,0.2544549,34.0,1.0,0.23525898,13.0
