,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,blended_mu,blended_std,blended_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
base_prob_x_entropy,0.1363817,0.03163263,0.58799946,161.5,23.970469,1088.0994,103.341064,14.724343,725.287,0.031580906,0.0047669574,0.20922229,0.36867672,0.053043067,2.5624938,1.0,0.0,0.5698852,1.0,0.9166667,1.0,0.0,1.0,0.33333334,0.9291667,1.0
vol_z_30_calm,0.1139917,0.02850397,0.4558701,180.33333,43.744205,743.4153,85.12638,30.917168,234.38437,0.026803043,0.010039725,0.07155606,0.2972469,0.09819441,0.899804,2.0,0.0,0.5698852,0.8349471,0.8333333,1.0,0.12185742,2.0,0.6666667,0.8236471,2.0
vol_regime_z,0.064307004,0.016452082,0.25135976,96.333336,17.82009,520.76685,41.84795,8.650138,202.4535,0.013431569,0.00298881,0.060360823,0.14897998,0.034167603,0.6495929,4.0,0.0,0.5698852,0.46868524,0.41666666,0.6666667,0.13206686,5.0,2.3333333,0.4685469,3.0
asset_atr_level,0.057394743,0.019342823,0.1703038,109.5,36.673107,326.9494,45.386295,17.128323,120.2637,0.013763039,0.00522404,0.036259536,0.15573339,0.054590415,0.4442701,9.0,0.0,0.5698852,0.41772997,0.25,0.8333333,0.48364553,3.0,3.0,0.4414338,4.0
rvol_hod_base,0.055371415,0.0077338177,0.39643988,88.666664,11.967548,656.9247,38.24425,7.013458,208.54517,0.012756941,0.0025722126,0.06326831,0.13428168,0.021125186,0.8535578,3.0,0.15735978,0.5698852,0.40281454,0.5833333,0.33333334,0.30569306,6.5,1.6666666,0.432666,5.0
spike_score,0.04803537,0.007689438,0.30007353,89.333336,15.542058,513.4741,34.72712,9.597026,125.6611,0.010882025,0.0030941805,0.03827135,0.12046469,0.028619237,0.5070625,5.0,0.0,0.5698852,0.34873524,0.625,0.0,0.24614756,8.0,1.5,0.36036178,6.0
volume_entropy_12,0.041279234,0.0068289163,0.24952352,80.0,12.516656,511.3187,29.941467,6.393307,140.22343,0.009323099,0.0018614695,0.046694383,0.10463604,0.020582907,0.5319317,6.0,1.0,1.0,0.29893088,0.5416667,0.0,0.2606363,11.0,1.8333334,0.31286046,7.0
rng_z,0.0451923,0.012125079,0.16843967,78.333336,16.977108,361.4344,33.29255,10.698837,103.59946,0.010750269,0.0035506305,0.03254866,0.11694265,0.035271183,0.3877268,10.0,0.015933845,0.5698852,0.32777694,0.33333334,0.16666667,0.336491,7.0,2.6666667,0.3054352,8.0
impact_z,0.005943902,0.0050557386,0.0069880923,10.666667,6.2360954,18.245033,3.504691,1.8118227,6.7792826,0.0010718787,0.0005988368,0.001918593,0.0113767,0.0069526997,0.018615691,22.0,0.0,0.5698852,0.038448572,0.875,0.0,1.0,23.0,0.5,0.28989673,9.0
vol_state,0.04585495,0.012396604,0.16961713,81.5,21.623674,307.1749,32.71607,10.893477,98.255226,0.010859805,0.0037581574,0.031381167,0.11254031,0.034246963,0.36982322,11.0,0.42022246,0.5698852,0.33266178,0.375,0.0,0.13744284,9.0,2.5,0.2835861,10.0
vol_high,0.050572306,0.013893794,0.18407917,96.666664,18.29086,510.88055,36.26076,7.8802114,166.85374,0.011344078,0.0025918582,0.049650908,0.12762116,0.02845568,0.57236946,7.0,0.0,0.0,0.36743686,0.0,0.5,0.121374056,8.0,4.0,0.283159,11.0
time_since_peak_12h,0.027635671,0.006419272,0.1189746,62.0,14.685594,261.7531,21.084457,7.164854,62.046535,0.006311401,0.00215432,0.018490188,0.07248095,0.023105135,0.22737315,15.0,0.0,0.5698852,0.1983543,0.625,0.0,0.3516878,17.0,1.5,0.28292924,12.0
vol_scale,0.033875838,0.0071578417,0.16032378,63.333332,13.34999,300.458,26.096851,7.1690497,94.99803,0.0078502195,0.0021904577,0.02813382,0.090699755,0.022830898,0.3603207,12.0,0.0,0.5698852,0.2443551,0.5,0.0,0.3509715,13.5,2.0,0.27694386,13.0
t_trail_proxy,0.0021952332,0.00181384,0.0026568216,5.1666665,3.97562,6.714536,1.6610464,1.2668267,2.177942,0.0004937293,0.0003801565,0.00064123224,0.004158595,0.0030165056,0.005733095,24.0,0.0,0.5698852,0.010814424,0.9583333,0.0,0.47260883,24.0,0.16666667,0.2691617,14.0
kf_atr_mean,0.041393958,0.009265684,0.18492533,80.333336,13.486619,478.5072,29.568808,7.507868,116.45309,0.009160692,0.0024282008,0.034559857,0.10411879,0.025616515,0.4231927,8.0,0.0,0.5698852,0.29977658,0.33333334,0.0,0.39006543,10.5,2.6666667,0.26771373,15.0
vol_concentration_12,0.028469257,0.0069033094,0.11740726,58.333332,11.527744,295.18158,23.01332,7.335466,72.19895,0.0068575027,0.0021349501,0.022026438,0.07981296,0.022624305,0.28156042,14.0,0.0,0.5698852,0.20449927,0.5833333,0.0,0.16837583,14.5,1.6666666,0.26672673,16.0
vol_low,0.016677355,0.005909127,0.04706857,30.666666,8.825468,106.56029,11.906549,5.1052365,27.768726,0.003646966,0.0015961857,0.008332591,0.04028391,0.017189119,0.09440818,21.0,0.0,0.5698852,0.11757263,0.75,0.0,0.24401756,19.5,1.0,0.26436585,17.0
asset_vol_level,0.046376154,0.015449227,0.13921393,86.666664,24.49263,306.6682,36.751854,16.2033,83.35948,0.011181724,0.004943335,0.025292834,0.12719591,0.051797755,0.31234556,13.0,0.0,0.5698852,0.33650395,0.0,0.5,0.07656217,6.0,4.0,0.2639053,18.0
time_since_trough_12h,0.00072821905,0.00081742276,0.00054062495,2.8333333,2.7938426,2.3944855,0.47645098,0.49698585,0.38063714,0.00014591575,0.00015474313,0.00011465994,0.00010831039,0.0002421894,8.07298e-06,25.0,0.0,0.5698852,0.0,0.9166667,0.0,0.5375353,25.0,0.33333334,0.25604343,19.0
kf_vol_ratio_mean,0.031209731,0.008815045,0.110498294,59.833332,14.334302,249.7525,23.350943,7.6661634,71.12639,0.0073131663,0.0026425093,0.020239249,0.08030389,0.024486715,0.26335567,16.0,0.0,0.5698852,0.22470129,0.45833334,0.0,0.232715,15.0,2.1666667,0.2498048,20.0
kf_ret1h_mean,0.015526363,0.0052814297,0.045644447,30.833334,8.820745,107.77937,11.03215,3.5790014,34.00623,0.0033386797,0.0011120982,0.0100232,0.037790153,0.011839973,0.12061646,20.0,0.0,0.5698852,0.109087825,0.625,0.0,0.3556765,21.0,1.5,0.23403212,21.0
liq_score,0.024249403,0.00885343,0.06641873,50.0,12.543259,199.31026,17.375322,4.8756766,61.91998,0.005222921,0.0015021347,0.01816009,0.06034217,0.015633339,0.23291105,17.0,0.14474538,0.6321423,0.17339167,0.375,0.0,0.61145526,18.0,2.5,0.21968818,22.0
kf_innov_var,0.01051034,0.01603431,0.0068894294,16.0,20.784609,12.316806,6.4522557,8.410754,4.949806,0.0021973941,0.0030392192,0.001588744,0.019997073,0.026930582,0.01237388,23.0,0.0,0.5698852,0.0721111,0.5,0.0,0.5417037,22.0,2.0,0.1917463,23.0
vol_regime_switch_12h,0.020862816,0.009020449,0.048252273,47.833332,13.09474,174.72876,15.333221,3.9470322,59.56569,0.0045588855,0.0011851157,0.017537054,0.05403854,0.018598618,0.15700972,19.0,0.0,0.5698852,0.14842668,0.29166666,0.0,0.3313041,19.5,2.8333333,0.17111655,24.0
