,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
t_be_proxy,0.03922352,0.011864884,0.12966704,76.5,14.6144905,400.4416,47.430317,13.5433235,166.10657,0.026558723,0.006920932,0.101917736,1.0,0.55518025,0.95732236,0.9428933,0.87777776,1.0,0.0,5.0,1.8333334,0.8880358,1.0
vp_in_lvn_above_zone,0.041179806,0.01801435,0.094134755,93.166664,17.966791,483.1151,54.281635,30.773924,95.74651,0.028764874,0.015307465,0.054053232,9.0,0.0,0.0,1.0,0.7111111,0.8333333,0.0,4.5,4.3333335,0.8527778,2.0
volatility_autocorr_48,0.038196526,0.014575594,0.10009709,47.166668,9.007712,246.97662,61.657207,26.297197,144.56335,0.030791458,0.012902793,0.07348129,3.0,0.0,0.8042871,0.9129141,0.3888889,0.8333333,0.0,3.5,9.166667,0.724325,3.0
direction_entropy_20,0.038894814,0.015848512,0.09545416,51.333332,13.262311,198.6917,57.20843,26.557032,123.23684,0.029418277,0.013411374,0.06452993,5.0,0.3712329,0.6687826,0.933298,0.32222223,0.8333333,0.09898152,2.5,10.166667,0.72381854,4.0
choppiness_index_20,0.036858313,0.016144875,0.08414654,48.666668,10.624918,222.91414,61.038498,29.200926,127.58837,0.029281847,0.013765791,0.062286764,7.0,0.35661212,0.9331466,0.87384987,0.33333334,0.8333333,0.0,3.0,10.0,0.6889508,5.0
clv_mean_4,0.027213788,0.0052208505,0.14185241,65.833336,8.454124,512.65247,35.225857,8.164497,151.98254,0.018656885,0.0042934287,0.08107258,2.0,0.6642169,1.0,0.5923133,0.7888889,0.8333333,0.0,8.0,3.1666667,0.6479945,6.0
evr_slope,0.025227636,0.0060424353,0.10532733,58.666668,9.62058,357.7516,32.382915,8.705284,120.46169,0.017566778,0.004524004,0.06821208,4.0,0.26175323,0.43596137,0.53433484,0.67777777,0.6666667,0.0,9.0,4.8333335,0.5633286,7.0
kf_atr_mean,0.021303846,0.0058385334,0.077734224,50.166668,6.0392237,416.72482,28.077785,11.241683,70.12848,0.01653351,0.0060222084,0.045391478,13.0,1.0,0.7394575,0.41979417,0.6,0.5,0.0,12.5,6.0,0.45588678,8.0
session_progress,0.023180848,0.009533295,0.056365788,59.833332,16.747305,213.7674,27.624958,8.55632,89.19001,0.015138936,0.004977239,0.04604709,16.0,0.692546,0.7993712,0.47458637,0.54444444,0.33333334,0.0,15.5,6.8333335,0.44713363,9.0
asset_atr_level,0.025674673,0.01162621,0.056698512,65.0,14.73092,286.81168,30.027979,12.952918,69.612076,0.017639684,0.007032255,0.04424732,21.0,0.1985681,0.51474607,0.54738444,0.2777778,0.5,0.0,12.5,10.833333,0.44550592,10.0
t_trail_proxy,0.02268901,0.00905957,0.05682291,38.0,11.590226,124.58774,32.706352,13.667489,78.266426,0.016627276,0.0065469383,0.042228334,20.0,0.0,0.557698,0.46022895,0.32222223,0.6666667,0.0,10.5,10.166667,0.4336815,11.0
is_high_vol_regime,0.020066986,0.004451768,0.090454824,69.666664,7.4311657,653.12024,21.8039,3.955944,120.176125,0.013546637,0.0023050392,0.07961313,6.0,0.028366873,0.9331466,0.38368857,0.54444444,0.5,0.0,14.0,6.8333335,0.42213982,12.0
trend_acceleration,0.022853939,0.010342587,0.050500188,58.333332,12.866839,264.46103,27.940784,13.370287,58.389732,0.015497417,0.0069508026,0.03455283,25.0,0.0,0.7282817,0.46504346,0.42222223,0.33333334,0.0,15.0,8.666667,0.41132948,13.0
funding_proxy,0.018834261,0.0051043057,0.06949611,56.833332,10.286182,314.01617,22.347786,7.358336,67.8718,0.0122895,0.0038133021,0.039606567,15.0,0.31249225,0.9645989,0.3477037,0.3888889,0.33333334,0.0,18.5,9.166667,0.33845925,14.0
ema50_slope,0.016950095,0.0061085955,0.047033027,41.0,8.75595,191.98373,21.153587,11.778081,37.992115,0.011738523,0.005963235,0.023107076,45.0,0.0,0.9331466,0.29270238,0.5888889,0.16666667,0.09085486,27.0,6.1666665,0.33775127,15.0
cvar_5pct,0.019327236,0.0075174817,0.049689785,47.833332,11.36393,201.34125,24.175652,12.216621,47.841553,0.012599014,0.0060257395,0.02634285,38.0,0.0,0.9331466,0.3620943,0.41111112,0.16666667,0.0,18.5,8.833333,0.32692966,16.0
kf_score_mean,0.019320305,0.008435847,0.04424857,46.0,10.519822,201.14407,22.836784,9.0969,57.329273,0.012757735,0.005000504,0.03254868,31.0,0.0,0.9331466,0.36189198,0.22222222,0.33333334,0.20104156,20.0,11.666667,0.31464824,17.0
tf_tape,0.018339833,0.0067410218,0.049895924,47.333332,5.9066815,379.3068,24.129864,12.258097,47.49924,0.01223075,0.0056382148,0.026531668,36.0,0.0,0.9331466,0.3332707,0.4,0.16666667,0.0,22.5,9.0,0.3082989,18.0
rv_12h,0.016964069,0.005002944,0.057522055,35.5,6.2383223,202.01746,21.041248,4.463605,99.18758,0.011228377,0.0023350087,0.053993996,14.0,0.49247947,0.95039344,0.29311028,0.5,0.0,0.100463055,25.0,7.5,0.2912338,19.0
trend_slope_120h,0.018458195,0.008573901,0.039737456,42.0,11.503623,153.343,22.907787,9.146596,57.372894,0.0122241,0.0043174983,0.03461,34.0,0.22659372,0.9331466,0.33672583,0.2,0.33333334,0.097398944,20.5,12.0,0.29006916,20.0
volume_autocorr_48,0.01811851,0.0070132758,0.046808425,39.666668,7.845735,200.54774,22.585001,9.953886,51.244534,0.012874119,0.0053845304,0.030781316,35.0,0.23308972,0.8744083,0.32680997,0.26666668,0.16666667,0.34504718,15.0,11.0,0.28866452,21.0
