,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
kf_atr_mean,0.06252334,0.011589436,0.3373045,74.0,8.75595,625.40326,491.58875,109.25118,2211.9624,0.23845266,0.052604824,1.0808831,3.0,0.69014984,1.0,1.0,0.8909091,1.0,0.0,2.5,1.0,0.9227272,1.0
vol_scale,0.060721785,0.0075780842,0.4865524,76.833336,9.299045,634.83527,440.18033,66.24915,2924.6975,0.21695757,0.033362385,1.410888,2.0,0.12825663,0.55254656,0.9669378,0.90909094,1.0,0.0,3.0,0.8333333,0.9090885,2.0
dist_from_low_vol,0.058484975,0.006966385,0.49099958,68.333336,4.9888763,935.9711,455.26706,64.88374,3194.4534,0.22446081,0.028843358,1.746768,1.0,0.4703084,0.7501487,0.9258878,0.92727274,1.0,0.0,3.0,0.6666667,0.89105654,3.0
dist_from_high_48h,0.06015913,0.018034328,0.20067956,68.333336,11.17537,417.83356,482.68073,176.53252,1319.7607,0.2242547,0.08084886,0.6220269,6.0,1.0,0.48707342,0.9566119,0.76363635,1.0,0.0,3.0,2.1666667,0.86704564,4.0
t_trail_proxy,0.04241243,0.016413838,0.10959131,56.666668,9.303524,345.15,326.2517,135.0882,787.9311,0.15487309,0.06139902,0.39065236,12.0,0.23188053,0.48519942,0.63092417,0.7090909,0.6666667,0.0,6.0,2.6666667,0.62428105,5.0
climax_vol_12,0.033028837,0.0061081257,0.17859882,52.833332,8.112062,344.10007,233.3169,45.607647,1193.5886,0.12406547,0.023250328,0.6620226,7.0,0.2039644,0.0,0.45871633,0.72727275,0.6666667,0.15153204,7.5,2.5,0.54168874,6.0
impact_12,0.02978601,0.0072722016,0.12199969,41.333332,7.824463,218.34654,218.96841,49.297073,972.6169,0.10625705,0.02268771,0.497651,10.0,0.029769434,0.5324997,0.3992039,0.47272727,0.5,0.4533301,11.5,4.8333335,0.4354105,7.0
vol_low,0.040505752,0.023791002,0.068963714,61.333332,18.236105,206.28186,281.61057,171.24405,463.1081,0.1399416,0.07908275,0.24763496,23.0,0.40422708,0.5532879,0.5959328,0.0,0.5,0.0,9.0,9.166667,0.40276307,8.0
liq_regime,0.02723581,0.0051339357,0.14448747,48.666668,5.2493386,451.18912,196.38106,36.27194,1063.2329,0.10111708,0.017692775,0.5779006,9.0,0.1865697,0.64805925,0.3524026,0.58181816,0.33333334,0.0,10.0,3.8333333,0.38927597,9.0
amihud_z,0.026282463,0.0027094393,0.25494865,49.0,5.859465,409.76434,180.53734,17.778915,1833.28,0.09215853,0.010523965,0.8070338,4.0,0.0,0.5324997,0.33490676,0.6181818,0.0,0.37591425,13.0,3.5,0.35753986,10.0
