,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
volume_trend_alignment,0.07676254,0.039996557,0.14732487,67.666664,19.507833,234.71483,179.15898,97.87883,327.9355,0.10542113,0.055291086,0.20100194,2.0,0.25158095,1.0,1.0,0.8426966,1.0,0.0,2.5,2.3333333,0.9106742,1.0
regime_stability_24h,0.052115615,0.01501023,0.18094574,44.666668,9.7239685,205.17459,124.0174,42.00819,366.12662,0.0729894,0.02403137,0.2216874,1.0,0.55666786,0.65606654,0.62048167,0.7752809,0.8333333,0.0,2.0,3.3333333,0.66008514,2.0
rv_48h,0.04403755,0.018899819,0.10260976,43.0,9.363048,197.47842,106.31277,65.93114,171.42741,0.061882813,0.036115758,0.10603356,11.0,0.3227173,0.6753897,0.49609396,0.64044946,0.8333333,0.0,4.5,5.3333335,0.557964,3.0
ffd_cvar_5pct_06,0.040080875,0.016885841,0.095137484,43.166668,11.2607975,165.47328,96.88864,61.862923,151.74532,0.058275368,0.03444871,0.09858188,14.0,0.13583657,0.6753897,0.43516827,0.6966292,0.6666667,0.10029898,6.0,4.5,0.5185148,4.0
amihud_illiq,0.034667723,0.007977781,0.15064977,34.0,5.2915025,218.46347,77.16603,25.454735,233.92886,0.04463689,0.015091693,0.13202308,6.0,0.63980675,0.7651597,0.35181546,0.7752809,0.5,0.22987768,8.0,3.3333333,0.4738126,5.0
tail_asymmetry_q90_q10_atr_norm,0.033861835,0.007178924,0.15972084,40.166668,5.520165,292.2668,71.16362,19.815516,255.57045,0.042793866,0.0107461745,0.17041554,3.0,0.20693012,0.13631925,0.33940622,0.6966292,0.5,0.13253234,8.0,4.5,0.44245732,6.0
kf_atr_mean,0.036967143,0.018553767,0.07365457,45.5,13.40087,154.48624,81.990265,47.774292,140.71173,0.05204494,0.027930498,0.096979134,19.0,0.014589552,0.6753897,0.3872224,0.37078652,0.5,0.0,8.5,9.333333,0.38066894,7.0
asset_atr_level,0.029923705,0.009719884,0.09212333,42.666668,5.312459,342.67453,66.35582,19.996576,220.19246,0.04172323,0.011496354,0.15142436,10.0,1.0,0.16150372,0.27876613,0.6516854,0.33333334,0.0,11.5,5.1666665,0.36624274,8.0
t_trail_proxy,0.027280815,0.0036389725,0.20452005,33.333332,4.3076158,257.94107,58.210827,14.936001,226.868,0.035134796,0.007879721,0.15666212,4.0,0.013511999,0.3013027,0.23807037,0.83146065,0.0,0.25019297,12.0,2.5,0.35131353,9.0
vol_price_diverge,0.028250976,0.007007173,0.113900095,47.166668,6.792561,327.51923,57.439526,16.039316,205.70071,0.038838528,0.010835576,0.139211,9.0,0.17707933,0.6753897,0.25300908,0.5955056,0.33333334,0.0,11.0,6.0,0.3380314,10.0
