,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,blended_mu,blended_std,blended_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
vol_high,0.22100508,0.053093437,0.9199488,273.83334,25.919212,2893.0159,336.46686,96.548386,1172.5721,0.122244306,0.03781054,0.395225,0.38085294,0.0322431,4.498605,1.0,1.0,0.37403852,1.0,0.94285715,1.0,0.0,1.0,0.33333334,0.93571424,1.0
kf_ret1h_mean,0.16250673,0.040147122,0.6577915,223.33333,45.338234,1100.1261,265.37164,88.914925,792.01666,0.09140343,0.030916376,0.27023178,0.30851263,0.08567176,1.1109849,2.0,0.62578726,0.50337505,0.7313721,0.94285715,1.0,0.0,2.0,0.33333334,0.787969,2.0
kf_vol_ratio_mean,0.0776729,0.02362047,0.2554174,146.5,27.280945,786.7121,131.70741,35.68471,486.11414,0.042766906,0.012843482,0.14240752,0.15608744,0.056963116,0.42770293,3.0,0.011561289,0.58544713,0.34181014,0.8,0.8333333,0.07142691,4.5,1.1666666,0.51656693,3.0
time_since_peak_12h,0.0807457,0.028077798,0.23220724,140.16667,30.140873,651.829,120.74039,34.403957,423.73734,0.041921623,0.013175452,0.13338612,0.14589876,0.05830749,0.36507225,5.0,0.015935294,0.0,0.3559206,0.82857144,0.6666667,0.14533824,5.0,1.0,0.51016617,4.0
asset_vol_level,0.07079715,0.018388327,0.27257708,154.16667,26.491613,897.1655,123.41845,33.10096,460.1714,0.03851408,0.010469102,0.1416869,0.1468453,0.0588025,0.3667113,4.0,0.14585055,0.6537779,0.3102363,0.7714286,0.6666667,0.08448204,4.0,1.3333334,0.46771124,5.0
asset_atr_level,0.057718564,0.017940316,0.1856953,121.0,26.337553,555.89825,104.0867,40.08113,270.30276,0.032727163,0.012894414,0.08306444,0.11311243,0.03086927,0.41447112,6.0,0.03533325,0.6886198,0.25017864,0.6857143,0.5,0.47413114,5.5,1.8333334,0.40773338,6.0
kf_innov_var,0.0032378554,0.0017710339,0.005919541,8.833333,3.4840908,22.395449,5.8252587,2.589876,13.102418,0.0017055307,0.00072213437,0.0040281075,0.002027336,0.002876983,0.00095240783,24.0,0.0,0.9515877,0.0,0.94285715,0.0,0.6739481,24.0,0.33333334,0.26941168,7.0
vol_z_30_calm,0.019886067,0.006470727,0.061114572,64.166664,14.7243185,279.63,37.0399,9.841402,139.4064,0.010732721,0.002975258,0.038716402,0.041688774,0.018507892,0.093903385,8.0,0.01625073,0.80226696,0.07644957,0.74285716,0.0,0.27143636,13.0,1.5,0.24133337,8.0
vol_regime_switch_12h,0.02067685,0.007972482,0.053625967,68.166664,18.577913,250.11928,38.677094,14.204242,105.31484,0.011255542,0.004186406,0.030261569,0.041844305,0.019512748,0.08973343,14.0,0.47487345,0.7489396,0.0800809,0.6857143,0.0,0.37557426,12.0,1.8333334,0.23425178,9.0
impact_z,0.0066194534,0.003926141,0.0111603625,14.333333,6.073622,33.825687,10.1531105,5.1600227,19.977753,0.0032774317,0.0017076859,0.006290125,0.0076810233,0.0075886813,0.006478741,22.0,0.0,0.9515877,0.015528498,0.6857143,0.0,0.8899403,21.5,1.8333334,0.22446626,10.0
rvol_hod_base,0.017171448,0.0040391055,0.07300097,47.333332,7.4758873,299.68945,30.510899,6.7707615,137.49043,0.009196125,0.002151715,0.039302934,0.032452215,0.01414868,0.07443424,7.0,0.0,0.2841069,0.06398388,0.6571429,0.0,0.44580072,13.5,2.0,0.22176689,11.0
vol_concentration_12,0.013092375,0.004294735,0.039911725,44.666668,8.459052,235.85518,24.268093,7.0888777,83.07948,0.007176211,0.0021091953,0.02441595,0.024457641,0.012997978,0.04602071,16.0,0.0,0.9109233,0.04525254,0.6857143,0.0,0.49414945,15.5,1.8333334,0.22102495,12.0
