layer,feature,value
alpha_model_input,f0,0.0
alpha_model_input,f1,0.0
alpha_model_input,f2,0.0
alpha_model_input,f3,0.006568193435668945
alpha_model_input,f4,0.0
alpha_model_input,f5,0.2735052704811096
alpha_model_input,f6,0.0
alpha_model_input,f7,0.006568193435668945
alpha_model_input,f8,0.0
alpha_model_input,f9,0.2735052704811096
alpha_model_input,f10,0.0
alpha_model_input,f11,-2.053748846054077
alpha_model_input,f12,1.0
alpha_model_input,f13,2.053748846054077
alpha_model_input,f14,0.7345805764198303
alpha_model_input,f15,2.053748846054077
alpha_model_input,f16,2.053748846054077
alpha_model_input,f17,1.0
alpha_model_input,f18,1.091387391090393
alpha_model_input,f19,2.053748846054077
alpha_model_input,f20,1.0
alpha_model_input,f21,0.3498738408088684
alpha_model_input,f22,2.053748846054077
alpha_model_input,f23,1.0
alpha_model_input,f24,1.2105461359024048
alpha_model_input,f25,2.053748846054077
alpha_model_input,f26,2.053748846054077
alpha_model_input,f27,2.053748846054077
alpha_model_input,f28,2.053748846054077
alpha_model_input,f29,2.053748846054077
alpha_model_input,f30,2.053748846054077
alpha_model_input,f31,-1.0
alpha_model_input,f32,2.053748846054077
alpha_model_input,f33,-0.614822506904602
alpha_model_input,f34,-1.573317050933838
alpha_model_input,f35,-0.9831492304801941
alpha_model_input,f36,-0.29524776339530945
alpha_model_input,f37,-0.9877761006355286
alpha_model_input,f38,2.053748846054077
alpha_model_input,f39,1.2056474685668945
alpha_model_input,f40,-0.4450778365135193
alpha_model_input,f41,0.0
alpha_model_input,f42,0.0
alpha_model_input,f43,1.5980476140975952
alpha_model_input,f44,2.053748846054077
alpha_model_input,f45,-0.23922713100910187
alpha_model_input,f46,2.053748846054077
alpha_model_input,f47,2.053748846054077
alpha_model_input,f48,-0.003872449276968837
alpha_model_input,f49,-57.783294677734375
alpha_model_input,f50,0.0
alpha_model_input,f51,0.441281259059906
alpha_model_input,f52,0.661255419254303
alpha_model_input,f53,1.6271382570266724
alpha_model_input,f54,-0.0674532949924469
alpha_model_input,f55,0.8178510665893555
alpha_model_input,f56,0.7474743127822876
alpha_model_input,f57,-0.02200178988277912
alpha_model_input,f58,-0.6651095747947693
alpha_model_input,f59,-0.013368979096412659
alpha_model_input,f60,-0.6700267791748047
alpha_model_input,f61,2.053748846054077
alpha_model_input,f62,2.053748846054077
alpha_model_input,f63,2.053748846054077
alpha_model_input,f64,2.053748846054077
alpha_model_input,f65,2.053748846054077
alpha_model_input,f66,-1.6889992952346802
alpha_model_input,f67,2.053748846054077
alpha_model_input,f68,2.053748846054077
alpha_model_input,f69,0.893674910068512
alpha_model_input,f70,-1.573317050933838
alpha_model_input,f71,0.2735052704811096
alpha_model_input,f72,0.0006693601608276367
alpha_model_input,f73,-0.00012503564357757568
alpha_model_input,f74,-0.28462520241737366
alpha_model_input,f75,-0.9765413999557495
alpha_model_input,f76,1.0102295875549316
alpha_model_input,f77,1.2585712671279907
alpha_model_input,f78,-0.4290770888328552
alpha_model_input,f79,0.17351241409778595
alpha_model_input,f80,-0.5775631666183472
alpha_model_input,f81,0.00144322426058352
alpha_model_input,f82,0.9319196343421936
alpha_model_input,f83,-0.4358683228492737
alpha_model_input,f84,2.053748846054077
alpha_model_input,f85,-0.9999794960021973
alpha_model_input,f86,0.15762808918952942
alpha_model_input,f87,0.0012613438302651048
alpha_model_input,f88,2.053748846054077
alpha_model_input,f89,0.0031113948207348585
alpha_model_input,f90,2.8021795749664307
alpha_model_input,f91,0.001476517878472805
alpha_model_input,f92,0.0016646748408675194
alpha_model_input,f93,-0.001947613200172782
alpha_model_input,f94,-0.0009696113411337137
alpha_model_input,f95,2.053748846054077
alpha_model_input,f96,2.053748846054077
alpha_model_input,f97,-0.9651035666465759
alpha_model_input,f98,-0.1622530221939087
alpha_model_input,f99,1.00000761449337e-06
alpha_model_input,f100,0.002562467008829117
alpha_model_input,f101,0.0016313310479745269
alpha_model_input,f102,0.06035887449979782
alpha_model_input,f103,2.5144756818917813e-06
alpha_model_input,f104,0.08482855558395386
alpha_model_input,f105,0.008969762362539768
alpha_model_input,f106,2.053748846054077
alpha_model_input,f107,2.053748846054077
alpha_model_input,f108,1.6694873571395874
alpha_model_input,f109,0.03367050737142563
alpha_model_input,f110,0.0018624071963131428
alpha_model_input,f111,-0.015580360777676105
alpha_model_input,f112,2.053748846054077
alpha_model_input,f113,-0.28930121660232544
alpha_model_input,f114,-1.3319342136383057
alpha_model_input,f115,0.0
alpha_model_input,f116,0.0
alpha_model_input,f117,0.0
alpha_model_input,f118,-1.7613461017608643
alpha_model_input,f119,57.3653450012207
alpha_model_input,f120,57.3653450012207
alpha_model_input,f121,2.053748846054077
alpha_model_input,f122,2.053748846054077
alpha_model_input,f123,2.053748846054077
alpha_model_input,f124,0.8088100552558899
alpha_model_input,f125,0.5459408760070801
alpha_model_input,f126,2.053748846054077
alpha_model_input,f127,-2.053748846054077
alpha_model_input,f128,0.050014957785606384
alpha_model_input,f129,0.0
alpha_model_input,f130,0.002315223217010498
alpha_model_input,f131,-0.7696042060852051
alpha_model_input,f132,0.0
alpha_model_input,f133,0.0
alpha_model_input,f134,0.0013339966535568237
alpha_model_input,f135,0.009244829416275024
alpha_model_input,f136,0.0017931461334228516
alpha_model_input,f137,0.0013339966535568237
alpha_model_input,f138,0.0010042935609817505
alpha_model_input,f139,0.0019303858280181885
alpha_model_input,f140,0.0006922036409378052
alpha_model_input,f141,-0.00030663609504699707
alpha_model_input,f142,0.011833816766738892
alpha_model_input,f143,0.009244829416275024
alpha_model_input,f144,0.006967432796955109
alpha_model_input,f145,0.019316643476486206
alpha_model_input,f146,0.016330286860466003
alpha_model_input,f147,0.013602279126644135
alpha_model_input,f148,0.0012056820560246706
alpha_model_input,f149,0.0019263620488345623
alpha_model_input,f150,0.0
alpha_model_input,f151,0.0
alpha_model_input,f152,0.0
alpha_model_input,f153,0.0
alpha_model_input,f154,0.007906317710876465
alpha_model_input,f155,0.007121667265892029
alpha_model_input,f156,0.006241962313652039
alpha_model_input,f157,2.053748846054077
alpha_model_input,f158,2.053748846054077
alpha_model_input,f159,0.9732116460800171
alpha_model_input,f160,0.8340726494789124
alpha_model_input,f161,0.5371972918510437
alpha_model_input,f162,0.0020623286254704
alpha_model_input,f163,0.0019260590197518468
alpha_model_input,f164,0.001839564647525549
alpha_model_input,f165,0.002001336542889476
alpha_model_input,f166,0.001921104732900858
alpha_model_input,f167,0.0018639288609847426
alpha_model_input,f168,0.002001336542889476
alpha_model_input,f169,0.0018639288609847426
alpha_model_input,f170,0.0011709026293829083
alpha_model_input,f171,0.0016371100209653378
alpha_model_input,f172,0.0021594567224383354
alpha_model_input,f173,0.0022917792666703463
alpha_model_input,f174,0.0
alpha_model_input,f175,0.0
alpha_model_input,f176,0.4340248703956604
alpha_model_input,f177,0.3228893280029297
alpha_model_input,f178,0.2430858165025711
alpha_model_input,f179,0.27037280797958374
alpha_model_input,f180,1.0144855976104736
alpha_model_input,f181,0.5388046503067017
alpha_model_input,f182,2.053748846054077
alpha_model_input,f183,2.053748846054077
alpha_model_input,f184,2.053748846054077
alpha_model_input,f185,-1.1623190641403198
alpha_model_input,f186,-0.990642249584198
alpha_model_input,f187,-2.053748846054077
alpha_model_input,f188,-2.053748846054077
alpha_model_input,f189,-2.053748846054077
alpha_model_input,f190,2.053748846054077
alpha_model_input,f191,2.053748846054077
alpha_model_input,f192,-1.1087201157167215e-09
alpha_model_input,f193,-0.005434989929199219
alpha_model_input,f194,-0.49715563654899597
alpha_model_input,f195,2.053748846054077
alpha_model_input,f196,2.053748846054077
alpha_model_input,f197,-0.07231144607067108
alpha_model_input,f198,-0.2659311294555664
alpha_model_input,f199,0.4382156729698181
alpha_model_input,f200,-0.49181753396987915
alpha_model_input,f201,0.24921739101409912
alpha_model_input,f202,0.0
alpha_model_input,f203,0.0
alpha_model_input,f204,0.0
alpha_model_input,f205,0.0
alpha_model_input,f206,1.0
alpha_model_input,f207,0.02083333395421505
alpha_model_input,f208,0.10000000149011612
alpha_model_input,f209,0.6922324895858765
alpha_model_input,f210,0.0
alpha_model_input,f211,0.8048537969589233
alpha_model_input,f212,0.48345667123794556
alpha_model_input,f213,0.4634217917919159
alpha_model_input,f214,2.053748846054077
alpha_model_input,f215,2.053748846054077
alpha_model_input,f216,1.107347011566162
alpha_model_input,f217,0.6457912921905518
alpha_model_input,f218,2.053748846054077
alpha_model_input,f219,2.053748846054077
alpha_model_input,f220,0.9565213918685913
alpha_model_input,f221,0.9565213918685913
alpha_model_input,f222,0.3508773148059845
alpha_model_input,f223,0.3508773148059845
alpha_model_input,f224,0.9736840128898621
alpha_model_input,f225,0.9736840128898621
alpha_model_input,f226,0.44680872559547424
alpha_model_input,f227,0.44680872559547424
alpha_model_input,f228,0.30000001192092896
alpha_model_input,f229,0.30000001192092896
alpha_model_input,f230,0.026315990835428238
alpha_model_input,f231,0.4084504246711731
alpha_model_input,f232,0.9736840128898621
alpha_model_input,f233,0.5915495753288269
alpha_model_input,f234,0.9565213918685913
alpha_model_input,f235,0.9565213918685913
alpha_model_input,f236,2.053748846054077
alpha_model_input,f237,2.053748846054077
alpha_model_input,f238,0.8159695863723755
alpha_model_input,f239,0.484872967004776
alpha_model_input,f240,-0.9849492907524109
alpha_model_input,f241,0.04163789749145508
alpha_model_input,f242,0.006546497344970703
alpha_model_input,f243,0.0467529296875
alpha_model_input,f244,0.00490570068359375
alpha_model_input,f245,0.026447772979736328
alpha_model_input,f246,0.03993844985961914
alpha_model_input,f247,2.053748846054077
alpha_model_input,f248,2.053748846054077
alpha_model_input,f249,1.0
alpha_model_input,f250,-0.1332358717918396
alpha_model_input,f251,0.6716117858886719
alpha_model_input,f252,0.46673107147216797
alpha_model_input,f253,0.06689219176769257
alpha_model_input,f254,0.630977988243103
alpha_model_input,f255,-0.012375119142234325
alpha_model_input,f256,1.0576725006103516
alpha_model_input,f257,2.053748846054077
alpha_model_input,f258,-0.6078897714614868
alpha_model_input,f259,18.931013107299805
alpha_model_input,f260,0.0
alpha_model_input,f261,0.0
alpha_model_input,f262,0.7145617008209229
alpha_model_input,f263,0.0
alpha_model_input,f264,0.7151644229888916
alpha_model_input,f265,-0.607889711856842
alpha_model_input,f266,-0.6078897714614868
alpha_model_input,f267,0.0
alpha_model_input,f268,0.0
alpha_model_input,f269,-4.96404766181513e-08
alpha_model_input,f270,0.607889711856842
alpha_model_input,f271,0.3575821816921234
alpha_model_input,f272,0.6078897714614868
alpha_model_input,f273,5.566983222961426
alpha_model_input,f274,0.4755649268627167
alpha_model_input,f275,0.0
alpha_model_input,f276,0.7151644229888916
alpha_model_input,f277,62.79368591308594
alpha_model_input,f278,0.6078897714614868
alpha_model_input,f279,0.607889711856842
alpha_model_input,f280,0.6078897714614868
alpha_model_input,f281,6.583106733160093e-05
alpha_model_input,f282,2.053748846054077
alpha_model_input,f283,1.2055203914642334
alpha_model_input,f284,0.5
alpha_model_input,f285,2.053748846054077
alpha_model_input,f286,2.053748846054077
alpha_model_input,f287,0.0
alpha_model_input,f288,0.0
alpha_model_input,f289,0.0
alpha_model_input,f290,0.0
alpha_model_input,f291,0.0
alpha_model_input,f292,-1.3104876279830933
alpha_model_input,f293,2.053748846054077
alpha_model_input,f294,0.00024271637084893882
alpha_model_input,f295,7.095970067894086e-05
alpha_model_input,f296,-0.005088369362056255
alpha_model_input,f297,-0.0002460837713442743
alpha_model_input,f298,-0.0007257770048454404
alpha_model_input,f299,-0.005088369362056255
alpha_model_input,f300,-0.005088369362056255
alpha_model_input,f301,-0.0025324118323624134
alpha_model_input,f302,-1.3120112419128418
alpha_model_input,f303,-1.7954378128051758
alpha_model_input,f304,0.04730839282274246
alpha_model_input,f305,-0.19299942255020142
alpha_model_input,f306,0.06199020892381668
alpha_model_input,f307,-1.1556435823440552
alpha_model_input,f308,-1.0384172201156616
alpha_model_input,f309,-1.2513103485107422
alpha_model_input,f310,-1.3091403245925903
alpha_model_input,f311,-2.053748846054077
alpha_model_input,f312,0.34607890248298645
alpha_model_input,f313,0.4382156729698181
alpha_model_input,f314,-0.6392926573753357
alpha_model_input,f315,0.04251706600189209
alpha_model_input,f316,0.006568193435668945
alpha_model_input,f317,-1.158312201499939
alpha_model_input,f318,0.04786336421966553
alpha_model_input,f319,-1.8836042881011963
alpha_model_input,f320,-0.6474170684814453
alpha_model_input,f321,0.9840430021286011
alpha_model_input,f322,-0.6607811450958252
alpha_model_input,f323,0.6944278478622437
alpha_model_input,f324,0.04074704647064209
alpha_model_input,f325,-0.8658155798912048
alpha_model_input,f326,0.0
alpha_model_input,f327,1.6361970901489258
alpha_model_input,f328,-0.999183714389801
alpha_model_input,f329,0.7890863418579102
alpha_model_input,f330,-0.07594271004199982
alpha_model_input,f331,0.0
alpha_model_input,f332,2.053748846054077
alpha_model_input,f333,0.5782010555267334
alpha_model_input,f334,2.053748846054077
alpha_model_input,f335,2.053748846054077
alpha_model_input,f336,9.8201322555542
alpha_model_input,f337,1.2608593702316284
alpha_model_input,f338,0.012231171131134033
alpha_model_input,f339,0.02343428134918213
alpha_model_input,f340,0.9341907501220703
alpha_model_input,f341,1.5992182493209839
alpha_model_input,f342,0.06375885009765625
