strategy_id,model,spearman_ic,top_1_mean_net,top_1_hit_rate,top_2_5_mean_net,top_2_5_hit_rate,top_5_mean_net,top_5_hit_rate,top_10_mean_net,top_10_hit_rate,top_20_mean_net,top_20_hit_rate,monotonicity,false_safe_rate,utility_score
bars_in_high_vol_state_log_norm_-0_61002535_dist_weekly_vwap_-0_38453856_loc_ema_stack_pos_48_0_66408622_loc_prev_day_range_pos_24_0_41419065_atr_compression_ratio_0_97724169_ema50_slope_0_00070510805,ridge,,,,,,,,,,,,,,
bars_in_high_vol_state_log_norm_-0_61002535_dist_weekly_vwap_-0_38453856_loc_ema_stack_pos_48_0_66408622_loc_prev_day_range_pos_24_0_41419065_atr_compression_ratio_0_97724169_ema50_slope_0_00070510805,et,,,,,,,,,,,,,,
bars_in_high_vol_state_log_norm_-0_61002535_dist_weekly_vwap_-0_38453856_loc_ema_stack_pos_48_0_66408622_loc_prev_day_range_pos_24_0_41419065_atr_compression_ratio_0_97724169_ema50_slope_0_00070510805,lgbm,,,,,,,,,,,,,,
bars_in_high_vol_state_log_norm_-0_61002535_dist_weekly_vwap_-0_38453856_loc_ema_stack_pos_48_0_66408622_loc_prev_day_range_pos_24_0_41419065_atr_compression_ratio_0_97724169_ema50_slope_0_00070510805,lgbm_clf,,,,,,,,,,,,,,
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701,ridge,,,,,,,,,,,,,,
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701,et,,,,,,,,,,,,,,
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701,lgbm,,,,,,,,,,,,,,
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701,lgbm_clf,,,,,,,,,,,,,,
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701_tbm,ridge,,,,,,,,,,,,,,
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701_tbm,et,,,,,,,,,,,,,,
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701_tbm,lgbm,,,,,,,,,,,,,,
bars_in_high_vol_state_log_norm_0_45356679_dist_prior_day_low_0_011585106_rvol_z_0_89040798_volume_trend_48_-1_0869701_tbm,lgbm_clf,,,,,,,,,,,,,,
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,ridge,,,,,,,,,,,,,,
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,et,,,,,,,,,,,,,,
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,lgbm,,,,,,,,,,,,,,
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575,lgbm_clf,,,,,,,,,,,,,,
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575_tbm,ridge,,,,,,,,,,,,,,
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575_tbm,et,,,,,,,,,,,,,,
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575_tbm,lgbm,,,,,,,,,,,,,,
dist_ema_fast_-0_0008298126_range_24h_pct_0_036314368_rsi_slope_1_1116575_tbm,lgbm_clf,,,,,,,,,,,,,,
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701,ridge,,,,,,,,,,,,,,
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701,et,,,,,,,,,,,,,,
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701,lgbm,,,,,,,,,,,,,,
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701,lgbm_clf,,,,,,,,,,,,,,
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701_tbm,ridge,,,,,,,,,,,,,,
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701_tbm,et,,,,,,,,,,,,,,
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701_tbm,lgbm,,,,,,,,,,,,,,
dist_prior_day_high_0_035536911_dist_prior_day_low_0_012770575_vol_z_0_6473701_tbm,lgbm_clf,,,,,,,,,,,,,,
dist_prior_day_low_0_012672868_loc_prev_week_range_pos_48_0_22452639,ridge,,,,,,,,,,,,,,
dist_prior_day_low_0_012672868_loc_prev_week_range_pos_48_0_22452639,et,,,,,,,,,,,,,,
dist_prior_day_low_0_012672868_loc_prev_week_range_pos_48_0_22452639,lgbm,,,,,,,,,,,,,,
dist_prior_day_low_0_012672868_loc_prev_week_range_pos_48_0_22452639,lgbm_clf,,,,,,,,,,,,,,
