,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
f_15,0.053227298,0.0192763,0.14697558,65.833336,19.23033,225.3746,213.80086,98.824005,462.54764,0.108349584,0.048805106,0.24054109,3.0,0.7982531,0.43042064,0.9503022,0.8382353,1.0,0.0,3.0,1.8333334,0.8018152,1.0
f_5,0.055543073,0.022212818,0.13888524,78.333336,17.249798,355.72073,224.53745,97.87003,515.14307,0.11690968,0.046745125,0.29239145,2.0,0.0,0.61812425,1.0,0.6911765,0.6666667,0.0,1.5,3.5,0.5894608,2.0
f_10,0.029610738,0.005430079,0.16147019,54.833332,6.011563,500.15186,106.93897,19.372578,590.3161,0.056433693,0.008874463,0.3588681,1.0,0.7139475,0.6774644,0.4434776,0.75,0.8333333,0.080107115,9.0,2.8333333,0.57685065,3.0
f_30,0.030671624,0.008462653,0.11116473,52.833332,6.5680203,424.99277,115.099174,34.347073,385.70447,0.059874147,0.0167714,0.21375161,6.0,0.6272346,0.44829622,0.46624482,0.5441176,0.5,0.1786826,11.0,5.1666665,0.49253026,4.0
f_28,0.03111456,0.0130423615,0.07422857,50.333332,12.03698,210.47177,129.34976,54.58202,306.53616,0.065892085,0.027544647,0.15762651,16.0,1.0,1.0,0.47575045,0.13235295,0.6666667,0.17416176,8.5,9.833333,0.48368374,5.0
f_22,0.030363876,0.008754561,0.10531254,45.333332,9.637888,213.23251,114.34637,32.59113,401.18558,0.060512096,0.0156186465,0.234445,7.0,0.18608016,0.6891838,0.45964035,0.60294116,0.5,0.40831906,11.0,4.5,0.43965736,6.0
f_26,0.025246512,0.0058519146,0.10891929,50.0,7.118052,351.21967,90.993065,23.4244,353.46634,0.050403245,0.011975135,0.21214682,9.0,0.48114336,0.8018612,0.34981886,0.64705884,0.16666667,0.16158316,16.0,4.0,0.41325498,7.0
f_0,0.026662968,0.0079690935,0.08920888,48.666668,7.6303487,310.39792,96.77153,29.65728,315.76492,0.051724035,0.013479774,0.19847333,12.0,0.42676365,0.61812425,0.3802168,0.4117647,0.5,0.07668174,10.0,6.6666665,0.37903798,8.0
f_18,0.019675538,0.0029169046,0.13271834,46.333332,4.5338235,473.50272,72.23993,14.929686,349.5457,0.040431365,0.0077703316,0.2103765,5.0,0.4883256,0.712426,0.23026264,0.5147059,0.0,0.5600441,20.5,5.5,0.36293793,9.0
f_42,0.038187034,0.014076268,0.103596315,59.333332,14.173528,248.38167,161.90222,63.085148,415.5071,0.08274512,0.031765636,0.2155397,8.0,0.0,0.23999575,0.6275297,0.27941176,0.6666667,0.0,4.5,8.166667,0.35615498,10.0
f_12,0.020676088,0.006750636,0.063327454,37.833332,8.214148,174.25558,77.16913,27.888544,213.53122,0.04028757,0.013531083,0.11995256,27.0,0.0,0.61812425,0.251735,0.5882353,0.16666667,0.76295996,24.0,4.6666665,0.32812876,11.0
f_35,0.019444264,0.004396482,0.0859959,37.333332,4.7842336,291.3273,66.224724,14.73821,297.5744,0.037274897,0.007868959,0.17656948,15.0,0.0,0.61812425,0.22529937,0.5882353,0.0,1.0,21.5,4.6666665,0.3259136,12.0
f_40,0.008945965,0.0009704784,0.08246479,21.666666,2.9814239,157.45645,32.2615,3.2524931,320.00204,0.017857803,0.0021251652,0.15005945,14.0,0.0,0.61812425,0.0,0.9264706,0.0,0.8979526,42.0,0.8333333,0.32141292,13.0
f_37,0.034435563,0.014502887,0.08176357,57.5,14.852048,222.6124,144.33112,72.59974,286.93588,0.07133393,0.034573533,0.1471799,18.0,0.0,0.61812425,0.54702103,0.22058824,0.6666667,0.0,7.0,8.833333,0.31327108,14.0
