timestamp,symbol,base_asset,quote_asset,sum_open_interest,sum_open_interest_value
2026-04-05 20:00:00+00:00,DUSDT,D,USDT,448814712.0,5920135.3401072
2026-04-05 21:00:00+00:00,DUSDT,D,USDT,448381382.0,6028936.062372
2026-04-05 22:00:00+00:00,DUSDT,D,USDT,451165666.0,6279323.739388
2026-04-05 23:00:00+00:00,DUSDT,D,USDT,454170805.0,6535054.6297289
2026-04-06 00:00:00+00:00,DUSDT,D,USDT,433705263.0,6508411.04036739
2026-04-06 01:00:00+00:00,DUSDT,D,USDT,444613246.0,6091810.59034702
2026-04-06 02:00:00+00:00,DUSDT,D,USDT,441627778.0,5952166.45005062
2026-04-06 03:00:00+00:00,DUSDT,D,USDT,440553672.0,6133154.72813784
2026-04-06 04:00:00+00:00,DUSDT,D,USDT,442735977.0,6259932.5259984
2026-04-06 05:00:00+00:00,DUSDT,D,USDT,436715342.0,5941267.66731848
2026-04-06 06:00:00+00:00,DUSDT,D,USDT,426475748.0,5653362.515488
2026-04-06 07:00:00+00:00,DUSDT,D,USDT,401129766.0,5337432.666396
2026-04-06 08:00:00+00:00,DUSDT,D,USDT,400647937.0,5176171.0220715
2026-04-06 09:00:00+00:00,DUSDT,D,USDT,402472365.0,4661032.459065
2026-04-06 10:00:00+00:00,DUSDT,D,USDT,395236657.0,4575259.541432
2026-04-06 11:00:00+00:00,DUSDT,D,USDT,394361795.0,4581206.3256842
2026-04-06 12:00:00+00:00,DUSDT,D,USDT,394820298.0,4552120.1078208
2026-04-06 13:00:00+00:00,DUSDT,D,USDT,394569029.0,4506215.0525974
2026-04-06 14:00:00+00:00,DUSDT,D,USDT,399561367.0,5070833.308597
2026-04-06 15:00:00+00:00,DUSDT,D,USDT,394314703.0,4806349.23263136
2026-04-06 16:00:00+00:00,DUSDT,D,USDT,385258592.0,4543997.95730464
2026-04-06 17:00:00+00:00,DUSDT,D,USDT,378583950.0,4592537.5381785
2026-04-06 18:00:00+00:00,DUSDT,D,USDT,382387626.0,4524968.67676596
2026-04-06 19:00:00+00:00,DUSDT,D,USDT,376193195.0,4909396.433389
2026-04-06 20:00:00+00:00,DUSDT,D,USDT,375767475.0,4723780.4435745
2026-04-06 21:00:00+00:00,DUSDT,D,USDT,375325271.0,4644650.228625
2026-04-06 22:00:00+00:00,DUSDT,D,USDT,377936174.0,4757755.34852772
2026-04-06 23:00:00+00:00,DUSDT,D,USDT,375754021.0,4627230.40668492
2026-04-07 00:00:00+00:00,DUSDT,D,USDT,374081359.0,4494007.70227855
2026-04-07 01:00:00+00:00,DUSDT,D,USDT,377597357.0,4505869.261081
2026-04-07 02:00:00+00:00,DUSDT,D,USDT,372811399.0,4383516.429442
2026-04-07 03:00:00+00:00,DUSDT,D,USDT,373895836.0,4366202.27551524
2026-04-07 04:00:00+00:00,DUSDT,D,USDT,381417647.0,4458772.29343
2026-04-07 05:00:00+00:00,DUSDT,D,USDT,380356330.0,4407188.79571
2026-04-07 06:00:00+00:00,DUSDT,D,USDT,384652093.0,4494659.706705
2026-04-07 07:00:00+00:00,DUSDT,D,USDT,388296835.0,4731785.23131
2026-04-07 08:00:00+00:00,DUSDT,D,USDT,388858698.0,4828283.4666519
2026-04-07 09:00:00+00:00,DUSDT,D,USDT,376896435.0,5311978.35489
2026-04-07 10:00:00+00:00,DUSDT,D,USDT,367099448.0,4718758.71149816
2026-04-07 11:00:00+00:00,DUSDT,D,USDT,368465222.0,4621412.40784726
2026-04-07 12:00:00+00:00,DUSDT,D,USDT,362065824.0,4432047.751584
2026-04-07 13:00:00+00:00,DUSDT,D,USDT,356699574.0,4236164.140824
2026-04-07 14:00:00+00:00,DUSDT,D,USDT,355490176.0,4267254.30407936
2026-04-07 15:00:00+00:00,DUSDT,D,USDT,353379973.0,4232124.49604449
2026-04-07 16:00:00+00:00,DUSDT,D,USDT,351980710.0,4375000.5518586
2026-04-07 17:00:00+00:00,DUSDT,D,USDT,347787462.0,4190950.20908784
2026-04-07 18:00:00+00:00,DUSDT,D,USDT,344753500.0,4207382.056605
2026-04-07 19:00:00+00:00,DUSDT,D,USDT,346782213.0,4152717.000675
2026-04-07 20:00:00+00:00,DUSDT,D,USDT,344089083.0,4138015.312158
2026-04-07 21:00:00+00:00,DUSDT,D,USDT,338425826.0,4018468.257924
2026-04-07 22:00:00+00:00,DUSDT,D,USDT,339409898.0,4045300.99259974
2026-04-07 23:00:00+00:00,DUSDT,D,USDT,334969240.0,4014606.3414
2026-04-08 00:00:00+00:00,DUSDT,D,USDT,332263182.0,4056953.38801092
2026-04-08 01:00:00+00:00,DUSDT,D,USDT,332439172.0,4017397.74234292
