timestamp,symbol,base_asset,quote_asset,sum_open_interest,sum_open_interest_value
2026-04-05 20:00:00+00:00,IMXUSDT,IMX,USDT,20793811.0,2723026.07167448
2026-04-05 21:00:00+00:00,IMXUSDT,IMX,USDT,20843911.0,2730552.341
2026-04-05 22:00:00+00:00,IMXUSDT,IMX,USDT,20891529.0,2727315.78168321
2026-04-05 23:00:00+00:00,IMXUSDT,IMX,USDT,21001659.0,2770118.8221
2026-04-06 00:00:00+00:00,IMXUSDT,IMX,USDT,21008840.0,2805744.0276576
2026-04-06 01:00:00+00:00,IMXUSDT,IMX,USDT,20963369.0,2838440.1626
2026-04-06 02:00:00+00:00,IMXUSDT,IMX,USDT,20967859.0,2818052.9913833
2026-04-06 03:00:00+00:00,IMXUSDT,IMX,USDT,21274405.0,2900840.64588775
2026-04-06 04:00:00+00:00,IMXUSDT,IMX,USDT,21275367.0,2893449.912
2026-04-06 05:00:00+00:00,IMXUSDT,IMX,USDT,21324181.0,2897956.1979
2026-04-06 06:00:00+00:00,IMXUSDT,IMX,USDT,21280103.0,2898350.0286
2026-04-06 07:00:00+00:00,IMXUSDT,IMX,USDT,21259987.0,2902677.68687841
2026-04-06 08:00:00+00:00,IMXUSDT,IMX,USDT,21276009.0,2904175.2285
2026-04-06 09:00:00+00:00,IMXUSDT,IMX,USDT,21286214.0,2915112.73649546
2026-04-06 10:00:00+00:00,IMXUSDT,IMX,USDT,21341970.0,2944294.8570009
2026-04-06 11:00:00+00:00,IMXUSDT,IMX,USDT,21250983.0,2965561.28953071
2026-04-06 12:00:00+00:00,IMXUSDT,IMX,USDT,21981908.0,3066476.166
2026-04-06 13:00:00+00:00,IMXUSDT,IMX,USDT,21559049.0,2988084.1914
2026-04-06 14:00:00+00:00,IMXUSDT,IMX,USDT,21456758.0,2962098.57573744
2026-04-06 15:00:00+00:00,IMXUSDT,IMX,USDT,21359629.0,2948558.15945779
2026-04-06 16:00:00+00:00,IMXUSDT,IMX,USDT,21274325.0,2938872.2728255
2026-04-06 17:00:00+00:00,IMXUSDT,IMX,USDT,21134073.0,2904677.34881577
2026-04-06 18:00:00+00:00,IMXUSDT,IMX,USDT,20980312.0,2886890.9312
2026-04-06 19:00:00+00:00,IMXUSDT,IMX,USDT,21013556.0,2895937.83085904
2026-04-06 20:00:00+00:00,IMXUSDT,IMX,USDT,20924791.0,2875593.16963738
2026-04-06 21:00:00+00:00,IMXUSDT,IMX,USDT,20816197.0,2860145.4678
2026-04-06 22:00:00+00:00,IMXUSDT,IMX,USDT,20847284.0,2849823.7228
2026-04-06 23:00:00+00:00,IMXUSDT,IMX,USDT,20204665.0,2709580.34161555
2026-04-07 00:00:00+00:00,IMXUSDT,IMX,USDT,19927044.0,2682267.60212316
