timestamp,symbol,base_asset,quote_asset,sum_open_interest,sum_open_interest_value
2026-04-05 20:00:00+00:00,RVNUSDT,RVN,USDT,255705316.0,1441387.85281356
2026-04-05 21:00:00+00:00,RVNUSDT,RVN,USDT,255212839.0,1439400.41196
2026-04-05 22:00:00+00:00,RVNUSDT,RVN,USDT,256372179.0,1445939.08956
2026-04-05 23:00:00+00:00,RVNUSDT,RVN,USDT,256416434.0,1453881.18078
2026-04-06 00:00:00+00:00,RVNUSDT,RVN,USDT,255578614.0,1464465.45822
2026-04-06 01:00:00+00:00,RVNUSDT,RVN,USDT,255607174.0,1464629.10702
2026-04-06 02:00:00+00:00,RVNUSDT,RVN,USDT,255490475.0,1453740.80275
2026-04-06 03:00:00+00:00,RVNUSDT,RVN,USDT,256682482.0,1475318.50084248
2026-04-06 04:00:00+00:00,RVNUSDT,RVN,USDT,256661728.0,1468105.08416
2026-04-06 05:00:00+00:00,RVNUSDT,RVN,USDT,257005985.0,1467504.17435
2026-04-06 06:00:00+00:00,RVNUSDT,RVN,USDT,256920525.0,1467016.19775
2026-04-06 07:00:00+00:00,RVNUSDT,RVN,USDT,257902061.0,1472620.76831
2026-04-06 08:00:00+00:00,RVNUSDT,RVN,USDT,259150472.0,1482231.85664176
2026-04-06 09:00:00+00:00,RVNUSDT,RVN,USDT,261258259.0,1493096.17535018
2026-04-06 10:00:00+00:00,RVNUSDT,RVN,USDT,269260870.0,1554335.298162
2026-04-06 11:00:00+00:00,RVNUSDT,RVN,USDT,275909584.0,1600866.03370976
2026-04-06 12:00:00+00:00,RVNUSDT,RVN,USDT,276032977.0,1602360.39016592
2026-04-06 13:00:00+00:00,RVNUSDT,RVN,USDT,277065866.0,1602427.05996296
2026-04-06 14:00:00+00:00,RVNUSDT,RVN,USDT,276943959.0,1599348.59378541
2026-04-06 15:00:00+00:00,RVNUSDT,RVN,USDT,276713554.0,1609468.41407898
2026-04-06 16:00:00+00:00,RVNUSDT,RVN,USDT,276457053.0,1613137.96253712
2026-04-06 17:00:00+00:00,RVNUSDT,RVN,USDT,275637266.0,1602513.7189341
2026-04-06 18:00:00+00:00,RVNUSDT,RVN,USDT,274418372.0,1591626.5576
2026-04-06 19:00:00+00:00,RVNUSDT,RVN,USDT,274623585.0,1594195.4033967
2026-04-06 20:00:00+00:00,RVNUSDT,RVN,USDT,275388145.0,1595852.2692234
2026-04-06 21:00:00+00:00,RVNUSDT,RVN,USDT,275039141.0,1592476.62639
2026-04-06 22:00:00+00:00,RVNUSDT,RVN,USDT,274947262.0,1590369.19916874
2026-04-06 23:00:00+00:00,RVNUSDT,RVN,USDT,269716296.0,1531958.89248744
2026-04-07 00:00:00+00:00,RVNUSDT,RVN,USDT,266994732.0,1516530.07776
2026-04-07 01:00:00+00:00,RVNUSDT,RVN,USDT,267940625.0,1520563.046875
2026-04-07 02:00:00+00:00,RVNUSDT,RVN,USDT,267968649.0,1507337.04905745
2026-04-07 03:00:00+00:00,RVNUSDT,RVN,USDT,267301574.0,1504907.86162
2026-04-07 04:00:00+00:00,RVNUSDT,RVN,USDT,267607305.0,1506629.12715
2026-04-07 05:00:00+00:00,RVNUSDT,RVN,USDT,267582168.0,1511839.2492
2026-04-07 06:00:00+00:00,RVNUSDT,RVN,USDT,267104525.0,1507070.50618125
2026-04-07 07:00:00+00:00,RVNUSDT,RVN,USDT,266855396.0,1502395.87948
2026-04-07 08:00:00+00:00,RVNUSDT,RVN,USDT,268354664.0,1518887.39824
2026-04-07 09:00:00+00:00,RVNUSDT,RVN,USDT,268882838.0,1516499.20632
2026-04-07 10:00:00+00:00,RVNUSDT,RVN,USDT,268783446.0,1524002.13882
2026-04-07 11:00:00+00:00,RVNUSDT,RVN,USDT,269275233.0,1507941.3048
2026-04-07 12:00:00+00:00,RVNUSDT,RVN,USDT,271418969.0,1509089.46764
2026-04-07 13:00:00+00:00,RVNUSDT,RVN,USDT,270573249.0,1505686.0160352
2026-04-07 14:00:00+00:00,RVNUSDT,RVN,USDT,270033875.0,1501388.345
2026-04-07 15:00:00+00:00,RVNUSDT,RVN,USDT,268964869.0,1490065.37426
2026-04-07 16:00:00+00:00,RVNUSDT,RVN,USDT,268803971.0,1489173.99934
