,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
vp_accept_poc_touchrate,0.050954346,0.0104564885,0.24829994,78.333336,9.655166,635.52625,168.694,43.483284,654.45074,0.11687828,0.028027352,0.48740003,3.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.95000005,1.0
ffd_ema_spread_06,0.033067543,0.0054195668,0.20176198,46.5,5.59017,386.79504,120.86829,25.822584,565.7507,0.07510528,0.01598575,0.3528644,6.0,0.0,0.0,0.59177476,0.90804595,1.0,0.0,4.0,1.3333334,0.7024876,2.0
dist_vwap_12_atr,0.030375408,0.003534704,0.26103047,51.5,4.645787,570.8936,105.51797,10.248566,1086.3999,0.06473904,0.0055896244,0.74980766,1.0,0.5,0.5,0.5303329,0.90804595,1.0,0.0,4.0,1.3333334,0.6686946,3.0
reversion_target_distance,0.034275975,0.009600582,0.12237201,52.833332,9.388231,297.32556,127.15314,39.24413,411.9832,0.07721495,0.022410039,0.2660481,8.0,1.0,1.0,0.6193544,0.74712646,0.8333333,0.0,3.0,3.6666667,0.6524266,4.0
ffd_diff_8_04,0.026988048,0.0065506343,0.11118843,49.833332,8.74484,283.98016,90.330826,19.852995,411.00385,0.058491237,0.012339232,0.277264,10.5,0.5,0.5,0.4530242,0.83908045,0.8333333,0.0,8.0,2.3333333,0.5839334,5.0
ffd_mr_z_04,0.028364459,0.006963253,0.11554119,47.5,4.462809,505.5672,100.83428,27.139765,374.63672,0.06519025,0.016956862,0.25062233,10.5,0.0,0.0,0.48443764,0.7011494,0.8333333,0.0,5.5,4.3333335,0.56672806,6.0
dist_vwap_norm_G_VOL_1,0.022436567,0.002163824,0.23264349,42.5,5.1234756,352.5439,75.83608,6.690392,859.6075,0.04785199,0.004419943,0.51806396,2.0,0.0,0.0,0.34914708,0.87356323,0.5,0.0,11.5,1.8333334,0.48542172,7.0
trapped_longs_12,0.02216713,0.002817061,0.17443058,43.833332,2.7938426,687.71277,75.298294,9.599502,590.63824,0.04708694,0.004941529,0.44868296,5.0,0.0,0.0,0.3429978,0.77011496,0.5,0.35467154,13.0,3.3333333,0.4739111,8.0
vp_in_poc_zone,0.02762253,0.009140007,0.083479606,53.166668,10.17213,277.8862,82.85168,29.974075,229.01125,0.057193287,0.018929934,0.1727989,19.0,0.0,0.0,0.4675048,0.3908046,0.6666667,0.0,5.5,8.833333,0.4548288,9.0
dist_stack,0.023814512,0.006216198,0.09123438,43.0,7.25718,254.78215,90.3728,28.007845,291.6056,0.056834664,0.016105622,0.20056221,18.0,0.0,0.0,0.38059554,0.51724136,0.5,0.0,14.0,7.0,0.41363788,10.0
vp_dist_hvn_above_atr,0.021162668,0.0065311235,0.06857297,40.166668,7.9249954,203.5788,69.59155,21.202854,228.41193,0.047497004,0.01522923,0.1481339,26.0,1.0,1.0,0.32007328,0.4827586,0.33333334,0.17164238,14.0,7.5,0.35531208,11.0
dir_path_edge_2h,0.018523872,0.0023801217,0.1441665,36.5,2.362908,563.818,65.06918,6.0549955,699.2571,0.041121475,0.003370428,0.50170946,4.0,0.0,0.0,0.2598488,0.7126437,0.16666667,0.0,20.0,4.1666665,0.34607777,12.0
breakout_t,0.01983099,0.004102829,0.09585293,38.833332,8.858455,170.23598,68.10533,14.226581,326.0331,0.043838575,0.009752535,0.19705859,16.0,0.0,0.0,0.28968078,0.49425286,0.33333334,0.18138556,16.0,7.3333335,0.3419569,13.0
rv_48h,0.018662361,0.0046980977,0.074132934,39.166668,6.148622,249.4913,64.32408,20.955986,197.44179,0.043156624,0.013212904,0.14096025,22.0,1.0,1.0,0.2630095,0.52873564,0.33333334,0.0,28.0,6.8333335,0.32683915,14.0
tf_tape,0.02092409,0.006464136,0.06773025,32.666668,5.6470246,188.96873,67.47108,20.82924,218.55553,0.044665482,0.013010042,0.1533435,28.0,0.5,0.0,0.31462824,0.27586207,0.5,0.1844528,17.5,10.5,0.32623369,15.0
ffd_dist_ema_fast_04,0.012499464,0.0014185138,0.11014105,29.833334,3.97562,223.87143,39.74825,5.566169,283.8439,0.026940022,0.0037501242,0.19353084,14.0,0.0,0.0,0.12235549,0.7816092,0.0,0.78762335,40.0,3.1666667,0.302079,16.0
dir_path_risk_skew_2h,0.017705573,0.003115017,0.10063743,38.166668,5.669117,256.9526,60.431145,9.436995,386.9795,0.03777211,0.006377419,0.2237163,15.0,0.0,0.0,0.241173,0.54022986,0.16666667,0.0,26.5,6.6666665,0.29270262,17.0
kf_ret1h_mean,0.016216349,0.0021890858,0.12012777,36.5,4.0722637,327.1522,56.755196,6.6812615,482.11734,0.036005363,0.004979093,0.26036593,9.0,0.0,0.0,0.20718487,0.6551724,0.0,0.16107291,23.5,5.0,0.28579843,18.0
rolling_range_20,0.01530562,0.0017884184,0.13098837,38.833332,3.8908725,387.58087,42.962494,3.188939,578.8056,0.033668187,0.002668598,0.42477244,7.0,0.0,0.0,0.18639956,0.6551724,0.0,0.32846278,26.5,5.0,0.282736,19.0
