feature_a,feature_b,lift,final_pair_score
vp_air_pocket_score,pullback_48,8.341908485971052,8.341908485971052
ffd_range_24_04,churn,5.92903684031745,5.92903684031745
slope_G_VOL_1,ffd_dist_ema_fast_04,5.728387816918496,5.728387816918496
gap_pct,prior_volatility,5.571398662370618,5.571398662370618
ema20_gt_ema50,churn,5.374450061036056,5.374450061036056
ffd_amihud_06,pullback_48,4.927294750358463,4.927294750358463
mkt_rv_ratio_G_VOL_1,cumulative_delta_stall,4.798593454692345,4.798593454692345
retrace_12,vp_dist_poc_atr,4.665183486586838,4.665183486586838
pullback_8,dir_path_short_2h,4.5746397149597415,4.5746397149597415
ffd_range_24_04,thrust_decay_8,4.565721419654005,4.565721419654005
ffd_amihud_06,churn,4.420587770637921,4.420587770637921
ffd_range_24_04,gap_pct,4.357823486569308,4.357823486569308
asset_atr_level,dir_path_short_2h,4.355686440229765,4.355686440229765
body_pct,pullback_48,4.245032812449845,4.245032812449845
prior_volatility,dir_path_short_2h,4.2438051861226045,4.2438051861226045
prior_volatility,speed,4.235087954723239,4.235087954723239
ffd_range_24_06,slope_G_VOL_1,4.042541180397502,4.042541180397502
cumulative_delta_stall,thrust_decay_8,4.035178212538178,4.035178212538178
is_high_vol_regime,vp_in_hvn_below_zone,3.9638778114191635,3.9638778114191635
tf_tape,dist_vwap_24_atr,3.9326029418321395,3.9326029418321395
cumulative_delta_stall,ffd_dist_ema_fast_04,3.929022584796289,3.929022584796289
ffd_range_24_04,adx_7,3.917201098069466,3.917201098069466
dir_path_short_2h,speed,3.9139720529595627,3.9139720529595627
is_high_vol_regime,asset_vol_level,3.903372329451114,3.903372329451114
breakout_t,vp_dist_poc_atr,3.8672083555378314,3.8672083555378314
trapped_longs_12,thrust_decay_8,3.818300595897668,3.818300595897668
tail_against_G_VOL_1,dir_path_short_2h,3.809486691776293,3.809486691776293
slope_G_VOL_1,pullback_48,3.8061390891360154,3.8061390891360154
is_high_vol_regime,ffd_amihud_06,3.796921155150807,3.796921155150807
ffd_range_24_04,kf_atr_mean,3.7810089190971925,3.7810089190971925
prior_volatility,thrust_decay_8,3.777386097746207,3.777386097746207
prior_volatility,retrace_12,3.7720553864471498,3.7720553864471498
gap_pct,dir_path_short_2h,3.7621680909594093,3.7621680909594093
trapped_longs_12,gap_pct,3.7434298346993438,3.7434298346993438
prior_volatility,ffd_amihud_06,3.6823680008479136,3.6823680008479136
vp_dist_hvn_above_atr,slope_G_VOL_1,3.6594799298357836,3.6594799298357836
ffd_dist_ema_fast_04,realized_volatility_24h,3.6066023816322645,3.6066023816322645
body_pct,ffd_amihud_06,3.540741457134493,3.540741457134493
pullback_48,ffd_dist_ema_fast_04,3.5284123831972862,3.5284123831972862
rolling_range_20,volu_z,3.522557451179521,3.522557451179521
ffd_range_24_04,body_pct,3.5161198373646174,3.5161198373646174
rolling_range_20,pullback_48,3.480391948179632,3.480391948179632
bollinger_band_width,speed,3.460617241577736,3.460617241577736
adx_7,pullback_48,3.4466225102396804,3.4466225102396804
kf_ret1h_mean,cumulative_delta_stall,3.4341347833457525,3.4341347833457525
vp_dist_lvn_below_atr,churn,3.4333865438463347,3.4333865438463347
ffd_range_24_04,dir_path_short_2h,3.4295459820203438,3.4295459820203438
vp_dist_poc_atr,dir_path_short_2h,3.419063720750621,3.419063720750621
