,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
clv_mean_2,0.07325929,0.0093998825,0.57095635,82.5,5.315073,1280.5563,317.1743,53.303818,1887.2855,0.19245994,0.032894894,1.1260358,1.0,0.5,0.6666667,1.0,0.97959185,1.0,0.0,1.0,0.33333334,0.944898,1.0
flow_ratio,0.06580084,0.01076111,0.40235168,80.166664,10.975984,585.5233,279.2845,66.11795,1179.7072,0.16912696,0.04058367,0.7048137,2.0,0.5,0.6666667,0.8883856,0.97959185,1.0,0.0,2.0,0.33333334,0.88351,2.0
wick_ratio,0.049069185,0.006265671,0.38428205,63.666668,4.1499667,976.74146,212.0137,38.821674,1157.8535,0.12853287,0.02457783,0.672179,4.0,0.0,0.0,0.6379992,0.97959185,1.0,0.0,3.0,0.33333334,0.7457975,3.0
ema50_gt_ema200,0.04135001,0.009231221,0.1852218,102.5,10.062305,1044.1195,155.43324,29.799004,810.7483,0.10714324,0.018383598,0.62445194,5.0,1.0,1.0,0.52248305,0.90816325,1.0,0.0,5.5,1.5,0.66440654,4.0
trend_acceleration,0.03624367,0.007102523,0.18494888,47.666668,8.730534,260.2488,138.6607,26.779186,717.97516,0.08759265,0.01758586,0.43628645,6.0,0.0,0.0,0.44606754,0.9285714,1.0,0.0,5.5,1.1666666,0.62748003,5.0
cumulative_delta_stall,0.03568248,0.004178091,0.30474192,76.333336,4.5704365,1274.8843,127.39713,13.571034,1195.9315,0.0933368,0.008663381,1.005584,3.0,0.75,0.6666667,0.43766943,0.90816325,1.0,0.0,6.0,1.5,0.617759,6.0
G_EXH_GIVEBACK,0.031559743,0.0076374165,0.13041288,57.833332,7.733405,432.49957,121.32327,33.27921,442.29828,0.08740373,0.023478836,0.3253744,9.0,0.25,0.33333334,0.37597334,0.86734694,0.8333333,0.0,7.5,2.1666667,0.5486221,7.0
clv_mean_4_G_VOL_1,0.032466516,0.009313199,0.113180734,61.833332,10.589565,361.04987,126.41614,43.012604,371.54318,0.079047844,0.026695102,0.23407145,12.0,0.0,0.0,0.38954306,0.8061224,0.8333333,0.0,8.0,3.1666667,0.5407793,8.0
clv_collapse,0.026992714,0.0055699246,0.13081084,71.5,7.455423,685.7089,96.63386,19.73078,473.27588,0.068297006,0.012557015,0.3714642,8.0,0.0,0.0,0.30762854,0.8877551,0.8333333,0.0,8.5,1.8333334,0.5161345,9.0
bars_outside_ema20_atr_band_log_norm,0.021654809,0.0050633466,0.09261282,38.333332,5.1532083,285.15137,80.782104,22.375313,291.64944,0.052157547,0.0143226525,0.18993758,13.0,0.0,0.0,0.22774768,0.7244898,0.8333333,0.17469947,11.0,4.5,0.44011864,10.0
body_pct,0.017579973,0.0019179891,0.16113512,50.5,5.5,463.68182,56.675434,8.189543,392.22028,0.04393307,0.0066964095,0.2882313,7.0,0.75,0.6666667,0.16676845,0.78571427,0.33333334,0.0,17.0,3.5,0.33815122,11.0
tail_fail,0.018292008,0.004829968,0.06927532,31.0,3.9581141,242.7924,64.55975,17.2377,241.79338,0.042774595,0.010762566,0.17000277,16.0,0.0,0.0,0.17742394,0.5408163,0.5,0.15975282,13.5,7.5,0.3157749,12.0
atr_pct_base,0.016005252,0.0022723288,0.11273371,53.0,4.7609525,590.008,53.786396,7.6086783,380.22064,0.04126561,0.0058588465,0.29064608,11.0,0.0,0.0,0.143203,0.74489796,0.0,0.17011444,16.5,4.1666665,0.2734919,13.0
compression_score,0.0071088905,0.0012270025,0.041186817,30.0,4.932883,182.4491,24.179081,4.401928,132.8118,0.019018322,0.003488024,0.10369671,46.0,0.0,0.0,0.010070464,0.8367347,0.0,0.97928554,54.0,2.6666667,0.26368672,14.0
vp_dist_lvn_below_atr,0.018048057,0.008560211,0.03805191,48.833332,13.309354,179.17433,59.73143,25.073092,142.29771,0.044248167,0.017227117,0.11365224,47.0,0.0,0.0,0.17377326,0.45918366,0.33333334,0.0,21.5,8.833333,0.2603712,15.0
adx_di_plus_10,0.015111254,0.0029326722,0.07786414,43.333332,4.955356,378.939,51.976875,13.409729,201.46533,0.03809293,0.009108334,0.1593125,17.0,0.25,0.33333334,0.12982447,0.6530612,0.16666667,0.0,22.5,5.6666665,0.25966877,16.0
vp_in_hvn_above_zone,0.0064359484,0.0011749186,0.035254724,34.5,3.095696,384.48544,20.402306,4.661841,89.28964,0.016964018,0.0036251685,0.07938333,54.0,0.0,0.0,0.0,0.8877551,0.0,0.45318362,56.5,1.8333334,0.24459796,17.0
atr_percentile,0.01366303,0.0013447528,0.13881986,49.166668,4.597705,525.77563,45.586727,5.9784603,347.60617,0.035398416,0.004509549,0.27786544,10.0,0.25,0.33333334,0.10815206,0.6530612,0.0,0.16551122,23.5,5.6666665,0.2310245,18.0
rolling_range_20,0.015264283,0.004483828,0.051964153,39.166668,6.841459,224.22525,53.896263,16.25049,178.75198,0.040743686,0.0113555575,0.14618814,28.5,0.5,0.6666667,0.13211454,0.47959185,0.16666667,0.25103214,21.0,8.5,0.23011258,19.0
ret8h_G_VOL_1,0.013651308,0.0029486027,0.06320221,36.833332,6.9860973,194.19919,45.63311,11.985547,173.74098,0.033623524,0.007453161,0.15168618,22.0,0.25,0.33333334,0.10797664,0.59183675,0.0,0.34737098,19.5,6.6666665,0.22471489,20.0
funding_proxy,0.012082179,0.0032842767,0.04444785,44.333332,3.8151743,515.16504,39.211227,11.200421,137.27344,0.032013334,0.008767518,0.11689209,38.0,0.0,0.0,0.08449489,0.5102041,0.16666667,0.5018675,31.5,8.0,0.2241166,21.0
vol_asym,0.00806677,0.0015049531,0.043239065,23.5,3.5939765,153.65988,25.64813,4.48925,146.53374,0.019502636,0.0032463828,0.11716204,39.5,0.0,0.0,0.024404965,0.68367344,0.0,0.7598722,47.0,5.1666665,0.2223347,22.0
realized_volatility_24h_G_VOL_1,0.011781947,0.0016249237,0.085428186,44.0,4.396969,440.30334,37.97626,8.569835,168.28754,0.03003114,0.0061117164,0.14756401,18.0,0.0,0.0,0.080001965,0.70408165,0.0,0.0,34.5,4.8333335,0.22002149,23.0
ema_slope_norm,0.009941666,0.0015873021,0.06226712,35.666668,5.617433,226.45772,31.384535,7.7715135,126.74352,0.025626983,0.0053262687,0.123302504,28.5,0.0,0.0,0.052462477,0.67346936,0.0,0.43903515,42.0,5.3333335,0.21917346,24.0
tail_against,0.009244301,0.0013861496,0.061650716,34.666668,4.6785564,256.86935,28.778002,5.112361,161.99431,0.02322867,0.0044025667,0.1225583,26.0,0.0,0.0,0.042026527,0.6020408,0.0,0.88600594,42.5,6.5,0.2179251,25.0
dist_vwap_24_atr,0.0069010174,0.0010857474,0.043862913,29.333334,6.497863,132.4196,22.432056,4.9314203,102.038994,0.017350527,0.0040642805,0.07406988,48.0,0.0,0.0,0.0069596786,0.71428573,0.0,0.6415379,56.0,4.6666665,0.21447615,26.0
dist_vwap_norm_G_VOL_1,0.012600052,0.0020063235,0.07913046,29.0,5.1639776,162.85895,44.60489,8.789647,226.3568,0.030085862,0.0054504406,0.16607082,14.0,0.0,0.0,0.092244774,0.64285713,0.0,0.0,28.0,5.8333335,0.21144891,27.0
rv_120h,0.010959808,0.0023785466,0.05050033,42.5,5.315073,339.83542,34.446705,7.745562,153.19423,0.028833296,0.006367223,0.13056855,33.0,0.0,0.0,0.06769879,0.59183675,0.0,0.52358127,34.0,6.6666665,0.21137258,28.0
v_power,0.010736661,0.0013459323,0.08564763,39.833332,3.6704526,432.2885,32.611313,4.939706,215.29578,0.02673176,0.0046094647,0.15502602,15.0,0.0,0.0,0.06435944,0.63265306,0.0,0.35595775,37.5,6.0,0.21135885,29.0
jump_rate_10h,0.014562228,0.0036265824,0.058473364,43.5,7.0887237,266.93805,47.783104,10.295862,221.76143,0.036659375,0.0075600976,0.17776352,20.0,0.0,0.0,0.1216084,0.5102041,0.0,0.17166847,21.0,8.0,0.20301907,30.0
coherence_24,0.014588542,0.0032300616,0.065889016,40.666668,8.37987,197.35124,50.79538,13.993944,184.37767,0.03853769,0.010203842,0.14554846,21.0,0.0,0.0,0.12200219,0.5102041,0.0,0.16312523,19.5,8.0,0.20280848,31.0
vp_in_lvn_below_zone,0.01205431,0.0023217502,0.062584855,61.0,3.0550504,1217.9832,37.896126,8.131902,176.60277,0.031373948,0.005681225,0.17325921,19.0,0.0,0.0,0.084077835,0.622449,0.0,0.0,29.0,6.1666665,0.20185506,32.0
tf_bias,0.008675924,0.0016621939,0.045284513,31.0,5.1639776,186.09685,27.50736,6.315917,119.80126,0.022282198,0.0052600717,0.09438966,41.0,0.0,0.0,0.03352085,0.59183675,0.0,0.69326615,46.5,6.6666665,0.20105897,33.0
vol_z_x_regime_trend,0.0068853954,0.0016104557,0.029438049,30.5,6.474308,143.6833,21.473381,4.9805956,92.58051,0.017436836,0.00397787,0.07643367,56.0,0.0,0.0,0.006725898,0.6632653,0.0,0.48331067,53.5,5.5,0.19368109,34.0
kf_atr_mean,0.013638673,0.0032093374,0.05796007,39.5,8.401389,185.71335,49.412746,11.551401,211.37,0.03583255,0.007928964,0.16193436,24.0,0.25,0.33333334,0.107787564,0.5,0.0,0.16582611,24.0,8.166667,0.19257447,35.0
retrace_12,0.007809686,0.0017238887,0.035380006,27.166666,2.114763,348.98843,24.842472,5.4211416,113.84104,0.019505022,0.0037965404,0.10020858,52.0,0.0,0.0,0.020557752,0.63265306,0.0,0.3734677,54.0,6.0,0.18814342,36.0
accel_5h,0.0094580855,0.0018381496,0.048665997,33.5,5.9651766,188.13358,31.821926,5.9336333,170.66017,0.023459878,0.0036224918,0.15193018,31.0,0.0,0.0,0.045225773,0.6122449,0.0,0.16814367,42.0,6.3333335,0.1863426,37.0
ffd_ema_spread_04,0.010103463,0.003696914,0.027612207,29.333334,7.6955976,111.80996,35.633762,14.758291,86.0374,0.02628414,0.009781473,0.07062902,58.0,0.0,0.0,0.05488374,0.4489796,0.0,0.74489045,41.0,9.0,0.17967549,38.0
up_down_return_mass_ratio_tanh,0.008322957,0.0032451304,0.021346323,31.333334,4.818944,203.73297,27.345526,9.453335,79.10201,0.02158065,0.007658617,0.06081051,59.0,0.0,0.0,0.028238766,0.5714286,0.0,0.3712675,55.0,7.0,0.17695184,39.0
clv_mean_4_G_VOL_0,0.014036896,0.0033195773,0.059355278,43.166668,6.0392237,308.54315,52.004635,17.787651,152.04268,0.035750605,0.011277311,0.11333428,30.0,0.0,0.0,0.1137469,0.35714287,0.16666667,0.0,27.5,10.5,0.17684652,40.0
vov_interaction,0.011254891,0.0022456858,0.056407075,35.333332,6.1282587,203.71928,36.75356,5.9625726,226.55057,0.026918456,0.004471833,0.1620372,23.0,0.0,0.0,0.07211466,0.5102041,0.0,0.18768845,37.5,8.0,0.1765985,41.0
ffd_amihud_06,0.011624286,0.0027875414,0.048474267,30.166666,5.610011,162.21498,40.109844,8.472654,189.88141,0.028993964,0.006406773,0.1312127,32.0,0.0,0.0,0.0776426,0.4387755,0.0,0.43948528,30.0,9.166667,0.17437157,42.0
ret120h,0.009536239,0.0020988688,0.043328036,36.833332,6.2826924,215.94157,31.233936,7.8340473,124.52807,0.024971925,0.006180981,0.10088965,43.0,0.0,0.0,0.04639533,0.4489796,0.0,0.7216656,42.0,9.0,0.1738456,43.0
ffd_rv_24h_06,0.009794977,0.0022243317,0.04313276,36.833332,4.0994577,330.94482,30.772205,7.5952926,124.67309,0.025385574,0.0053763473,0.119863406,42.0,0.0,0.0,0.05026729,0.5102041,0.0,0.28033158,44.0,8.0,0.16921462,44.0
trend_retest_success_rate,0.010932117,0.0031002078,0.03854941,34.333332,4.8534064,242.87637,36.168262,10.629461,123.06769,0.0282293,0.008354652,0.0953832,51.0,0.0,0.0,0.067284405,0.42857143,0.0,0.33849633,33.5,9.333333,0.16107409,45.0
G_VOL,0.008194387,0.0015824033,0.042434175,43.333332,5.5577774,337.86487,25.387085,4.9581866,129.98787,0.02124231,0.0041467263,0.10881735,44.5,0.0,0.0,0.026314737,0.48979592,0.0,0.46982473,50.0,8.333333,0.16041332,46.0
vol_z24_base,0.0124467695,0.002879864,0.05379492,43.333332,8.339997,225.15329,40.810043,8.461761,196.82187,0.031772025,0.00629181,0.16044056,25.0,0.0,0.0,0.08995093,0.4387755,0.0,0.0,28.5,9.166667,0.15916689,47.0
vp_accept_lvn_touchrate,0.012184353,0.0030303397,0.048990697,41.0,8.640987,194.53795,41.106525,8.411786,200.87842,0.031671718,0.0059315776,0.16911146,27.0,0.0,0.0,0.0860239,0.40816328,0.0,0.16701171,29.0,9.666667,0.15770455,48.0
atr_slope,0.009955258,0.002200004,0.045048628,35.833332,3.7155828,345.5791,32.087257,6.6293225,155.30878,0.024709752,0.005100888,0.11969912,35.0,0.0,0.0,0.052665878,0.42857143,0.0,0.4087199,39.5,9.333333,0.15654507,49.0
down_up_vol_ratio_24,0.010029336,0.0022921173,0.04388414,37.833332,5.2095,274.7598,33.213684,7.3299437,150.49893,0.025801178,0.0055199284,0.120599546,37.0,0.0,0.0,0.053774446,0.42857143,0.0,0.3775825,39.5,9.333333,0.15559794,50.0
kf_vol_ratio_mean,0.008502959,0.0025148133,0.028749775,27.333334,3.448027,216.67787,27.879133,8.397612,92.55561,0.02361392,0.0075506596,0.07385013,57.0,0.0,0.0,0.03093247,0.47959185,0.0,0.36738914,51.0,8.5,0.15528028,51.0
realized_volatility_24h_G_VOL_0,0.01467658,0.0052865352,0.040745404,27.5,6.9940453,108.1277,53.901905,18.577042,156.39818,0.034988016,0.01232866,0.09929395,44.5,0.0,0.0,0.12331966,0.12244898,0.16666667,0.58941,25.0,14.333333,0.15290856,52.0
vol_price_div,0.01195975,0.0026788295,0.053394817,42.833332,4.2589774,430.78284,40.341183,12.658711,128.56056,0.029726695,0.008250271,0.10710879,34.0,0.0,0.0,0.08266276,0.41836736,0.0,0.0,31.5,9.5,0.15005636,53.0
clv_pullback,0.014034009,0.005080038,0.03877006,25.666666,5.8214164,113.16452,53.81286,20.463589,141.51105,0.03414507,0.013112434,0.08891452,49.0,0.0,0.0,0.11370369,0.030612245,0.16666667,1.0,27.0,15.833333,0.14519009,54.0
ffd_range_24_06,0.010707167,0.002857271,0.0401234,31.833334,4.219663,240.15215,34.691116,11.972789,100.5174,0.028097859,0.007956882,0.09922098,50.0,0.0,0.0,0.06391807,0.31632653,0.0,0.3872289,37.5,11.166667,0.13359801,55.0
is_low_vol_regime,0.015990026,0.008163694,0.031319264,56.833332,14.758237,218.86272,51.58421,25.489904,104.39155,0.04086188,0.019415872,0.0859963,53.0,0.0,0.0,0.14297517,0.0,0.33333334,0.0,31.0,16.333334,0.12863635,56.0
rsi_1h_slope,0.012245583,0.0032302989,0.04642119,50.833332,10.122856,255.26666,37.593224,12.582341,112.32015,0.032295406,0.010601004,0.09838627,39.5,0.0,0.0,0.08694021,0.2857143,0.0,0.17011444,36.5,11.666667,0.12775141,57.0
