,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
rv_48h,0.0913429,0.016988289,0.491134,60.833332,5.398045,685.562,356.94598,147.16052,865.79224,0.19314401,0.07539672,0.49477762,1.0,0.0,0.0,1.0,0.969697,1.0,0.0,1.0,0.33333334,0.9424243,1.0
ffd_cvar_5pct_06,0.054487992,0.00790605,0.37552774,44.166668,3.8042374,512.76886,201.58409,68.233315,595.54706,0.11500698,0.038184002,0.3463913,2.0,0.3317872,0.44186985,0.54586315,0.90909094,1.0,0.0,3.5,1.0,0.6774975,2.0
giveback,0.07008525,0.03499529,0.11696674,25.0,11.575837,44.99315,307.27283,146.92116,535.5287,0.15299588,0.073713265,0.26462603,4.0,0.0,0.5350272,0.7380571,0.37878788,0.8333333,0.0,2.0,6.8333335,0.62562835,3.0
dist_from_high_120h,0.042576708,0.0110599045,0.16390522,37.333332,7.272475,191.6511,147.3776,61.236393,354.69357,0.08349651,0.035146706,0.19835907,6.0,0.62505865,0.9036195,0.3990889,0.72727275,0.6666667,0.0,5.0,3.0,0.5013171,4.0
dip_volume_profile,0.04180391,0.012724607,0.1373376,29.166666,4.597705,185.0259,144.08478,43.69049,475.17026,0.08047296,0.023676861,0.27351165,5.0,0.0,0.7684504,0.38956624,0.6212121,0.5,0.13492802,7.0,4.1666665,0.45131087,5.0
tf_tape,0.03892266,0.01578508,0.09597502,25.5,7.1821537,90.53691,145.82744,62.33776,341.1358,0.0770174,0.03293,0.18012996,8.0,0.2026126,0.9755958,0.35406265,0.36363637,0.6666667,0.123852134,6.0,7.0,0.39183614,6.0
t_be_proxy,0.032859806,0.0069088615,0.15628724,34.833332,4.450343,272.64438,108.06829,23.844728,489.78357,0.06213899,0.013643665,0.2830071,3.0,0.37503737,0.9032432,0.27935442,0.74242425,0.33333334,0.0,11.0,2.8333333,0.389251,7.0
rv_24h,0.03479671,0.01336408,0.09060191,37.333332,9.122622,152.7826,122.15564,75.70659,197.10306,0.06872113,0.040962633,0.1152903,15.0,0.17576814,0.8394927,0.30322152,0.5151515,0.33333334,0.0,11.0,5.3333335,0.34555972,8.0
asset_atr_level,0.029022964,0.007843387,0.10739395,46.666668,9.3749075,232.29858,93.20376,31.277218,277.74017,0.0583563,0.018774431,0.18138808,7.0,0.64332086,0.98813784,0.23207574,0.57575756,0.33333334,0.0,11.5,4.6666665,0.32158107,9.0
vol_price_diverge,0.029685905,0.009714436,0.09071582,47.333332,11.17537,200.48056,91.45589,42.903385,194.95384,0.06097615,0.02831245,0.13132353,12.0,1.0,1.0,0.24024469,0.45454547,0.5,0.0,8.5,6.0,0.32077098,10.0
rv_120h,0.025506364,0.0063300235,0.10277602,32.166668,5.01387,206.36644,85.31485,39.129227,186.015,0.05128372,0.020476494,0.12844095,11.0,0.3158445,0.947352,0.18874317,0.6515151,0.16666667,0.12381901,17.5,3.8333333,0.29787847,11.0
vol_high,0.031958066,0.012011376,0.08502922,41.666668,9.104334,190.69063,109.314186,47.86829,249.6348,0.063824505,0.026134858,0.1558672,10.0,0.0,0.7626157,0.2682429,0.28787878,0.5,0.0,10.0,7.8333335,0.29450327,12.0
rv_ratio_24_120,0.026843043,0.013090404,0.05504406,31.0,6.1373177,156.58307,89.24403,35.25725,225.89673,0.05228427,0.020352747,0.13431332,16.0,0.0,0.8029627,0.20521413,0.4848485,0.16666667,0.33801922,17.0,5.6666665,0.27598086,13.0
amihud_z,0.024218153,0.006411472,0.091479614,24.833334,5.241395,117.658455,72.374626,17.502449,299.2773,0.04425668,0.00961001,0.20381388,9.0,0.0,0.93967897,0.17286947,0.59090906,0.0,0.507433,15.5,4.5,0.26817712,14.0
