feature,replay_pre_transform,replay_post_transform,snapshot_post_transform,post_minus_pre,snapshot_minus_replay_post,pre_missing,post_missing,snapshot_missing,abs_snapshot_post_delta
funding_rate_cross_asset_dispersion,1.311600685119629,1.311600685119629,1.3068147897720337,0.0,-0.004785895347595215,False,False,False,0.004785895347595215
G_EXH_EFFORT,0.035989098250865936,0.035989098250865936,0.035989098250865936,0.0,0.0,False,False,False,0.0
G_EXH_GIVEBACK,1.0,1.0,1.0,0.0,0.0,False,False,False,0.0
G_EXH_TAIL_FAIL,3205807.5,2.053748846054077,2.053748846054077,-3205805.446251154,0.0,False,False,False,0.0
G_LIQ_EXCEL,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
G_LIQ_GOOD,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
G_LIQ_GREAT,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
G_MR_SPIKE,1.908344893308822e-05,1.908344893308822e-05,1.908344893308822e-05,0.0,0.0,False,False,False,0.0
G_TF_TREND,23.75762367248535,2.053748846054077,2.053748846054077,-21.703874826431274,0.0,False,False,False,0.0
G_VOL,,1.0,1.0,,0.0,True,False,False,0.0
G_VOL_LIQ_GT1,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
G_VOL_LIQ_GT2,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
G_VOL_LIQ_GT3,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
a_funding_proxy,-0.12584298849105835,-0.12584298849105835,-0.12584298849105835,0.0,0.0,False,False,False,0.0
accel_5h,0.0001087188720703125,0.19463694095611572,0.19463694095611572,0.1945282220840454,0.0,False,False,False,0.0
adx_10,59.23556137084961,2.053748846054077,2.053748846054077,-57.18181252479553,0.0,False,False,False,0.0
adx_10_gt25,1.0,1.0,1.0,0.0,0.0,False,False,False,0.0
adx_10_slope,-0.3494071960449219,-0.7310458421707153,-0.7310458421707153,-0.38163864612579346,0.0,False,False,False,0.0
adx_14,69.08547973632812,2.053748846054077,2.053748846054077,-67.03173089027405,0.0,False,False,False,0.0
adx_14_gt25,1.0,1.0,1.0,0.0,0.0,False,False,False,0.0
adx_14_slope,-0.122344970703125,-0.4858277142047882,-0.4858277142047882,-0.3634827435016632,0.0,False,False,False,0.0
adx_7,35.7454719543457,2.053748846054077,2.053748846054077,-33.691723108291626,0.0,False,False,False,0.0
adx_7_gt25,1.0,1.0,1.0,0.0,0.0,False,False,False,0.0
adx_7_slope,-0.4599113464355469,-0.5715247988700867,-0.5715247988700867,-0.1116134524345398,0.0,False,False,False,0.0
adx_di_minus_10,36.305091857910156,2.053748846054077,2.053748846054077,-34.25134301185608,0.0,False,False,False,0.0
adx_di_minus_14,41.231632232666016,2.053748846054077,2.053748846054077,-39.17788338661194,0.0,False,False,False,0.0
adx_di_minus_7,28.007307052612305,2.053748846054077,2.053748846054077,-25.953558206558228,0.0,False,False,False,0.0
adx_di_plus_10,10.212796211242676,2.053748846054077,2.053748846054077,-8.159047365188599,0.0,False,False,False,0.0
adx_di_plus_14,8.001627922058105,2.053748846054077,2.053748846054077,-5.947879076004028,0.0,False,False,False,0.0
adx_di_plus_7,14.11337661743164,2.053748846054077,2.053748846054077,-12.059627771377563,0.0,False,False,False,0.0
adx_zscore,2.90551495552063,2.053748846054077,2.053748846054077,-0.8517661094665527,0.0,False,False,False,0.0
align,1.0,1.0,1.0,0.0,0.0,False,False,False,0.0
ambig,0.00040940058534033597,0.00040940058534033597,0.00040940058534033597,0.0,0.0,False,False,False,0.0
amihud_illiq,-847843072.0,-2.053748846054077,-2.053748846054077,847843069.9462512,0.0,False,False,False,0.0
amihud_z,47340308135936.0,0.0,0.0,-47340308135936.0,0.0,False,False,False,0.0
asset_atr_level,0.0013198560336604714,2.053748846054077,2.053748846054077,2.0524289900204167,0.0,False,False,False,0.0
asset_funding_rate_abs_mean_7d,2.3597640392836183e-06,2.3597640392836183e-06,2.3597640392836183e-06,0.0,0.0,False,False,False,0.0
asset_funding_rate_mean_15d,1.1012231198037625e-06,1.1012231198037625e-06,1.1012231198037625e-06,0.0,0.0,False,False,False,0.0
asset_funding_rate_mean_3d,5.506115940079326e-06,5.506115940079326e-06,5.506115940079326e-06,0.0,0.0,False,False,False,0.0
asset_funding_rate_mean_7d,2.3597640392836183e-06,2.3597640392836183e-06,2.3597640392836183e-06,0.0,0.0,False,False,False,0.0
asset_funding_trend_alignment,0.13883554935455322,0.4916244447231293,0.4916244447231293,0.35278889536857605,0.0,False,False,False,0.0
asset_funding_z,-0.13883554935455322,-0.13883554935455322,-0.13883554935455322,0.0,0.0,False,False,False,0.0
asset_minus_universe_median_ret_24h,-114.03339385986328,-0.4681320786476135,-0.4681320786476135,113.56526178121567,0.0,False,False,False,0.0
asset_minus_universe_median_ret_48h,-222.6827850341797,-0.42704880237579346,-0.42704880237579346,222.2557362318039,0.0,False,False,False,0.0
asset_minus_universe_median_ret_4h,-18.925308227539062,-0.31863147020339966,-0.31863147020339966,18.606676757335663,0.0,False,False,False,0.0
asset_mom_minus_basket_mom_24h,-114.6609878540039,-2.053748846054077,-2.053748846054077,112.60723900794983,0.0,False,False,False,0.0
asset_mom_minus_basket_mom_4h,-19.142377853393555,-2.053748846054077,-2.053748846054077,17.088629007339478,0.0,False,False,False,0.0
asset_ret_vs_btc_24h,-117.18289184570312,-0.49592825770378113,-0.49592825770378113,116.68696358799934,0.0,False,False,False,0.0
asset_ret_vs_btc_48h,-228.96340942382812,-0.4543716013431549,-0.4543716013431549,228.50903782248497,0.0,False,False,False,0.0
asset_ret_vs_btc_4h,-19.92045783996582,-2.053748846054077,-2.053748846054077,17.866708993911743,0.0,False,False,False,0.0
asset_ret_vs_universe_24h,-114.03339385986328,-0.4681320786476135,-0.4681320786476135,113.56526178121567,0.0,False,False,False,0.0
asset_ret_vs_universe_48h,-222.6827850341797,-0.42704880237579346,-0.42704880237579346,222.2557362318039,0.0,False,False,False,0.0
asset_ret_vs_universe_4h,-18.925308227539062,-0.31863147020339966,-0.31863147020339966,18.606676757335663,0.0,False,False,False,0.0
asset_vol_level,1.5851603746414185,-1.6135423183441162,-1.6135423183441162,-3.1987026929855347,0.0,False,False,False,0.0
asym_ft,-3567259.25,-2.053748846054077,-2.053748846054077,3567257.196251154,0.0,False,False,False,0.0
asym_ratio,-0.357479453086853,-1.5172526836395264,-1.5172526836395264,-1.1597732305526733,0.0,False,False,False,0.0
atr_change_rate,-0.07139664888381958,0.0,0.0,0.07139664888381958,0.0,False,False,False,0.0
atr_change_rate_ts_continuous,-0.07139283418655396,-0.07139283418655396,-0.07139283418655396,0.0,0.0,False,False,False,0.0
atr_compression_ratio,0.9464213252067566,0.8405879735946655,0.8405879735946655,-0.10583335161209106,0.0,False,False,False,0.0
atr_expansion,482412896.0,2.053748846054077,2.053748846054077,-482412893.94625115,0.0,False,False,False,0.0
atr_pct_base,0.003953771200031042,0.10161877423524857,0.10161877423524857,0.09766500303521752,0.0,False,False,False,0.0
atr_pct_change,360.8484802246094,0.0,0.0,-360.8484802246094,0.0,False,False,False,0.0
atr_percentile,0.15776103734970093,0.11804263293743134,0.11804263293743134,-0.03971840441226959,0.0,False,False,False,0.0
atr_slope,-0.41673511266708374,0.10167861729860306,0.10167861729860306,0.5184137299656868,0.0,False,False,False,0.0
avg_pair_corr_24h,0.36809489130973816,0.36809489130973816,0.36809489130973816,0.0,0.0,False,False,False,0.0
barrier_pct,,0.004999999888241291,0.004999999888241291,,0.0,True,False,False,0.0
bars_in_high_vol_state_log_norm,0.0,-0.237740159034729,-0.237740159034729,-0.237740159034729,0.0,False,False,False,0.0
bars_outside_ema20_atr_band_log_norm,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
