layer,feature,value
meta_model_input,pred_dist_rolling_7d_high_0_13977644_mkt_ret_eq_24h_-0_56630391_rolling_range_20_-0_40672407_H10,0.6713847324100308
meta_model_input,pred_H10,0.6713847324100308
meta_model_input,pred_logit_H10,0.7144546772941741
meta_model_input,pred_logit,0.7144546772941741
meta_model_input,G_LIQ_EXCEL,0.0
meta_model_input,G_LIQ_GOOD,0.0
meta_model_input,G_LIQ_GREAT,0.0
meta_model_input,G_MR_SPIKE,1.908344893308822e-05
meta_model_input,G_VOL_LIQ_GT1,0.0
meta_model_input,G_VOL_LIQ_GT2,0.0
meta_model_input,G_VOL_LIQ_GT3,0.0
meta_model_input,a_funding_proxy,-0.12584298849105835
meta_model_input,adx_zscore,2.053748846054077
meta_model_input,ambig,0.00040940058534033597
meta_model_input,amihud_illiq,-2.053748846054077
meta_model_input,amihud_z,0.0
meta_model_input,asset_atr_level,2.053748846054077
meta_model_input,asset_funding_rate_abs_mean_7d,2.3597640392836183e-06
meta_model_input,asset_funding_rate_mean_15d,1.1012231198037625e-06
meta_model_input,asset_funding_rate_mean_3d,5.506115940079326e-06
meta_model_input,asset_funding_rate_mean_7d,2.3597640392836183e-06
meta_model_input,asset_funding_trend_alignment,0.4916244447231293
meta_model_input,asset_funding_z,-0.13883554935455322
meta_model_input,asset_minus_universe_median_ret_24h,-0.4681320786476135
meta_model_input,asset_minus_universe_median_ret_48h,-0.42704880237579346
meta_model_input,asset_minus_universe_median_ret_4h,-0.31863147020339966
meta_model_input,asset_mom_minus_basket_mom_24h,-2.053748846054077
meta_model_input,asset_mom_minus_basket_mom_4h,-2.053748846054077
meta_model_input,asset_ret_vs_btc_24h,-0.49592825770378113
meta_model_input,asset_ret_vs_btc_48h,-0.4543716013431549
meta_model_input,asset_ret_vs_btc_4h,-2.053748846054077
meta_model_input,asset_ret_vs_universe_24h,-0.4681320786476135
meta_model_input,asset_ret_vs_universe_48h,-0.42704880237579346
meta_model_input,asset_ret_vs_universe_4h,-0.31863147020339966
meta_model_input,asset_vol_level,-1.6135423183441162
meta_model_input,asym_ft,-2.053748846054077
meta_model_input,asym_ratio,-1.5172526836395264
meta_model_input,atr_change_rate_ts_continuous,-0.07139283418655396
meta_model_input,atr_pct_change,0.0
meta_model_input,avg_pair_corr_24h,0.36809489130973816
meta_model_input,base_model_abs_error_roll20,0.0
meta_model_input,base_model_margin,0.17138473241003083
meta_model_input,base_model_score,0.6713847324100308
meta_model_input,base_model_score_pct,0.5
meta_model_input,basis_fund_div_z,0.13883554935455322
meta_model_input,basis_mom_4h,0.0
meta_model_input,basis_pct,0.0
meta_model_input,basis_pct_z,0.0
meta_model_input,be_vol_units,-0.7010840177536011
meta_model_input,beta_24h,-2.053748846054077
meta_model_input,beta_adj_resid_ret_24h,-1.3189173936843872
meta_model_input,btc_ret_24h_pct,1.2910995483398438
meta_model_input,btc_ret_48h_pct,1.3786249160766602
meta_model_input,btc_ret_4h_pct,1.4324619770050049
meta_model_input,btc_rv_ratio_1h24h_pct,-1.372788667678833
meta_model_input,btc_rv_ratio_4h24h_pct,-1.3783365488052368
