feature,total_rows,missing_column_rows,nan_rows,inf_rows,finite_rows,synthetic_fallback_rows,actual_trade_overlay_rows,confirmed_no_trade_overlay_rows,unavailable_volume_rows,no_actual_volume_sidecar_status_rows,missing_column_rows_pct,nan_rows_pct,inf_rows_pct,finite_rows_pct,synthetic_fallback_rows_pct,actual_trade_overlay_rows_pct,confirmed_no_trade_overlay_rows_pct,unavailable_volume_rows_pct,no_actual_volume_sidecar_status_rows_pct
dist_stack,8481616,0,4096201,0,4385415,0,1976880,1686986,27857,4789893,0.0,48.29505367844995,0.0,51.70494632155005,0.0,23.307822471566737,19.889912488374854,0.32843976902514804,56.47382527103325
dist_vwap_12_atr,8481616,0,3765755,0,4715861,0,1976880,1686986,27857,4789893,0.0,44.39902726084274,0.0,55.60097273915725,0.0,23.307822471566737,19.889912488374854,0.32843976902514804,56.47382527103325
dist_vwap_24_atr,8481616,0,3765755,0,4715861,0,1976880,1686986,27857,4789893,0.0,44.39902726084274,0.0,55.60097273915725,0.0,23.307822471566737,19.889912488374854,0.32843976902514804,56.47382527103325
dist_vwap_96_atr,8481616,0,3765755,0,4715861,0,1976880,1686986,27857,4789893,0.0,44.39902726084274,0.0,55.60097273915725,0.0,23.307822471566737,19.889912488374854,0.32843976902514804,56.47382527103325
dist_vwap_norm,8481616,0,3765755,0,4715861,0,1976880,1686986,27857,4789893,0.0,44.39902726084274,0.0,55.60097273915725,0.0,23.307822471566737,19.889912488374854,0.32843976902514804,56.47382527103325
leverage_build,8481616,0,3960900,0,4520716,0,1976880,1686986,27857,4789893,0.0,46.69982701409731,0.0,53.300172985902684,0.0,23.307822471566737,19.889912488374854,0.32843976902514804,56.47382527103325
leverage_build_score,8481616,0,3960900,0,4520716,0,1976880,1686986,27857,4789893,0.0,46.69982701409731,0.0,53.300172985902684,0.0,23.307822471566737,19.889912488374854,0.32843976902514804,56.47382527103325
oi_rel_vol_2h,8481616,0,5120305,0,3361311,0,1976880,1686986,27857,4789893,0.0,60.36945082163587,0.0,39.63054917836412,0.0,23.307822471566737,19.889912488374854,0.32843976902514804,56.47382527103325
oi_rel_vol_4h,8481616,0,4734779,0,3746837,0,1976880,1686986,27857,4789893,0.0,55.82401985659337,0.0,44.17598014340663,0.0,23.307822471566737,19.889912488374854,0.32843976902514804,56.47382527103325
oi_rel_vol_8h,8481616,0,4422473,0,4059143,0,1976880,1686986,27857,4789893,0.0,52.14186777614077,0.0,47.85813222385923,0.0,23.307822471566737,19.889912488374854,0.32843976902514804,56.47382527103325
trapped_longs_12,8481616,0,3765755,0,4715861,0,1976880,1686986,27857,4789893,0.0,44.39902726084274,0.0,55.60097273915725,0.0,23.307822471566737,19.889912488374854,0.32843976902514804,56.47382527103325
trapped_longs_24,8481616,0,3765755,0,4715861,0,1976880,1686986,27857,4789893,0.0,44.39902726084274,0.0,55.60097273915725,0.0,23.307822471566737,19.889912488374854,0.32843976902514804,56.47382527103325
trapped_longs_96,8481616,0,3765755,0,4715861,0,1976880,1686986,27857,4789893,0.0,44.39902726084274,0.0,55.60097273915725,0.0,23.307822471566737,19.889912488374854,0.32843976902514804,56.47382527103325
unwind_score,8481616,0,3969293,0,4512323,0,1976880,1686986,27857,4789893,0.0,46.79878221320088,0.0,53.20121778679911,0.0,23.307822471566737,19.889912488374854,0.32843976902514804,56.47382527103325
vwap_zone_1d_atr,8481616,0,3672344,0,4809272,0,1976880,1686986,27857,4789893,0.0,43.297692326556636,0.0,56.702307673443364,0.0,23.307822471566737,19.889912488374854,0.32843976902514804,56.47382527103325
vwap_zone_7d_atr,8481616,0,3596402,0,4885214,0,1976880,1686986,27857,4789893,0.0,42.4023205011875,0.0,57.5976794988125,0.0,23.307822471566737,19.889912488374854,0.32843976902514804,56.47382527103325
