canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,path_smoothness_term,path_survivability_term,path_stability_term,path_realized_profit_consistency_term,path_trajectory_smoothness_term,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,min_support_actual_pct,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,composite_score_step1,support_score,diversity_score,stage_b_score,stage_b_rejection_reason,top10_mean_ret,top10_net_ret,rule_type_class,production_classification,classification_diagnostics
(*)|(*)|(asset_funding_rate_abs_mean_7d>0.000016854643&mark_vs_perp_bps>-0.61002046&range_24h_pct<=0.046984881),*,*,asset_funding_rate_abs_mean_7d>0.000016854643&mark_vs_perp_bps>-0.61002046&range_24h_pct<=0.046984881,0.006031332886777818,0.006031332886777818,0.001675446986107775,0.01939311297610402,0.12947970541938386,0.029221079697860673,1.0,1.0,0.6436436436436437,1345,,,0.10615613893884464,0.10465396967010396,0.11005967048687931,0.11156183975561998,,1.0,0.11697601316997826,2.342587413362948,1.0,0.25731319189071655,0.04155821947083427,1.140108048915863,0.45453335739471856,,,,,,,,,,,7.000702371622555e-05,0.005961325863061593,4,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.08966666666666667,0.11697601316997826,0.04155821947083427,0.15236282348632812,1.0,primary_target,0,,0.9749136496514503,,0.6291602653950076,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.006031332886777818, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1345, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(mark_vs_perp_bps>-0.28944162&ob_imbalance_mkt_resid<=-0.00000000000000000000000000000000001&range_24h_pct<=0.053591032),*,*,mark_vs_perp_bps>-0.28944162&ob_imbalance_mkt_resid<=-0.00000000000000000000000000000000001&range_24h_pct<=0.053591032,0.005507516325451434,0.005507516325451434,0.0015514031435563352,0.019234580919146538,0.15071917397496437,0.02752709379492815,1.0,1.0,0.6062124248496994,1585,,,0.10744593117225243,0.09814111608426465,0.10920501559954318,0.11850983068753096,,1.0,0.09607743292528026,1.696278134350489,1.0,0.22327468544244766,0.02065963922613627,0.7776426449418068,0.3053267503163034,,,,,,,,,,,7.023151656848406e-05,0.00543728480888295,4,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.11693333333333333,0.09607743292528026,0.02065963922613627,0.14340507984161377,0.98849321640057,primary_target,0,,0.5559726257401995,,0.577209525631805,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.005507516325451434, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1585, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(dist_rolling_7d_high<=0.21253406)|(asset_funding_rate_abs_mean_7d>0.000010390445&asset_ret_vs_universe_24h<=-0.58231914&mark_vs_perp_bps>-0.95747495),*,dist_rolling_7d_high<=0.21253406,asset_funding_rate_abs_mean_7d>0.000010390445&asset_ret_vs_universe_24h<=-0.58231914&mark_vs_perp_bps>-0.95747495,0.005432230420410633,0.005432230420410633,0.002112562061569048,0.022251084446907043,0.10448102840866502,0.013770294860600565,1.0,1.0,0.6406406406406406,916,,,0.08226189858213638,0.06211119243093786,0.08454418073294453,0.10469488688414307,,1.0,0.0759528102701622,0.726041988806063,0.5,0.13777800649404526,0.0005350165710182112,0.5690012648701668,0.025070171022755196,,,,,,,,,,,9.03789253756494e-05,0.005341851495034983,4,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.0908,0.0759528102701622,0.0005350165710182112,0.008015990257263184,1.0,primary_target,0,,0.8850937590885242,,0.604193424931399,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.005432230420410633, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 916, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(asset_vol_level_pct<=0.45465603&oi_rank>0.28720239&symbol_minus_mkt_ret_1h<=0.24353571&symbol_minus_mkt_ret_4h<=-0.074965686),*,*,asset_vol_level_pct<=0.45465603&oi_rank>0.28720239&symbol_minus_mkt_ret_1h<=0.24353571&symbol_minus_mkt_ret_4h<=-0.074965686,0.005529822607059032,0.005529822607059032,0.0020053575275192385,0.02223064098507166,0.10077636234165355,0.01401757201135675,1.0,1.0,0.6006006006006006,818,,,0.08249064312912494,0.0677876523799491,0.07835969871618137,0.09306268946535722,,1.0,0.12536475604597708,2.33498287842529,1.0,0.2836089404299855,0.0499469623468331,1.1129418015480042,0.4365181179020158,,,,,,,,,,,9.052810615926259e-05,0.0054392945008997695,4,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.08493333333333333,0.12536475604597708,0.0499469623468331,0.0437391996383667,1.0,primary_target,0,,0.8643476291132599,,0.6005588563783256,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.005529822607059032, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 818, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(dist_rolling_7d_high<=0.22671711)|(asset_ret_vs_universe_48h<=-0.7878806&mark_perp_dislocation>-0.0040224795&ret24h_peer_resid<=1.3912214),*,dist_rolling_7d_high<=0.22671711,asset_ret_vs_universe_48h<=-0.7878806&mark_perp_dislocation>-0.0040224795&ret24h_peer_resid<=1.3912214,0.004445432161446661,0.004445432161446661,0.0013152094505461858,0.02228958671912551,0.14162435724458436,0.0296759119067078,1.0,1.0,0.6012024048096193,1624,,,0.07640104802557274,0.0720778778969801,0.08090903224812598,0.08523220237671862,,1.0,0.0732506546383051,1.0829655880105142,0.5,0.14653199072927237,-0.0021671390608388914,0.4260731302201748,0.2647078195228204,,,,,,,,,,,9.012436616420801e-05,0.004355307795282453,4,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.10826666666666666,0.0732506546383051,-0.0021671390608388914,0.03300809860229492,1.0,primary_target,0,,0.9069035994303276,,0.5891523578465893,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.004445432161446661, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1624, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(asset_minus_universe_median_ret_4h<=-0.34045208&ob_pressure_mkt_resid<=-0.0020861626&oi_trend_10d_robust_z>-0.66254389&rsi_ts_resid<=1.3204349),*,*,asset_minus_universe_median_ret_4h<=-0.34045208&ob_pressure_mkt_resid<=-0.0020861626&oi_trend_10d_robust_z>-0.66254389&rsi_ts_resid<=1.3204349,0.004592962301103398,0.004592962301103398,0.002472733150942381,0.02220232831314206,0.10802429353121956,0.009296940814463564,1.0,1.0,0.671,946,,,0.07222920003900551,0.055899016879729334,0.07979437288968637,0.09612455604896254,,1.0,0.1486660816377497,3.694599962558641,1.0,0.28193097189068794,0.0732482879386057,1.0782992392778397,0.6049010809566862,,,,,,,,,,,9.025935714910278e-05,0.004502702943954296,4,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.0952,0.1486660816377497,0.0732482879386057,0.038226962089538574,1.0,primary_target,0,,0.9049360437748295,,0.6050069000163749,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.004592962301103398, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 946, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(asset_atr_level_pct<=0.52849203&asset_funding_rate_abs_mean_7d>0.000014890696&asset_minus_mkt_oi_1d_peer_resid<=-0.021288607&mark_vs_perp_bps>-1.5459861),*,*,asset_atr_level_pct<=0.52849203&asset_funding_rate_abs_mean_7d>0.000014890696&asset_minus_mkt_oi_1d_peer_resid<=-0.021288607&mark_vs_perp_bps>-1.5459861,0.007012196001596749,0.007012196001596749,0.0028651325586476024,0.02135125081986189,0.10047377632861104,0.02179019364345202,1.0,1.0,0.6606606606606606,965,,,0.09809197581499202,0.09244029082494498,0.09615796099474881,0.10180964598479585,,1.0,0.09043962119885857,1.5445387934096915,0.75,0.18797660432755947,0.015021827499714575,0.6621016040444374,0.3514058900136051,,,,,,,,,,,9.054138208282111e-05,0.006921654619513927,4,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.06433333333333334,0.09043962119885857,0.015021827499714575,0.04261362552642822,1.0,primary_target,0,,0.8626531474402217,,0.6146098863136504,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.007012196001596749, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 965, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(asset_funding_rate_abs_mean_7d>0.0000090014073&asset_minus_universe_median_ret_4h<=-0.44824019&mark_vs_perp_bps>-0.92726743&trend_pct_mkt_resid>-0.008264727),*,*,asset_funding_rate_abs_mean_7d>0.0000090014073&asset_minus_universe_median_ret_4h<=-0.44824019&mark_vs_perp_bps>-0.92726743&trend_pct_mkt_resid>-0.008264727,0.006468125386163592,0.006468125386163592,0.0009611839737448697,0.02175700617954135,0.0925392736676411,0.016370526604002178,1.0,1.0,0.624,857,,,0.09154161333909369,0.08893756917022061,0.09265630495299264,0.09526034912186573,,1.0,0.10137339903009351,1.0772785630339636,0.75,0.22754380851984024,0.025955605330949524,0.6534318625926971,0.03742775219803387,,,,,,,,,,,9.094832887862188e-05,0.0063771770572849705,4,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.06866666666666667,0.10137339903009351,0.025955605330949524,0.08646142482757568,0.8806283786822575,primary_target,0,,0.5182199325387902,,0.5736631270573038,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.006468125386163592, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 857, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(abs_ret_per_oi_z_24h<=-0.28558078&mark_perp_dislocation>-0.00455483&ob_imbalance_mkt_resid<=-2.5011921&oi_to_volume_1d_z_90d>-0.088226423),*,*,abs_ret_per_oi_z_24h<=-0.28558078&mark_perp_dislocation>-0.00455483&ob_imbalance_mkt_resid<=-2.5011921&oi_to_volume_1d_z_90d>-0.088226423,0.0062777596758678555,0.0062777596758678555,0.000501366523043051,0.022032462526112795,0.09309130125178022,0.0028606623684746964,1.0,1.0,0.641,796,,,0.08514420899613767,0.07606237593611524,0.08335410091451197,0.09243593397453441,,1.0,0.14605838621071277,2.6095580618604206,1.0,0.31985684484243393,0.07064059251156879,1.0968087166547775,0.354154994052152,,,,,,,,,,,9.091634855022417e-05,0.006186843327317631,4,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.08949853834045424,0.14605838621071277,0.07064059251156879,0.07218039035797119,0.8894608200284835,primary_target,0,,0.5213112870099692,,0.5779485124167972,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0062777596758678555, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 796, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(asset_ret_vs_universe_48h<=-0.054178771&mark_perp_dislocation>-0.006320924&ob_pressure_mkt_resid<=-0.00089406967&price_trend_7d_vol_norm>-0.059538029),*,*,asset_ret_vs_universe_48h<=-0.054178771&mark_perp_dislocation>-0.006320924&ob_pressure_mkt_resid<=-0.00089406967&price_trend_7d_vol_norm>-0.059538029,0.0044642622815445065,0.0044642622815445065,0.0024422050218762042,0.02122230501845479,0.09720745071583839,0.022545132920426078,1.0,1.0,0.6482965931863728,828,,,0.06718096199961067,0.04314235520925294,0.055732491494520434,0.07977109828487816,,1.0,0.12178490540841112,1.9036504034160957,1.0,0.2341485694050789,0.046367111709267134,0.8380592912435532,0.36846971704226,,,,,,,,,,,9.06951832161413e-05,0.0043735670983283655,4,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.07266666666666667,0.12178490540841112,0.046367111709267134,0.07192778587341309,0.9553192114534141,primary_target,0,,0.544361724008695,,0.5624440953056562,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0044642622815445065, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 828, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
