canonical_key,fold_id,support,support_pct,mean_ret,std_ret,sign,baseline_support,baseline_ret,uplift,parent_context_key,fold_ic,baseline_ic,delta_ic,within_mask_ic,delta_within_mask_ic,decile_spread_sharpe,regression_beta,regression_slope_fit,entropy_reduction
(*)|(*)|(mark_vs_perp_bps>-0.41989028&ob_pressure_mkt_resid<=-2.5011921&xasset_ob_liquidity_peer_resid>-1.6145539),0,2343,0.1562,0.004812760278582573,0.018702954053878784,1,0,,,,0.11254168951920916,,,0.07408652000118891,-0.07028801977446471,0.15517348051071167,0.3609561026096344,0.16108232539493048,-0.14884096384048462
(*)|(*)|(mark_vs_perp_bps>-0.41989028&ob_pressure_mkt_resid<=-2.5011921&xasset_ob_liquidity_peer_resid>-1.6145539),1,3215,0.21433333333333332,0.007745760027319193,0.023969633504748344,1,0,,,,0.11504748493552622,,,0.08583957719429092,-0.07873845746893113,0.20252534747123718,0.3647766411304474,0.16285030367896652,-0.19804516434669495
(*)|(*)|(mark_vs_perp_bps>-0.41989028&ob_pressure_mkt_resid<=-2.5011921&xasset_ob_liquidity_peer_resid>-1.6145539),2,2592,0.1728,0.005197260063141584,0.017757907509803772,1,0,,,,0.1084655030167966,,,0.13043024781651266,-0.050553061737829974,0.24179217219352722,0.5393002033233643,0.2681295195364772,-0.162822425365448
(*)|(*)|(mark_vs_perp_bps>-0.41989028&ob_pressure_mkt_resid<=-2.5011921&xasset_ob_liquidity_peer_resid>-1.6145539),3,1697,0.19080278839667192,0.006371398456394672,0.019983535632491112,1,0,,,,0.12375856751321693,,,0.1843208408829245,-0.06048966220543883,0.3131687343120575,0.7255444526672363,0.4565035937109125,-0.16706597805023193
(*)|(*)|(mark_vs_perp_bps>0.67384219&ob_pressure_mkt_resid<=-0.00089406967&oi_rank>0.1235119),0,2225,0.14833333333333334,0.0040404582396149635,0.018576258793473244,1,0,,,,0.08616383050285423,,,0.050639223565256866,-0.09373531621039675,0.11415073275566101,0.27708062529563904,0.1267569345280726,-0.08926549553871155
(*)|(*)|(mark_vs_perp_bps>0.67384219&ob_pressure_mkt_resid<=-0.00089406967&oi_rank>0.1235119),1,3005,0.20033333333333334,0.00794467143714428,0.024577731266617775,1,0,,,,0.12143687909274219,,,0.06589172459974016,-0.09868631006348189,0.1552230417728424,0.3095393478870392,0.1390746109657733,-0.1633344292640686
(*)|(*)|(mark_vs_perp_bps>0.67384219&ob_pressure_mkt_resid<=-0.00089406967&oi_rank>0.1235119),2,2614,0.17426666666666665,0.004606807138770819,0.017624996602535248,1,0,,,,0.10548342784020835,,,0.0844572203439506,-0.09652608921039203,0.17734169960021973,0.4308987557888031,0.19671416265373476,-0.12789660692214966
(*)|(*)|(mark_vs_perp_bps>0.67384219&ob_pressure_mkt_resid<=-0.00089406967&oi_rank>0.1235119),3,1365,0.15347425230492467,0.005182212684303522,0.02143670618534088,1,0,,,,0.08246234837042063,,,0.1401217865982488,-0.10468871649011452,0.2603204548358917,0.6402431726455688,0.35776581682110814,-0.1375855803489685
(*)|(zscore_price_200>-1.6719481)|(asset_vol_level_pct<=0.39350244&log_oi_to_volume_1d<=4.32902&mark_vs_perp_bps>1.5965899),0,2014,0.13426666666666667,0.004601975437253714,0.019938267767429352,1,0,,,,0.10340779355922158,,,0.07756030294857345,-0.06681423682708017,0.11055277287960052,0.5298568606376648,0.26099184627742417,-0.10176780819892883
(*)|(zscore_price_200>-1.6719481)|(asset_vol_level_pct<=0.39350244&log_oi_to_volume_1d<=4.32902&mark_vs_perp_bps>1.5965899),1,2019,0.1346,0.008351665921509266,0.02403530851006508,1,0,,,,0.12588144002255683,,,0.030941080383038225,-0.13363695428018382,0.11726328730583191,0.2421288788318634,0.11471023105009778,-0.1420992910861969
