canonical_key,fold_id,support,support_pct,mean_ret,std_ret,sign,baseline_support,baseline_ret,uplift,parent_context_key,fold_ic,baseline_ic,delta_ic,within_mask_ic,delta_within_mask_ic,decile_spread_sharpe,regression_beta,regression_slope_fit,entropy_reduction
(*)|(*)|(mark_vs_perp_bps<=0.57398349&ob_pressure_mkt_resid<=-0.0021142077&price_trend_7d_vol_norm>-0.13709633),0,2175,0.145,0.003979786299169064,0.020299125462770462,1,0,,,,0.07784597735691437,,,0.034446641892211916,-0.11679095493031383,0.08013700693845749,0.2938808500766754,0.13298974147591697,-0.16395682096481323
(*)|(*)|(mark_vs_perp_bps<=0.57398349&ob_pressure_mkt_resid<=-0.0021142077&price_trend_7d_vol_norm>-0.13709633),1,2324,0.15493333333333334,0.005668592173606157,0.022490540519356728,1,0,,,,0.09343535789560954,,,0.14295911776847742,-0.10525811494244744,0.2879001796245575,1.085176944732666,0.7839871106720583,-0.18530842661857605
(*)|(*)|(mark_vs_perp_bps<=0.57398349&ob_pressure_mkt_resid<=-0.0021142077&price_trend_7d_vol_norm>-0.13709633),2,2420,0.16133333333333333,0.004503591917455196,0.01726633682847023,1,0,,,,0.09046409137504244,,,0.14102788246546974,-0.09307681241261906,0.2748674750328064,0.9510982036590576,0.8696021957933474,-0.1426275074481964
(*)|(*)|(mark_vs_perp_bps<=0.57398349&ob_pressure_mkt_resid<=-0.0021142077&price_trend_7d_vol_norm>-0.13709633),3,1171,0.1316617944681808,0.001848968560807407,0.021876085549592972,1,0,,,,0.059623566149609085,,,0.24875915876204674,0.0234546199867727,0.43777358531951904,1.2938441038131714,0.43190285775878745,-0.15974357724189758
(*)|(dist_rolling_7d_high<=0.24775687&loc_session_pos_24<=0.29411873)|(asset_atr_level_pct>0.09346769&mark_vs_perp_bps<=1.9431266),0,1945,0.12966666666666668,0.005943949334323406,0.02230256050825119,1,0,,,,0.09670367159903596,,,-0.06605323031134468,-0.21729082713387043,-0.1354399174451828,-0.32940053939819336,0.02240912010533975,0.011695623397827148
(*)|(dist_rolling_7d_high<=0.24775687&loc_session_pos_24<=0.29411873)|(asset_atr_level_pct>0.09346769&mark_vs_perp_bps<=1.9431266),1,1689,0.1126,0.0031361717265099287,0.01928044855594635,1,0,,,,0.06609932636716652,,,0.19650563573913937,-0.051711596971785484,0.37834540009498596,1.0422559976577759,0.8862719608881062,0.012060284614562988
(*)|(dist_rolling_7d_high<=0.24775687&loc_session_pos_24<=0.29411873)|(asset_atr_level_pct>0.09346769&mark_vs_perp_bps<=1.9431266),2,2139,0.1426,0.0034762853756546974,0.01784646138548851,1,0,,,,0.06576936549339844,,,0.06109787041342573,-0.17300682446466306,0.10781289637088776,0.2132216989994049,0.10561678168558991,0.04263031482696533
(*)|(dist_rolling_7d_high<=0.24775687&loc_session_pos_24<=0.29411873)|(asset_atr_level_pct>0.09346769&mark_vs_perp_bps<=1.9431266),3,1275,0.1433550708342703,0.0016483354847878218,0.018466245383024216,1,0,,,,0.05663089681864735,,,0.15306956410300449,-0.07223497467226955,0.21109209954738617,0.4924546480178833,0.2345398951272113,0.03261536359786987
(*)|(*)|(atr_percentile>-0.42980024&dist_oiw_z_delta_12h_atr<=0.16478835&mark_vs_perp_bps<=-0.85180199&trend_pct_resid<=0.0095092412),0,2126,0.14173333333333332,0.00625151302665472,0.022135550156235695,1,0,,,,0.11677664008012498,,,-0.05322574223557031,-0.20446333905809605,-0.01487831398844719,-0.19172382354736328,0.03320930370844487,0.005589008331298828
(*)|(*)|(atr_percentile>-0.42980024&dist_oiw_z_delta_12h_atr<=0.16478835&mark_vs_perp_bps<=-0.85180199&trend_pct_resid<=0.0095092412),1,1222,0.08146666666666667,2.207132820331026e-05,0.018431387841701508,1,0,,,,0.007474188070201161,,,0.12643774539071292,-0.12177948732021193,0.14712902903556824,0.5208624005317688,0.2543702058080226,0.06254655122756958
(*)|(*)|(atr_percentile>-0.42980024&dist_oiw_z_delta_12h_atr<=0.16478835&mark_vs_perp_bps<=-0.85180199&trend_pct_resid<=0.0095092412),2,2149,0.14326666666666665,0.002379319630563259,0.01671563647687435,1,0,,,,0.04346136656755205,,,0.13744856213313353,-0.09665613274495527,0.1944565325975418,0.5813072919845581,0.3023213120404427,0.011167764663696289
(*)|(*)|(atr_percentile>-0.42980024&dist_oiw_z_delta_12h_atr<=0.16478835&mark_vs_perp_bps<=-0.85180199&trend_pct_resid<=0.0095092412),3,1467,0.1649426579716663,0.004446523729711771,0.015012770891189575,1,0,,,,0.12162857531462137,,,0.11555897747230025,-0.10974556130297379,0.20843380689620972,0.46166956424713135,0.21479161373880865,-0.03696352243423462
(*)|(oiw_intensity_entry_dist_1d_atr<=0.7252425&zscore_price_200>-0.91691828)|(mark_perp_dislocation<=0.00078856089&ob_imbalance_mkt_resid<=-0.00000000000000000000000000000000001),0,1549,0.10326666666666667,0.004441605415195227,0.021929292008280754,1,0,,,,0.06961457465488732,,,-0.001482495727290124,-0.15272009254981586,-0.03691239282488823,0.15256281197071075,0.08881061403949045,-0.09212431311607361
(*)|(oiw_intensity_entry_dist_1d_atr<=0.7252425&zscore_price_200>-0.91691828)|(mark_perp_dislocation<=0.00078856089&ob_imbalance_mkt_resid<=-0.00000000000000000000000000000000001),1,1859,0.12393333333333334,0.003979917615652084,0.023437371477484703,1,0,,,,0.07434468139538887,,,0.12606578516204722,-0.12215144754887763,0.2574983537197113,0.898460865020752,0.7481799057439747,-0.0939645767211914
(*)|(oiw_intensity_entry_dist_1d_atr<=0.7252425&zscore_price_200>-0.91691828)|(mark_perp_dislocation<=0.00078856089&ob_imbalance_mkt_resid<=-0.00000000000000000000000000000000001),2,1942,0.12946666666666667,0.004476661793887615,0.018152538686990738,1,0,,,,0.0804033967999329,,,0.09229228981651778,-0.141812405061571,0.12316634505987167,0.4910767078399658,0.23361833341364344,-0.09366893768310547
(*)|(oiw_intensity_entry_dist_1d_atr<=0.7252425&zscore_price_200>-0.91691828)|(mark_perp_dislocation<=0.00078856089&ob_imbalance_mkt_resid<=-0.00000000000000000000000000000000001),3,893,0.10040476725882617,0.0015074984403327107,0.018637334927916527,1,0,,,,0.023976496567001886,,,0.2467041268562219,0.021399588080947857,0.4146500527858734,1.1010301113128662,0.7492688153209203,-0.07366013526916504
(*)|(*)|(compression_ratio>-1.0609429&log_oi_to_volume_1d<=40.335079&mark_perp_dislocation<=-0.0013591596&oi_1d_x_funding<=-0.00000000000000000000000000000000001),0,1770,0.118,0.006157929077744484,0.022820034995675087,1,0,,,,0.09931691394691965,,,-0.05537421528159356,-0.2066118121041193,-0.06749950349330902,-0.23474034667015076,0.029368589447310293,-0.03668689727783203
(*)|(*)|(compression_ratio>-1.0609429&log_oi_to_volume_1d<=40.335079&mark_perp_dislocation<=-0.0013591596&oi_1d_x_funding<=-0.00000000000000000000000000000000001),1,1892,0.12613333333333332,0.002785651246085763,0.02389814704656601,1,0,,,,0.05097469871247842,,,0.2635743315473075,0.015357098836382671,0.4270203709602356,1.7854911088943481,0.10600592278225872,-0.07985389232635498
(*)|(*)|(compression_ratio>-1.0609429&log_oi_to_volume_1d<=40.335079&mark_perp_dislocation<=-0.0013591596&oi_1d_x_funding<=-0.00000000000000000000000000000000001),2,1756,0.11706666666666667,0.00456662243232131,0.019407430663704872,1,0,,,,0.08097170316824624,,,0.11647927258705325,-0.11762542229103555,0.20323169231414795,0.8337910175323486,0.621957941279789,-0.03651726245880127
(*)|(*)|(compression_ratio>-1.0609429&log_oi_to_volume_1d<=40.335079&mark_perp_dislocation<=-0.0013591596&oi_1d_x_funding<=-0.00000000000000000000000000000000001),3,1219,0.13705869125252979,0.0016272406792268157,0.020704954862594604,1,0,,,,0.0470933167912008,,,0.11107116658014982,-0.11423337219512422,0.18814843893051147,0.5102273225784302,0.24675717898718832,-0.054055750370025635
(*)|(*)|(log_oi_to_volume_7d<=1.5513754&mark_vs_perp_bps<=-1.4241166&ob_depth_z_10bps<=0.35926715&oi_to_volume_1d_z_90d<=0.32165784&price_trend_15d_vol_norm>-0.11141568),0,1704,0.1136,0.003999361302703619,0.022369783371686935,1,0,,,,0.06828022874684327,,,-0.00957626027422489,-0.16081385709675064,0.05876115709543228,-0.060246992856264114,0.04835057704311163,-0.004875242710113525
(*)|(*)|(log_oi_to_volume_7d<=1.5513754&mark_vs_perp_bps<=-1.4241166&ob_depth_z_10bps<=0.35926715&oi_to_volume_1d_z_90d<=0.32165784&price_trend_15d_vol_norm>-0.11141568),1,2323,0.15486666666666668,0.0033296383917331696,0.021303724497556686,1,0,,,,0.06569034133577704,,,0.196849583079071,-0.05136764963185386,0.38390395045280457,1.5553815364837646,0.20457832081418234,-0.07951056957244873
(*)|(*)|(log_oi_to_volume_7d<=1.5513754&mark_vs_perp_bps<=-1.4241166&ob_depth_z_10bps<=0.35926715&oi_to_volume_1d_z_90d<=0.32165784&price_trend_15d_vol_norm>-0.11141568),2,1842,0.1228,0.004818941466510296,0.018586579710245132,1,0,,,,0.08303038913234322,,,0.09697749627305141,-0.1371271986050374,0.11949530988931656,0.5637049674987793,0.28749286520878287,-0.060242533683776855
(*)|(*)|(log_oi_to_volume_7d<=1.5513754&mark_vs_perp_bps<=-1.4241166&ob_depth_z_10bps<=0.35926715&oi_to_volume_1d_z_90d<=0.32165784&price_trend_15d_vol_norm>-0.11141568),3,1007,0.11322239712165505,0.0018429079791530967,0.017401810735464096,1,0,,,,0.04466057083667687,,,0.16730317394948296,-0.058001364825791074,0.37754392623901367,0.8489215970039368,0.6494349641986368,0.007321715354919434
(*)|(*)|(log_oi_to_volume_1d<=40.526936&mark_perp_dislocation<=-0.0015371551&oi_value_1d_chg_z_90d>0.23595029),0,1909,0.12726666666666667,0.00296251499094069,0.020055772736668587,1,0,,,,0.059622454740899666,,,0.006900766454081712,-0.14433683036844402,0.056521203368902206,0.1403910219669342,0.08577517487092122,-0.06332039833068848
(*)|(*)|(log_oi_to_volume_1d<=40.526936&mark_perp_dislocation<=-0.0015371551&oi_value_1d_chg_z_90d>0.23595029),1,1971,0.1314,0.00346287596039474,0.02207310125231743,1,0,,,,0.06375043858228972,,,0.1313718419079269,-0.11684539080299797,0.2557198107242584,1.0587785243988037,0.8454057062240987,-0.11950904130935669
(*)|(*)|(log_oi_to_volume_1d<=40.526936&mark_perp_dislocation<=-0.0015371551&oi_value_1d_chg_z_90d>0.23595029),2,1752,0.1168,0.004031532444059849,0.019122887402772903,1,0,,,,0.0712860404179,,,0.16047231730158837,-0.07363237757650043,0.3161068856716156,1.1445263624191284,0.661706970324609,-0.08601319789886475
(*)|(*)|(log_oi_to_volume_1d<=40.526936&mark_perp_dislocation<=-0.0015371551&oi_value_1d_chg_z_90d>0.23595029),3,1112,0.1250281088374185,0.0025069911498576403,0.02425827831029892,1,0,,,,0.08481101208657504,,,0.0015821839869644045,-0.22372235478830962,-0.029869062826037407,-0.010813621804118156,0.05568530898003494,-0.050051748752593994
(*)|(distance_to_ema<=-0.19920151&loc_initial_balance_pos_24<=0.54608041)|(mark_vs_perp_bps<=1.9877527&price_trend_7d_vol_norm>-0.11106931),0,2090,0.13933333333333334,0.005044691730290651,0.022543231025338173,1,0,,,,0.08321198315036933,,,0.025799216570493347,-0.1254383802520324,0.09027043730020523,0.31943151354789734,0.14306139719355018,-0.004316926002502441
(*)|(distance_to_ema<=-0.19920151&loc_initial_balance_pos_24<=0.54608041)|(mark_vs_perp_bps<=1.9877527&price_trend_7d_vol_norm>-0.11106931),1,1684,0.11226666666666667,0.002589296782389283,0.02044857293367386,1,0,,,,0.05442257156036458,,,0.1656326613669461,-0.08258457134397876,0.3195742964744568,1.146784782409668,0.6574509670111474,0.060666441917419434
(*)|(distance_to_ema<=-0.19920151&loc_initial_balance_pos_24<=0.54608041)|(mark_vs_perp_bps<=1.9877527&price_trend_7d_vol_norm>-0.11106931),2,2012,0.13413333333333333,0.002591140102595091,0.016062095761299133,1,0,,,,0.0453333586578201,,,0.039745545109231555,-0.19435914976885724,0.04157206788659096,0.1547657996416092,0.08937137321831462,0.09672695398330688
(*)|(distance_to_ema<=-0.19920151&loc_initial_balance_pos_24<=0.54608041)|(mark_vs_perp_bps<=1.9877527&price_trend_7d_vol_norm>-0.11106931),3,1008,0.11333483247132899,0.0011001044185832143,0.01570037007331848,1,0,,,,0.02515142678910856,,,0.20516517476551227,-0.020139364009761768,0.4634763300418854,1.103551983833313,0.7438894745087742,0.01983165740966797
(*)|(*)|(asset_minus_universe_median_ret_24h>-1.3373525&mark_vs_perp_bps<=1.6141144&ob_spread_mkt_resid<=0.020522114&oi_to_volume_1d_z_90d<=0.062808968&price_trend_7d_vol_norm>-0.16661043),0,1663,0.11086666666666667,0.005379818845540285,0.02161046303808689,1,0,,,,0.07984801644994598,,,-0.005167781273466915,-0.15640537809599267,0.02449905127286911,-0.02645815722644329,0.05325105874390802,0.01740044355392456
(*)|(*)|(asset_minus_universe_median_ret_24h>-1.3373525&mark_vs_perp_bps<=1.6141144&ob_spread_mkt_resid<=0.020522114&oi_to_volume_1d_z_90d<=0.062808968&price_trend_7d_vol_norm>-0.16661043),1,1944,0.1296,0.003628358244895935,0.020463649183511734,1,0,,,,0.06422296276022604,,,0.14109805282129254,-0.10711917988963232,0.32093459367752075,0.9901220202445984,0.9721717434853374,-0.04108709096908569
(*)|(*)|(asset_minus_universe_median_ret_24h>-1.3373525&mark_vs_perp_bps<=1.6141144&ob_spread_mkt_resid<=0.020522114&oi_to_volume_1d_z_90d<=0.062808968&price_trend_7d_vol_norm>-0.16661043),2,2001,0.1334,0.0030659628100693226,0.01747642084956169,1,0,,,,0.05141574730914991,,,0.08400877983873868,-0.1500959150393501,0.11280515789985657,0.4052961766719818,0.18283817976032357,-0.007979929447174072
