fold_id,seed,feature_name,group,regime_family,source_family,gain,split
0,42,dist_oiw_z_delta_12h_atr,regime,perp_tradeability,perp_tradeability,19.74242,6.0
0,42,dist_ema20_atr,location,,context,44.65765,7.0
0,42,dist_oiw_signed_delta_12h_atr,regime,perp_tradeability,perp_tradeability,36.54821,7.0
0,42,dist_ema50_atr,location,,context,43.175102,5.0
0,42,dist_oiw_abs_delta_12h_atr,regime,perp_tradeability,perp_tradeability,74.72437,11.0
0,42,dist_ema200_atr,location,,context,128.36807,12.0
0,42,oi_expansion_compression_balance_24h,regime,perp_tradeability,perp_tradeability,14.51881,4.0
0,42,oiw_pos_delta_entry_dist_1d_atr,location,,open_interest_location,17.84888,3.0
0,42,dist_funding_pressure_price_12h_atr,regime,perp_tradeability,perp_tradeability,24.84665,7.0
0,42,oiw_intensity_entry_dist_1d_atr,location,,open_interest_location,11.5716305,3.0
0,42,oiw_entry_zone_1d_atr,regime,perp_tradeability,perp_tradeability,71.60561,11.0
0,42,oiw_z_delta_entry_dist_1d_atr,location,,open_interest_location,10.4243,1.0
0,42,donchian_zone_1d_atr,regime,perp_tradeability,perp_tradeability,15.09282,2.0
0,42,oiw_pos_delta_entry_dist_7d_atr,location,,open_interest_location,1.56016,1.0
0,42,dist_oiw_intensity_96h_atr,regime,perp_tradeability,perp_tradeability,14.627533,6.0
0,42,oiw_pos_delta_entry_dist_14d_atr,location,,open_interest_location,10.70452,3.0
0,42,dist_oiw_z_delta_96h_atr,regime,perp_tradeability,perp_tradeability,106.45339,23.0
0,42,oiw_intensity_entry_dist_7d_atr,location,,open_interest_location,12.75377,4.0
0,42,oi_expansion_compression_balance_96h,regime,perp_tradeability,perp_tradeability,24.725016,8.0
0,42,oiw_z_delta_entry_dist_7d_atr,location,,open_interest_location,121.09931,11.0
0,42,dist_funding_pressure_price_96h_atr,regime,perp_tradeability,perp_tradeability,52.64634,9.0
0,42,oiw_z_delta_entry_dist_14d_atr,location,,open_interest_location,60.38713,8.0
0,42,dist_prior_day_high,location,,context,172.0505,11.0
0,42,up_down_semivol_ratio_tanh,regime,path_structure,path_structure,337.68997,36.0
0,42,dist_prior_day_low,location,,context,66.67196,9.0
0,42,up_down_return_mass_ratio_tanh,regime,path_structure,path_structure,36.53043,7.0
0,42,dist_rolling_7d_high,location,,context,687.241,43.0
0,42,tail_asymmetry_q90_q10_atr_norm,regime,path_structure,path_structure,38.574368,7.0
0,42,dist_local_swing,location,,context,371.63205,18.0
0,42,abs_ret_per_oi_z_24h,regime,perp_tradeability,perp_tradeability,199.40706,23.0
0,42,dist_range_mid_atr,location,,context,7.06256,1.0
0,42,amihud_illiq,regime,liquidity,liquidity,16.67823,6.0
0,42,dist_ma100_atr,location,,context,15.661419,3.0
0,42,amihud_z,regime,liquidity,liquidity,46.49848,10.0
0,42,distance_to_ema,location,,context,54.05229,9.0
0,42,amihud_z_peer_resid,regime,residual,residual,47.625355,14.0
0,42,pullback_depth,location,,context,124.87022,21.0
0,42,asset_atr_level_pct,regime,asset_state,asset_state,1476.4481,48.0
0,42,zscore_price_50,location,,context,64.154884,10.0
0,42,asset_funding_rate_abs_mean_7d,regime,perp_tradeability,perp_tradeability,53.90826,9.0
0,42,zscore_price_200,location,,context,145.01334,20.0
0,42,asset_funding_rate_mean_15d,regime,perp_tradeability,perp_tradeability,304.33347,34.0
0,42,loc_ema_stack_pos_24,location,,trend,2.892174,2.0
0,42,asset_funding_rate_mean_3d,regime,perp_tradeability,perp_tradeability,49.19688,7.0
0,42,loc_ema_stack_pos_48,location,,trend,34.10936,7.0
0,42,asset_funding_rate_mean_7d,regime,perp_tradeability,perp_tradeability,39.96706,7.0
0,42,loc_range_pos_24,location,,context,29.170074,7.0
0,42,asset_funding_trend_alignment,regime,perp_tradeability,perp_tradeability,0.77012897,2.0
0,42,loc_range_pos_48,location,,context,29.94478,5.0
0,42,loc_prior_bar_pos_24,location,,context,151.53818,13.0
0,42,asset_minus_mkt_oi_1d,regime,open_interest,open_interest,36.359848,7.0
0,42,loc_prior_bar_pos_48,location,,context,160.3993,12.0
0,42,asset_minus_mkt_oi_1d_peer_resid,regime,residual,residual,3.59003,1.0
0,42,loc_swing_range_pos_24,location,,context,261.04068,21.0
0,42,asset_minus_mkt_oi_1d_ts_resid,regime,residual,residual,23.84829,5.0
0,42,loc_swing_range_pos_48,location,,context,92.86723,13.0
0,42,asset_minus_mkt_oi_1d_z_90d,regime,open_interest,open_interest,46.40474,6.0
0,42,loc_session_pos_24,location,,context,194.79956,22.0
0,42,asset_minus_mkt_oi_7d,regime,open_interest,open_interest,33.41088,8.0
0,42,loc_session_pos_48,location,,context,201.7224,21.0
0,42,asset_minus_mkt_oi_7d_peer_resid,regime,residual,residual,1.27676,1.0
0,42,loc_initial_balance_pos_24,location,,context,14.97536,5.0
0,42,asset_minus_mkt_oi_7d_ts_resid,regime,residual,residual,2.20061,1.0
0,42,loc_initial_balance_pos_48,location,,context,52.533047,5.0
0,42,asset_minus_mkt_oi_7d_z_180d,regime,open_interest,open_interest,53.129715,8.0
0,42,loc_prev_day_range_pos_24,location,,context,20.51482,4.0
0,42,asset_minus_universe_median_ret_24h,regime,asset_relative_return,asset_relative_return,63.58968,11.0
0,42,loc_prev_day_range_pos_48,location,,context,9.90096,3.0
0,42,asset_minus_universe_median_ret_48h,regime,asset_relative_return,asset_relative_return,21.71465,4.0
0,42,loc_prev_week_range_pos_24,location,,context,25.943,6.0
0,42,asset_minus_universe_median_ret_4h,regime,asset_relative_return,asset_relative_return,146.3181,14.0
0,42,loc_prev_week_range_pos_48,location,,context,18.06439,3.0
0,42,asset_mom_minus_basket_mom_24h,regime,asset_relative_return,asset_relative_return,38.02212,8.0
0,42,loc_bb_channel_pos_24,location,,compression,22.68659,6.0
0,42,asset_mom_minus_basket_mom_4h,regime,asset_relative_return,asset_relative_return,5.48434,3.0
0,42,loc_bb_channel_pos_48,location,,compression,23.62648,5.0
0,42,asset_ret_vs_universe_24h,regime,asset_relative_return,asset_relative_return,78.84182,13.0
0,42,loc_pullback_depth_24,location,,path_structure,123.79119,10.0
0,42,asset_ret_vs_universe_48h,regime,asset_relative_return,asset_relative_return,38.58638,6.0
0,42,loc_pullback_depth_48,location,,path_structure,150.48306,13.0
0,42,asset_ret_vs_universe_4h,regime,asset_relative_return,asset_relative_return,142.03511,14.0
0,42,asset_vol_level_pct,regime,asset_state,asset_state,216.4264,24.0
0,42,loc_pivot_ladder_pos_48,location,,context,22.95017,4.0
0,42,atr_compression_ratio,regime,volatility_term_structure,volatility_term_structure,33.97442,7.0
0,42,bars_in_high_vol_state_log_norm,location,,context,128.01292,16.0
0,42,atr_expansion_ts_resid,regime,residual,residual,13.24747,3.0
0,42,atr_percentile,regime,compression,compression,95.76529,17.0
0,42,bollinger_band_width,regime,compression,compression,35.68076,6.0
0,42,carry_adj_ret_self_z_10h,regime,perp_carry,perp_carry,180.90459,19.0
0,42,carry_adj_ret_self_z_5h,regime,perp_carry,perp_carry,47.83572,6.0
0,42,carry_adj_short_ret_self_z_10h,regime,perp_carry,perp_carry,160.48347,18.0
0,42,carry_adj_short_ret_self_z_5h,regime,perp_carry,perp_carry,30.75768,7.0
0,42,choppiness_index_20,regime,path_structure,path_structure,96.37382,8.0
0,42,coherence_24_ts_resid,regime,residual,residual,56.786957,10.0
0,42,compression_ratio,regime,volatility_term_structure,volatility_term_structure,10.91388,4.0
0,42,compression_score,regime,volatility_term_structure,volatility_term_structure,49.94241,6.0
0,42,crowded_long_1d,regime,open_interest,open_interest,18.2771,3.0
0,42,crowded_short_3d,regime,open_interest,open_interest,9.28603,1.0
0,42,crowded_short_7d,regime,open_interest,open_interest,13.72368,2.0
0,42,cs_rank_oi_chg_1d_z_90d,regime,open_interest,open_interest,18.23997,4.0
0,42,cs_rank_oi_value_z_30d,regime,open_interest,open_interest,11.542145,3.0
0,42,cs_rank_ret_24h,regime,cross_sectional,cross_sectional,15.909439,3.0
0,42,direction_entropy_20,regime,path_structure,path_structure,62.73518,13.0
0,42,dist_ema_fast,regime,trend,trend,57.817368,10.0
0,42,dist_ema_fast_mkt_resid,regime,residual,residual,41.6878,7.0
0,42,dist_ema_fast_ts_resid,regime,residual,residual,5.968716,2.0
0,42,efficiency_ratio_20,regime,path_structure,path_structure,18.61499,5.0
0,42,ema20_slope_5h,regime,trend,trend,80.253006,10.0
0,42,ema50_slope,regime,trend,trend,21.1275,3.0
0,42,ema_slope_norm,regime,trend,trend,60.31706,9.0
0,42,entry_quality_composite_ts_resid,regime,residual,residual,56.279522,6.0
0,42,excess_6h_ts_resid,regime,residual,residual,80.44304,9.0
0,42,exh_qual_surprise,regime,residual,residual,10.27235,2.0
