fold_id,seed,regime_family,gain,split
0,42,asset_relative_funding,10.474171,5.0
0,42,asset_relative_return,1208.3998,153.0
0,42,asset_state,1692.8745,72.0
0,42,compression,1666.8427,70.0
0,42,context,602.1677,35.0
0,42,cross_sectional,15.909439,3.0
0,42,crowding,4.93694,1.0
0,42,funding,413.39127,73.0
0,42,liquidity,188.96368,36.0
0,42,momentum,180.85783,29.0
0,42,open_interest,2920.0815,445.0
0,42,orderbook,508.9158,35.0
0,42,path_structure,711.006,91.0
0,42,perp_carry,419.98148,50.0
0,42,perp_tradeability,3592.3557,326.0
0,42,residual,2497.4255,289.0
0,42,trend,228.59894,34.0
0,42,volatility,258.58044,48.0
0,42,volatility_term_structure,211.33768,31.0
1,42,asset_relative_funding,9.987574,4.0
1,42,asset_relative_return,966.8468,107.0
1,42,asset_state,1146.4484,40.0
1,42,compression,1385.7885,45.0
1,42,context,357.78836,22.0
1,42,cross_sectional,7.5631905,2.0
1,42,crowding,7.695682,3.0
1,42,funding,264.36172,34.0
1,42,liquidity,43.455772,12.0
1,42,momentum,8.32523,2.0
1,42,open_interest,1492.9215,226.0
1,42,orderbook,200.1831,17.0
1,42,path_structure,741.4215,57.0
1,42,perp_carry,97.07434,13.0
1,42,perp_tradeability,3793.296,243.0
1,42,residual,1945.346,148.0
1,42,trend,111.19141,22.0
1,42,volatility,141.1966,25.0
1,42,volatility_term_structure,145.39343,22.0
2,42,asset_relative_funding,25.804783,10.0
2,42,asset_relative_return,1291.206,180.0
2,42,asset_state,1326.283,54.0
2,42,compression,1294.0316,84.0
2,42,context,319.0264,31.0
2,42,cross_sectional,18.73203,3.0
2,42,crowding,10.054812,4.0
2,42,funding,272.05804,54.0
2,42,liquidity,94.34434,20.0
2,42,momentum,32.03576,6.0
2,42,open_interest,1892.794,374.0
2,42,orderbook,299.8624,33.0
2,42,path_structure,584.15295,67.0
2,42,perp_carry,135.31781,23.0
2,42,perp_tradeability,3887.301,269.0
2,42,residual,2822.7622,295.0
2,42,trend,152.9089,30.0
2,42,volatility,189.585,31.0
2,42,volatility_term_structure,182.89333,29.0
3,42,asset_relative_funding,12.733875,5.0
3,42,asset_relative_return,1314.8074,184.0
3,42,asset_state,641.3313,57.0
3,42,compression,1199.9252,91.0
3,42,context,223.107,26.0
3,42,cross_sectional,17.44261,5.0
3,42,crowding,20.038834,6.0
3,42,funding,172.12704,47.0
3,42,liquidity,90.460144,31.0
3,42,momentum,10.27365,3.0
3,42,open_interest,2150.1648,387.0
3,42,orderbook,434.11603,42.0
3,42,path_structure,613.83777,80.0
3,42,perp_carry,92.86837,19.0
3,42,perp_tradeability,3927.4749,294.0
3,42,residual,2931.9346,320.0
3,42,trend,165.53879,30.0
3,42,volatility,278.8844,48.0
3,42,volatility_term_structure,120.85556,31.0
