feature_name,group,source_name,source_family,model_split_count,extracted_rule_count,final_registry_count,used_in_model,used_in_extracted_rules,used_in_final_registry
dist_oiw_z_delta_12h_atr,regime,dist_oiw_z_delta_12h_atr,perp_tradeability,22,23,0,True,True,False
dist_ema20_atr,location,dist_ema20_atr,context,21,36,0,True,True,False
dist_oiw_signed_delta_12h_atr,regime,dist_oiw_signed_delta_12h_atr,perp_tradeability,13,12,0,True,True,False
dist_ema50_atr,location,dist_ema50_atr,context,19,29,0,True,True,False
dist_oiw_abs_delta_12h_atr,regime,dist_oiw_abs_delta_12h_atr,perp_tradeability,39,37,0,True,True,False
dist_ema200_atr,location,dist_ema200_atr,context,73,132,0,True,True,False
oi_expansion_compression_balance_24h,regime,oi_expansion_compression_balance_24h,perp_tradeability,8,9,0,True,True,False
oiw_pos_delta_entry_dist_1d_atr,location,oiw_pos_delta_entry_dist_1d_atr,open_interest_location,16,21,0,True,True,False
dist_funding_pressure_price_12h_atr,regime,dist_funding_pressure_price_12h_atr,perp_tradeability,23,23,0,True,True,False
oiw_intensity_entry_dist_1d_atr,location,oiw_intensity_entry_dist_1d_atr,open_interest_location,14,22,0,True,True,False
oiw_entry_zone_1d_atr,regime,oiw_entry_zone_1d_atr,perp_tradeability,27,47,0,True,True,False
oiw_z_delta_entry_dist_1d_atr,location,oiw_z_delta_entry_dist_1d_atr,open_interest_location,2,3,0,True,True,False
donchian_zone_1d_atr,regime,donchian_zone_1d_atr,perp_tradeability,16,21,0,True,True,False
oiw_pos_delta_entry_dist_7d_atr,location,oiw_pos_delta_entry_dist_7d_atr,open_interest_location,15,11,0,True,True,False
dist_oiw_intensity_96h_atr,regime,dist_oiw_intensity_96h_atr,perp_tradeability,31,19,0,True,True,False
oiw_pos_delta_entry_dist_14d_atr,location,oiw_pos_delta_entry_dist_14d_atr,open_interest_location,23,30,0,True,True,False
dist_oiw_z_delta_96h_atr,regime,dist_oiw_z_delta_96h_atr,perp_tradeability,60,59,0,True,True,False
oiw_intensity_entry_dist_7d_atr,location,oiw_intensity_entry_dist_7d_atr,open_interest_location,6,6,0,True,True,False
oi_expansion_compression_balance_96h,regime,oi_expansion_compression_balance_96h,perp_tradeability,7,11,0,True,True,False
oiw_z_delta_entry_dist_7d_atr,location,oiw_z_delta_entry_dist_7d_atr,open_interest_location,24,35,0,True,True,False
dist_funding_pressure_price_96h_atr,regime,dist_funding_pressure_price_96h_atr,perp_tradeability,58,50,0,True,True,False
oiw_z_delta_entry_dist_14d_atr,location,oiw_z_delta_entry_dist_14d_atr,open_interest_location,21,33,0,True,True,False
bars_outside_ema20_atr_band_log_norm,regime,bars_outside_ema20_atr_band_log_norm,volatility,0,0,0,False,False,False
dist_prior_day_high,location,dist_prior_day_high,context,82,210,0,True,True,False
up_down_semivol_ratio_tanh,regime,up_down_semivol_ratio_tanh,path_structure,97,264,0,True,True,False
dist_prior_day_low,location,dist_prior_day_low,context,14,22,0,True,True,False
up_down_return_mass_ratio_tanh,regime,up_down_return_mass_ratio_tanh,path_structure,18,13,0,True,True,False
dist_rolling_7d_high,location,dist_rolling_7d_high,context,111,348,0,True,True,False
tail_asymmetry_q90_q10_atr_norm,regime,tail_asymmetry_q90_q10_atr_norm,path_structure,25,23,0,True,True,False
dist_local_swing,location,dist_local_swing,context,64,124,0,True,True,False
