fold_id,seed,feature_name,group,regime_family,source_family,gain,split
0,42,oi_expansion_compression_balance_24h,regime,perp_tradeability,perp_tradeability,46.39573,5.0
0,42,dist_ema20_atr,location,,context,19.47723,3.0
0,42,oiw_entry_zone_1d_atr,regime,perp_tradeability,perp_tradeability,30.697412,5.0
0,42,dist_ema50_atr,location,,context,6.95013,2.0
0,42,donchian_zone_1d_atr,regime,perp_tradeability,perp_tradeability,25.18001,4.0
0,42,dist_ema200_atr,location,,context,18.81948,3.0
0,42,dist_oiw_intensity_96h_atr,regime,perp_tradeability,perp_tradeability,14.03921,4.0
0,42,dist_oiw_z_delta_96h_atr,regime,perp_tradeability,perp_tradeability,4.7313747,3.0
0,42,oiw_intensity_entry_dist_1d_atr,location,,open_interest_location,16.90167,2.0
0,42,oi_expansion_compression_balance_96h,regime,perp_tradeability,perp_tradeability,22.4103,4.0
0,42,oiw_z_delta_entry_dist_1d_atr,location,,open_interest_location,4.81434,2.0
0,42,dist_funding_pressure_price_96h_atr,regime,perp_tradeability,perp_tradeability,225.65112,22.0
0,42,dist_oiw_signed_delta_12h_atr,location,,open_interest_location,32.39368,6.0
0,42,dist_oiw_abs_delta_12h_atr,location,,open_interest_location,11.334299,2.0
0,42,dist_funding_pressure_price_12h_atr,location,,open_interest_location,56.714794,8.0
0,42,up_down_semivol_ratio_tanh,regime,path_structure,path_structure,28.80629,5.0
0,42,oiw_pos_delta_entry_dist_7d_atr,location,,open_interest_location,16.31911,2.0
0,42,up_down_return_mass_ratio_tanh,regime,path_structure,path_structure,17.62392,2.0
0,42,oiw_pos_delta_entry_dist_14d_atr,location,,open_interest_location,34.55738,4.0
0,42,amihud_illiq,regime,liquidity,liquidity,15.11624,3.0
0,42,oiw_intensity_entry_dist_7d_atr,location,,open_interest_location,47.195858,4.0
0,42,asset_atr_level_pct,regime,asset_state,asset_state,48.91549,9.0
0,42,oiw_z_delta_entry_dist_7d_atr,location,,open_interest_location,2.69323,1.0
0,42,asset_funding_rate_abs_mean_7d,regime,perp_tradeability,perp_tradeability,9.19898,1.0
0,42,oiw_z_delta_entry_dist_14d_atr,location,,open_interest_location,26.88114,4.0
0,42,asset_funding_rate_mean_15d,regime,perp_tradeability,perp_tradeability,37.77442,4.0
0,42,dist_prior_day_high,location,,context,23.630571,3.0
0,42,asset_funding_rate_mean_3d,regime,perp_tradeability,perp_tradeability,57.12373,7.0
0,42,dist_prior_day_low,location,,context,21.01652,2.0
0,42,asset_funding_rate_mean_7d,regime,perp_tradeability,perp_tradeability,94.63214,5.0
0,42,dist_rolling_7d_high,location,,context,21.714241,3.0
0,42,asset_funding_z,regime,perp_tradeability,perp_tradeability,5.96828,1.0
0,42,dist_local_swing,location,,context,330.97562,18.0
0,42,dist_range_mid_atr,location,,context,5.32006,1.0
0,42,dist_ma100_atr,location,,context,48.2392,2.0
0,42,asset_minus_mkt_oi_1d_z_90d,regime,open_interest,open_interest,1.25126,1.0
0,42,distance_to_ema,location,,context,43.84187,4.0
