fold_id,seed,regime_family,gain,split
0,42,asset_relative_funding,166.31158,38.0
0,42,asset_state,973.70807,84.0
0,42,compression,739.84204,97.0
0,42,context,516.9106,57.0
0,42,crowding,41.615273,12.0
0,42,funding,860.0523,185.0
0,42,liquidity,411.80737,90.0
0,42,momentum,581.0374,83.0
0,42,open_interest,5816.779,907.0
0,42,orderbook,101.720825,27.0
0,42,path_structure,1209.3259,201.0
0,42,perp_tradeability,3974.7515,617.0
0,42,residual,1285.4814,248.0
0,42,trend,481.89246,66.0
0,42,volatility,317.60864,53.0
0,42,volatility_term_structure,918.7022,111.0
1,42,asset_relative_funding,7.0799074,3.0
1,42,asset_state,284.23642,20.0
1,42,compression,570.3576,24.0
1,42,context,395.23566,17.0
1,42,crowding,0.229804,1.0
1,42,funding,137.77263,22.0
1,42,liquidity,11.830606,6.0
1,42,momentum,82.393776,9.0
1,42,open_interest,1553.7867,137.0
1,42,orderbook,19.864975,3.0
1,42,path_structure,313.7024,32.0
1,42,perp_tradeability,1970.9238,125.0
1,42,residual,569.1578,38.0
1,42,trend,125.20867,12.0
1,42,volatility,42.10543,4.0
1,42,volatility_term_structure,219.34726,11.0
2,42,asset_state,73.38106,4.0
2,42,compression,163.78639,4.0
2,42,context,50.95982,3.0
2,42,funding,0.769157,1.0
2,42,liquidity,2.51954,1.0
2,42,momentum,12.5456,3.0
2,42,open_interest,167.00327,18.0
2,42,orderbook,2.71452,2.0
2,42,path_structure,158.73384,7.0
2,42,perp_tradeability,1233.5264,32.0
2,42,residual,515.5337,10.0
2,42,trend,85.96933,7.0
2,42,volatility_term_structure,19.923403,4.0
3,42,asset_relative_funding,19.071482,6.0
3,42,asset_state,571.9278,47.0
3,42,compression,927.8678,48.0
3,42,context,170.77405,22.0
3,42,crowding,0.3432496,3.0
3,42,funding,123.50909,31.0
3,42,liquidity,118.39163,28.0
3,42,momentum,195.47723,27.0
3,42,open_interest,1903.0836,267.0
3,42,orderbook,152.6736,16.0
3,42,path_structure,554.544,58.0
3,42,perp_tradeability,3269.3506,232.0
3,42,residual,1671.8256,98.0
3,42,trend,171.4944,25.0
3,42,volatility,70.431915,11.0
3,42,volatility_term_structure,155.29137,29.0
4,42,asset_relative_funding,38.81794,12.0
4,42,asset_state,547.59033,65.0
4,42,compression,901.7498,65.0
4,42,context,318.2223,40.0
4,42,crowding,17.4658,6.0
4,42,funding,176.66621,60.0
4,42,liquidity,137.86702,40.0
4,42,momentum,232.14803,37.0
4,42,open_interest,2809.2734,488.0
4,42,orderbook,152.45766,20.0
4,42,path_structure,617.05756,104.0
4,42,perp_tradeability,3513.6826,370.0
4,42,residual,1918.3507,161.0
4,42,trend,324.38727,51.0
4,42,volatility,209.20743,40.0
4,42,volatility_term_structure,236.189,46.0
