canonical_key,source_tree,source_leaf,source_target,source_horizon,side,count,support_pct,mean_net_ret,shrunk_mean_net_ret,mean_uplift,shrunk_mean_uplift,tstat_net_ret,presence_freq,sign_consistency,support_score,diversity_score,cheap_score,rejection_reason,mean_baseline_ret,std_support_pct,unique_symbol_count,unique_day_count,max_single_symbol_share,max_single_day_share,discovery_count,accepted
(*)|(*)|(mark_perp_dislocation>0.0035472976&ob_imbalance_mkt_resid<=-0.002682209),30,2,returns_target,5,long,10624,0.12648673103711022,0.006747019886746105,0.006591901717563971,0.006485157006355749,0.0063360592271035025,27.470480433142566,1.0,1.0,0.9916743061921827,0.9711972891566265,0.9256346332461,,9.280177653179173e-05,0.01945116580507577,86,138,0.05760542168674699,0.014589608433734939,1,True
(*)|(*)|(mark_perp_dislocation>0.006377859&volume_price_corr_ts_resid>-0.11016763),73,6,returns_target,5,long,10643,0.12671294036407796,0.006464339182989093,0.006315979245804913,0.006761461909721855,0.00660628285184703,21.536112718972284,1.0,1.0,0.9904075339611633,0.978859344169877,0.9253347493159826,,9.280177653179173e-05,0.03173001054981626,101,138,0.04228131166024617,0.017100441604810675,1,True
(*)|(*)|(asset_vol_level_pct<=0.39280751&mark_perp_dislocation>0.0027961957),118,1,returns_target,5,long,10809,0.1286892955365328,0.006198434645973663,0.006058312694486781,0.006227526652935781,0.006086747046892382,23.05046187798157,1.0,1.0,0.9793399449954163,0.9814043852345268,0.9229193620927314,,9.280177653179173e-05,0.018917429233550487,81,138,0.03719122953094643,0.014154870940882597,1,True
(*)|(*)|(mark_perp_dislocation>0.0065665049&oi_z<=0.28236806),294,1,returns_target,5,long,10160,0.12096246115747741,0.006081623542965866,0.005935571104373987,0.006583817417674229,0.006425704607451505,21.680102860951774,1.0,1.0,0.9773897824818734,0.9807086614173228,0.9219992343194946,,9.280177653179173e-05,0.030154529218766744,99,138,0.03858267716535433,0.02214566929133858,1,True
(*)|(oiw_intensity_entry_dist_1d_atr>-0.77224571)|(asset_atr_level_pct<=0.7756725&mark_perp_dislocation>0.004565672),103,5,returns_target,5,long,10459,0.12452228161870632,0.0067501248712919905,0.0065925442178394736,0.006918294095350037,0.0067567875565660695,27.11421166328464,1.0,1.0,0.9973247770647553,0.9760493355005259,0.9186359001199034,,9.280177653179173e-05,0.01761525674605612,101,137,0.04790132899894827,0.0164451668419543,1,True
(*)|(*)|(mark_perp_dislocation>0.005811939&range_24h_pct<=0.064820968),79,1,returns_target,5,long,9804,0.11672401271534533,0.006181426215590092,0.006027720570682839,0.006332908683750654,0.006175436317434993,26.902709568898636,1.0,1.0,0.9536544712059338,0.9755201958384333,0.9183440402885098,,9.280177653179173e-05,0.01402311337284061,100,135,0.04895960832313342,0.020603835169318647,1,True
(*)|(loc_swing_range_pos_24<=0.20058621)|(mark_perp_dislocation>0.0072828974),80,1,returns_target,5,long,10851,0.12918933720667197,0.005512597406858585,0.005388450991966716,0.005807255509163023,0.005676473248349515,19.89162007690797,1.0,1.0,0.9765397116426369,0.9753478942032993,0.9180772056276318,,9.280177653179173e-05,0.03443452363892734,101,138,0.04930421159340153,0.024698184499124504,1,True
(*)|(*)|(log_oi_to_volume_1d>2.2635629&mark_perp_dislocation>0.0043058405),457,2,returns_target,5,long,10823,0.12885597609324587,0.005306058595044593,0.00518626137218167,0.005436175283377829,0.005313440358710218,20.375166895999993,1.0,1.0,0.9784065338778232,0.9744063568326712,0.9166605164808649,,9.280177653179173e-05,0.01957688111182694,100,138,0.051187286334657675,0.017832393975792293,1,True
(*)|(*)|(mark_perp_dislocation>0.0040694196&oi_z>0.07279402),129,6,returns_target,5,long,10503,0.12504613479694737,0.004876272928983748,0.004762902871116554,0.004616560976333234,0.004509229046259458,15.897945614744925,1.0,1.0,0.9997416451370946,0.9808626106826621,0.9162178366175159,,9.280177653179173e-05,0.03567694331977977,97,138,0.03827477863467581,0.020089498238598496,1,True
(*)|(*)|(direction_entropy_20>-0.17159823&mark_perp_dislocation>0.0068956325),256,2,returns_target,5,long,10123,0.1205219482575929,0.004960666358276611,0.004841109181995,0.005383540813084098,0.005253791926236415,16.055199063681865,1.0,1.0,0.9749229102425201,0.9847377259705621,0.9137834079580436,,9.280177653179173e-05,0.03865575831250966,100,138,0.030524548058875826,0.018769139583127533,1,True
