fold_id,seed,feature_index,feature_name,group,source_name,source_family,split_count
0,42,112,mark_vs_perp_bps,regime,mark_vs_perp_bps,perp_tradeability,110
0,42,30,asset_atr_level_pct,regime,asset_atr_level_pct,asset_state,65
0,42,153,range_expansion_ratio,regime,range_expansion_ratio,volatility_term_structure,16
0,42,53,loc_prior_bar_pos_48,location,loc_prior_bar_pos_48,context,24
0,42,77,loc_bb_channel_pos_48,location,loc_bb_channel_pos_48,compression,31
0,42,152,range_24h_pct,regime,range_24h_pct,compression,54
0,42,47,loc_range_pos_24,location,loc_range_pos_24,context,7
0,42,24,up_down_semivol_ratio_tanh,regime,up_down_semivol_ratio_tanh,path_structure,55
0,42,111,mark_perp_dislocation,regime,mark_perp_dislocation,perp_tradeability,81
0,42,51,loc_prior_bar_pos_24,location,loc_prior_bar_pos_24,context,31
0,42,173,xasset_funding_ts_resid,regime,xasset_funding_ts_resid,residual,31
0,42,45,loc_ema_stack_pos_48,location,loc_ema_stack_pos_48,trend,24
0,42,21,oiw_z_delta_entry_dist_14d_atr,location,oiw_z_delta_entry_dist_14d_atr,open_interest_location,39
0,42,64,compression_ratio,regime,compression_ratio,volatility_term_structure,26
0,42,36,asset_funding_rate_mean_3d,regime,asset_funding_rate_mean_3d,perp_tradeability,20
0,42,145,price_rv_15d_robust_z,regime,price_rv_15d_robust_z,open_interest,25
0,42,149,price_trend_7d_vol_norm,regime,price_trend_7d_vol_norm,open_interest,26
0,42,87,bars_in_high_vol_state_log_norm,location,bars_in_high_vol_state_log_norm,context,34
0,42,113,ob_depth_mkt_resid,regime,ob_depth_mkt_resid,residual,10
0,42,18,dist_funding_pressure_price_96h_atr,regime,dist_funding_pressure_price_96h_atr,perp_tradeability,46
0,42,76,ema50_slope,regime,ema50_slope,trend,16
0,42,41,zscore_price_200,location,zscore_price_200,context,58
0,42,105,funding_z,regime,funding_z,funding,4
0,42,72,efficiency_ratio_20,regime,efficiency_ratio_20,path_structure,13
0,42,151,prior_volatility,regime,prior_volatility,context,22
0,42,39,zscore_price_50,location,zscore_price_50,context,19
0,42,148,price_trend_15d_vol_norm,regime,price_trend_15d_vol_norm,open_interest,50
0,42,174,xasset_ob_liquidity_peer_resid,regime,xasset_ob_liquidity_peer_resid,residual,10
0,42,99,funding_persistence,regime,funding_persistence,funding,28
0,42,0,dist_oiw_signed_delta_12h_atr,regime,dist_oiw_signed_delta_12h_atr,perp_tradeability,27
0,42,10,donchian_zone_1d_atr,regime,donchian_zone_1d_atr,perp_tradeability,16
0,42,31,dist_range_mid_atr,location,dist_range_mid_atr,context,14
0,42,44,asset_minus_mkt_oi_1d_peer_resid,regime,asset_minus_mkt_oi_1d_peer_resid,residual,13
0,42,128,oi_rank,regime,oi_rank,open_interest,14
