canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,path_smoothness_term,path_survivability_term,path_stability_term,path_realized_profit_consistency_term,path_trajectory_smoothness_term,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,min_support_actual_pct,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,composite_score_step1,support_score,diversity_score,stage_b_score,stage_b_rejection_reason,top10_mean_ret,top10_net_ret,rule_type_class,production_classification,classification_diagnostics
(*)|(dist_ema200_atr<=0.026156409&dist_ema200_atr>-0.034226947&loc_bb_channel_pos_48>0.44594172)|(asset_funding_rate_abs_mean_7d>0.0000071017257&mark_perp_dislocation>-0.0023064781&range_24h_pct>0.037996221),*,dist_ema200_atr<=0.026156409&dist_ema200_atr>-0.034226947&loc_bb_channel_pos_48>0.44594172,asset_funding_rate_abs_mean_7d>0.0000071017257&mark_perp_dislocation>-0.0023064781&range_24h_pct>0.037996221,0.0017686912091448904,0.0017686912091448904,0.0009271380842919048,0.02302594743669033,0.12351855997996494,0.015166665595455148,1.0,1.0,0.625,554,,,0.02127553735653212,0.007967432512738378,0.02719777158079019,0.03557530790795748,,0.8,0.07066294892428718,1.744884642735633,0.8,0.13141054585576056,0.0032399313094023663,0.5088427585549653,0.40098788585103406,,,,,,,,,,,9.000197519807966e-05,0.0016786892339468108,5,1,1,6,6,stage_a_context,,long,6-way,True,,production,0.09555,0.07066294892428718,0.0032399313094023663,0.06408748626708985,1.0,primary_target,0,,0.9917039358878037,,0.43365217433768727,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0017686912091448904, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 554, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(pullback_depth>-1.0435908)|(asset_atr_level_pct<=0.9374783&bollinger_band_width<=0.002238977&return_autocorr_48<=-0.58146185),*,pullback_depth>-1.0435908,asset_atr_level_pct<=0.9374783&bollinger_band_width<=0.002238977&return_autocorr_48<=-0.58146185,0.0003840874982415698,0.0003840874982415698,0.0004173222345581829,0.025109905749559402,0.16095687202604556,0.03107660337865312,1.0,1.0,0.6796796796796797,877,,,0.0021049307811582796,0.007380779797553371,0.007381303051179039,0.007733916941953268,,0.8,0.06509507818624093,2.3039710278240317,1.0,0.12089017080143094,-0.002327939428643869,0.5333158254623414,0.3242339688148049,,,,,,,,,,,9.058180349065385e-05,0.000293505694750916,5,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.1315,0.06509507818624093,-0.002327939428643869,-0.015925788879394533,0.8246900475832712,primary_target,0,,0.49864151665414486,,0.27004843455115407,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0003840874982415698, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 877, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(mark_perp_dislocation>0.0035472976&ob_imbalance_mkt_resid<=-0.002682209),*,*,mark_perp_dislocation>0.0035472976&ob_imbalance_mkt_resid<=-0.002682209,0.006577958632260561,0.006577958632260561,0.0006908105218178076,0.02295200265944004,0.12287637615827698,0.01945116580507577,1.0,1.0,0.5220440881763527,415,,,0.11321442618011468,0.08054513337763675,0.1302758896762244,0.13698891214023812,,1.0,0.05912277556429354,1.5685041716730115,0.8,0.021998387388885023,-0.008300242050591263,0.057764822244644166,0.18282831530333912,,,,,,,,,,,8.500383331148797e-05,0.006492954798949073,5,1,1,2,2,stage_a_context,,long,2-way,False,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,production,0.10393188079138492,0.05912277556429354,-0.008300242050591263,0.0855290412902832,1.0,primary_target,0,,0.988107706486351,,0.6173477970397251,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.006577958632260561, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 415, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low|b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(mark_perp_dislocation>0.006377859&volume_price_corr_ts_resid>-0.11016763),*,*,mark_perp_dislocation>0.006377859&volume_price_corr_ts_resid>-0.11016763,0.006854263506829739,0.006854263506829739,0.0012418818227057041,0.029520851746201515,0.12042059103431002,0.03173001054981626,1.0,1.0,0.5015015015015015,349,,,0.0990785729644002,0.07643399114662577,0.11570862218947822,0.1189540223170866,,1.0,0.016109524552236954,0.5714852146598706,0.8,0.015222031250596046,-0.05131349306264784,-0.10149652920663357,0.0926867872118474,,,,,,,,,,,8.501782533850379e-05,0.006769245681491235,5,1,1,2,2,stage_a_context,,long,2-way,False,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,production,0.08740295517155021,0.016109524552236954,-0.05131349306264784,-0.06301193237304688,1.0,primary_target,0,,0.974355309792136,,0.613746262598035,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.006854263506829739, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 349, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low|b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(asset_vol_level_pct<=0.39280751&mark_perp_dislocation>0.0027961957),*,*,asset_vol_level_pct<=0.39280751&mark_perp_dislocation>0.0027961957,0.006320328265428543,0.006320328265428543,0.0009859191953504917,0.025649329647421837,0.1247664638116704,0.018917429233550487,1.0,1.0,0.508,416,,,0.1102808229001478,0.07897426859691441,0.12310324500185676,0.1300835677860196,,1.0,0.021471758975137503,0.44117997288403255,0.6,0.048356165178120136,-0.045951258639747306,-0.14011510610580444,0.1520555656382578,,,,,,,,,,,8.500004635827858e-05,0.006235328219070265,5,1,1,2,2,stage_a_context,,long,2-way,False,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,production,0.10418231905835211,0.021471758975137503,-0.045951258639747306,0.011553287506103516,1.0,primary_target,0,,0.9986921973453542,,0.6158224266281792,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.006320328265428543, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 416, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low|b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(mark_perp_dislocation>0.0065665049&oi_z<=0.28236806),*,*,mark_perp_dislocation>0.0065665049&oi_z<=0.28236806,0.006676619034260511,0.006676619034260511,0.0012308668664936552,0.02688963748514652,0.12020067117455546,0.030154529218766744,1.0,1.0,0.5195586760280843,464,,,0.09791484042003266,0.06630812888431463,0.10185499550467379,0.11028527489464882,,1.0,0.00842942034725387,0.297169383888948,0.6,0.03813038021326065,-0.05899359726763094,-0.0559267520904541,0.12282629880365836,,,,,,,,,,,8.501957852359854e-05,0.006591599455736913,5,1,1,2,2,stage_a_context,,long,2-way,False,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,production,0.0757,0.00842942034725387,-0.05899359726763094,-0.04228019714355469,1.0,primary_target,0,,0.9731237585775105,,0.6162670486068876,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.006676619034260511, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 464, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low|b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(oiw_intensity_entry_dist_1d_atr>-0.77224571)|(asset_atr_level_pct<=0.7756725&mark_perp_dislocation>0.004565672),*,oiw_intensity_entry_dist_1d_atr>-0.77224571,asset_atr_level_pct<=0.7756725&mark_perp_dislocation>0.004565672,0.007011095806956291,0.007011095806956291,0.0009484072435375396,0.02467251606285572,0.11998365890308038,0.01761525674605612,1.0,1.0,0.525,384,,,0.1119115861973079,0.1007239821744977,0.1223736599749212,0.12395251267145728,,1.0,0.0534231533063683,1.0618211075605835,0.6,0.06576116643846035,-0.013999864308516505,-0.00463295578956604,0.11472327438938026,,,,,,,,,,,7.001761457460044e-05,0.00694107819238169,5,1,1,3,3,stage_a_context,,long,3-way,False,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,production,0.09616829451540196,0.0534231533063683,-0.013999864308516505,0.05103368759155273,1.0,primary_target,0,,0.9719084898572501,,0.6104609099059736,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.007011095806956291, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 384, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low|b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(mark_perp_dislocation>0.005811939&range_24h_pct<=0.064820968),*,*,mark_perp_dislocation>0.005811939&range_24h_pct<=0.064820968,0.006425710814073682,0.006425710814073682,0.0017423840653002776,0.02185075506567955,0.1156384798397195,0.01402311337284061,1.0,1.0,0.541,439,,,0.10670840164203303,0.09699305714328377,0.11567284420877495,0.14020115284433965,,1.0,0.051556023916648486,1.5478844345486373,0.8,0.07299875095486641,-0.015866993698236305,0.0035968028008937837,0.1946734216818189,,,,,,,,,,,8.507449235075465e-05,0.006340636321722927,5,1,1,2,2,stage_a_context,,long,2-way,False,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,production,0.0973,0.051556023916648486,-0.015866993698236305,0.1277287483215332,1.0,primary_target,0,,0.9475754871024291,,0.6167646101518577,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.006425710814073682, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 439, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low|b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(loc_swing_range_pos_24<=0.20058621)|(mark_perp_dislocation>0.0072828974),*,loc_swing_range_pos_24<=0.20058621,mark_perp_dislocation>0.0072828974,0.0059000573121011255,0.0059000573121011255,0.0012799373875952806,0.02578635700047016,0.12294155522163785,0.03443452363892734,1.0,1.0,0.543,360,,,0.09279246274128439,0.05983473216842319,0.09748933982023428,0.1268540824285929,,1.0,-0.009111967993012985,-0.27057225456696504,0.6,-0.014313910901546479,-0.07653498560789779,-0.30756826549768446,0.07336823013564298,,,,,,,,,,,8.500360161566974e-05,0.005815053710485456,5,1,1,2,2,stage_a_context,,long,2-way,False,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,production,0.09015777610818933,-0.009111967993012985,-0.07653498560789779,-0.03348522186279297,1.0,primary_target,0,,0.988472709241172,,0.6161719396900627,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0059000573121011255, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 360, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low|b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
(*)|(*)|(log_oi_to_volume_1d>2.2635629&mark_perp_dislocation>0.0043058405),*,*,log_oi_to_volume_1d>2.2635629&mark_perp_dislocation>0.0043058405,0.005528977140784264,0.005528977140784264,0.0009454120672429616,0.024272945523262025,0.12486637615827698,0.01957688111182694,1.0,1.0,0.516,415,,,0.09280409036681232,0.0531883138819351,0.1063657240941622,0.11933890266703849,,1.0,0.028037135248878957,0.5118616688249197,0.6,0.03397373333573341,-0.03938588236600584,-0.22827156633138657,0.22212127969464485,,,,,,,,,,,8.500001517703142e-05,0.005443977125607232,5,1,1,2,2,stage_a_context,,long,2-way,False,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,production,0.10393188079138492,0.028037135248878957,-0.03938588236600584,0.0681386947631836,1.0,primary_target,0,,0.9992517064863511,,0.6117782377697104,b_sign_consistency_too_low|b_mask_ic_uplift_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.005528977140784264, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 415, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low|b_mask_ic_uplift_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}"
