feature_name,group,usage_count
mark_vs_perp_bps,regime,572
asset_atr_level_pct,regime,476
mark_perp_dislocation,regime,441
range_24h_pct,regime,396
ob_imbalance_mkt_resid,regime,252
ob_pressure_mkt_resid,regime,231
dist_prior_day_high,location,223
up_down_semivol_ratio_tanh,regime,218
zscore_price_200,location,212
dist_rolling_7d_high,location,190
price_rv_7d_robust_z,regime,177
price_trend_15d_vol_norm,regime,161
return_autocorr_48,regime,161
pullback_depth,location,149
dist_ema200_atr,location,129
loc_swing_range_pos_24,location,122
dist_local_swing,location,119
loc_bb_channel_pos_48,location,114
loc_swing_range_pos_48,location,108
prior_volatility,regime,107
asset_vol_level_pct,regime,105
oi_vol_15d_robust_z,regime,105
bars_in_high_vol_state_log_norm,location,103
trend_acceleration,regime,103
up_down_return_mass_ratio_tanh,regime,94
prior_range,regime,92
xasset_ob_liquidity_ts_resid,regime,86
price_trend_7d_vol_norm,regime,85
oiw_z_delta_entry_dist_14d_atr,location,84
funding_mean_10d_robust_z,regime,82
price_trend_10d_vol_norm,regime,82
asset_funding_rate_abs_mean_7d,regime,82
loc_prior_bar_pos_48,location,80
oi_value_log_1d_robust_z,regime,79
loc_prior_bar_pos_24,location,76
funding_mean_15d_robust_z,regime,75
funding_vol_7d_robust_z,regime,75
choppiness_index_20,regime,74
price_rv_15d_robust_z,regime,73
price_rv_10d_robust_z,regime,71
oiw_entry_zone_1d_atr,regime,70
loc_pullback_depth_48,location,63
oi_value_log_7d_robust_z,regime,60
rolling_range_20,regime,60
loc_session_pos_24,location,59
oi_chg_8h_mkt_resid,regime,59
oiw_pos_delta_entry_dist_14d_atr,location,59
asset_funding_rate_mean_3d,regime,58
funding_vol_10d_robust_z,regime,57
dist_funding_pressure_price_12h_atr,regime,54
oi_expansion_compression_balance_24h,regime,53
dist_oiw_intensity_96h_atr,regime,52
compression_score,regime,51
compression_ratio,regime,51
donchian_zone_1d_atr,regime,50
funding_persistence,regime,50
zscore_price_50,location,49
loc_pullback_depth_24,location,48
amihud_illiq,regime,47
loc_session_pos_48,location,47
loc_ema_stack_pos_48,location,46
loc_range_pos_48,location,46
log_oi_to_volume_1d,regime,45
dist_funding_pressure_price_96h_atr,regime,44
oi_expansion_compression_balance_96h,regime,43
atr_compression_ratio,regime,42
log_oi_to_volume_7d,regime,41
oi_to_volume_1d_z_90d,regime,41
funding_mean_7d_robust_z,regime,40
oi_trend_7d_robust_z,regime,40
range_expansion_ratio,regime,37
variance_ratio_10_48,regime,37
oi_value_z_90d,regime,37
volume_zscore_48h,regime,36
funding_mom_2h,regime,36
ema50_slope,regime,36
ob_spread_z_24h,regime,35
asset_funding_rate_mean_15d,regime,35
dist_oiw_signed_delta_12h_atr,regime,35
direction_entropy_20,regime,35
ob_depth_z_25bps,regime,34
loc_ema_stack_pos_24,location,34
volume_percentile,regime,33
dist_oiw_z_delta_96h_atr,regime,33
funding_mom_4h,regime,33
oiw_z_delta_entry_dist_7d_atr,location,32
asset_funding_rate_mean_7d,regime,32
oi_vol_7d_robust_z,regime,32
oiw_pos_delta_entry_dist_7d_atr,location,32
dist_oiw_abs_delta_12h_atr,regime,32
ob_depth_mkt_resid,regime,32
leverage_build,regime,31
oi_z,regime,30
asset_minus_mkt_oi_1d,regime,29
xasset_funding_ts_resid,regime,29
dist_ema20_atr,location,29
spike_score_surprise,regime,29
dist_prior_day_low,location,29
volume_price_corr_ts_resid,regime,28
oi_value_z_30d,regime,28
loc_prev_day_range_pos_24,location,27
asset_minus_mkt_oi_1d_peer_resid,regime,27
true_range_percentile,regime,27
dist_range_mid_atr,location,26
atr_percentile,regime,26
bollinger_band_width,regime,26
vol_z_peer_resid,regime,25
xasset_ob_liquidity_peer_resid,regime,25
oi_vol_10d_robust_z,regime,24
asset_minus_mkt_oi_1d_z_90d,regime,24
oiw_intensity_entry_dist_7d_atr,location,23
loc_initial_balance_pos_48,location,23
distance_to_ema,location,22
efficiency_ratio_20,regime,22
oi_rank,regime,22
leverage_build_score,regime,22
ob_depth_usd_l20_z,regime,22
funding_vol_15d_robust_z,regime,22
loc_pivot_ladder_pos_24,location,21
ob_depth_z_10bps,regime,20
xasset_asset_minus_basket_fund_z,regime,20
loc_prev_week_range_pos_48,location,20
loc_range_pos_24,location,20
loc_prev_day_range_pos_48,location,20
funding_per_hour_mkt_resid,regime,20
volume_trend_48,regime,19
loc_prev_week_range_pos_24,location,19
ema_slope_norm,regime,19
funding_per_hour,regime,19
oi_vel_2h,regime,19
oi_trend_10d_robust_z,regime,18
dist_ema50_atr,location,18
asset_minus_mkt_oi_7d,regime,18
loc_initial_balance_pos_24,location,18
volume_autocorr_48,regime,17
loc_bb_channel_pos_24,location,16
funding_rate,regime,15
oi_vel_4h,regime,15
exh_qual_surprise,regime,15
ob_spread_mkt_resid,regime,15
dist_ma100_atr,location,14
cs_rank_oi_value_z_30d,regime,14
volume_entropy_24,regime,14
oi_vel_8h,regime,14
loc_pivot_ladder_pos_48,location,14
oi_chg_2h,regime,14
funding_mom_w,regime,13
spectral_entropy_ret_24,regime,13
grind_score_surprise,regime,13
xasset_asset_minus_mkt_funding,regime,13
funding_abs_z,regime,13
rvol_z_peer_resid,regime,13
oi_chg_z_4h,regime,13
oiw_intensity_entry_dist_1d_atr,location,13
oiw_z_delta_entry_dist_1d_atr,location,12
oi_chg_z_8h,regime,12
asset_funding_z,regime,11
oi_chg_z_2h,regime,11
funding_1d_chg_peer_resid,regime,10
oiw_pos_delta_entry_dist_1d_atr,location,9
funding_per_hour_z,regime,9
fund_abs_z_mkt_resid,regime,8
ema20_slope_5h,regime,8
fund_rate_z_14d,regime,8
funding_rank_30d,regime,8
funding_z,regime,8
range_per_funding_abs_z_24h,regime,7
oi_chg_8h,regime,5
xasset_funding_peer_resid,regime,5
oi_chg_4h,regime,4
funding_mom_8h,regime,4
chop_score_surprise,regime,2
overext_surprise,regime,1
