phase,quantile,entry_offset_mode,tp_sl_ratio,sizing_mode,net_pnl,trades_per_day,sortino,maxdd,ulcer,tuw_max_days,expectancy_per_trade,win_rate
phase1_non_sizing_grid,0.3,optimizer,2:1,linear_5_15,-569.0116313597684,0.35443037974683544,-3.882482844004184,0.005568732315353375,0.2903369728647834,0.0,-20.321843977134588,0.0
phase1_non_sizing_grid,0.3,optimizer,3:2,linear_5_15,-569.0116313597684,0.35443037974683544,-3.882482844004184,0.005568732315353375,0.2903369728647834,0.0,-20.321843977134588,0.0
phase1_non_sizing_grid,0.3,optimizer,4:2,linear_5_15,-569.0116313597684,0.35443037974683544,-3.882482844004184,0.005568732315353375,0.2903369728647834,0.0,-20.321843977134588,0.0
phase1_non_sizing_grid,0.3,fixed_0_15,2:1,linear_5_15,-569.0033254405764,0.35443037974683544,-3.8824261688746473,0.005568649702568096,0.2903312401581001,0.0,-20.321547337163445,0.0
phase1_non_sizing_grid,0.3,fixed_0_15,3:2,linear_5_15,-569.0033254405764,0.35443037974683544,-3.8824261688746473,0.005568649702568096,0.2903312401581001,0.0,-20.321547337163445,0.0
phase1_non_sizing_grid,0.3,fixed_0_15,4:2,linear_5_15,-569.0033254405764,0.35443037974683544,-3.8824261688746473,0.005568649702568096,0.2903312401581001,0.0,-20.321547337163445,0.0
phase1_non_sizing_grid,0.1,optimizer,2:1,linear_5_15,-203.21916476517032,0.5263157894736842,-3.882496742715874,0.0019241096028715932,0.1038133093069403,0.0,-20.321916476517032,0.0
phase1_non_sizing_grid,0.1,optimizer,3:2,linear_5_15,-203.21916476517032,0.5263157894736842,-3.882496742715874,0.0019241096028715932,0.1038133093069403,0.0,-20.321916476517032,0.0
phase1_non_sizing_grid,0.1,optimizer,4:2,linear_5_15,-203.21916476517032,0.5263157894736842,-3.882496742715874,0.0019241096028715932,0.1038133093069403,0.0,-20.321916476517032,0.0
phase1_non_sizing_grid,0.1,fixed_0_15,2:1,linear_5_15,-203.21916476517032,0.5263157894736842,-3.882496742715874,0.0019241096028715932,0.1038133093069403,0.0,-20.321916476517032,0.0
phase1_non_sizing_grid,0.1,fixed_0_15,3:2,linear_5_15,-203.21916476517032,0.5263157894736842,-3.882496742715874,0.0019241096028715932,0.1038133093069403,0.0,-20.321916476517032,0.0
phase1_non_sizing_grid,0.1,fixed_0_15,4:2,linear_5_15,-203.21916476517032,0.5263157894736842,-3.882496742715874,0.0019241096028715932,0.1038133093069403,0.0,-20.321916476517032,0.0
phase1_non_sizing_grid,0.05,optimizer,2:1,linear_5_15,-106.98579688235337,1.0,-4.087921625745988,0.0009415757940578473,0.054328753601605016,0.0,-21.397159376470675,0.0
phase1_non_sizing_grid,0.05,optimizer,3:2,linear_5_15,-106.98579688235337,1.0,-4.087921625745988,0.0009415757940578473,0.054328753601605016,0.0,-21.397159376470675,0.0
phase1_non_sizing_grid,0.05,optimizer,4:2,linear_5_15,-106.98579688235337,1.0,-4.087921625745988,0.0009415757940578473,0.054328753601605016,0.0,-21.397159376470675,0.0
phase1_non_sizing_grid,0.05,fixed_0_15,2:1,linear_5_15,-106.98579688235337,1.0,-4.087921625745988,0.0009415757940578473,0.054328753601605016,0.0,-21.397159376470675,0.0
phase1_non_sizing_grid,0.05,fixed_0_15,3:2,linear_5_15,-106.98579688235337,1.0,-4.087921625745988,0.0009415757940578473,0.054328753601605016,0.0,-21.397159376470675,0.0
phase1_non_sizing_grid,0.05,fixed_0_15,4:2,linear_5_15,-106.98579688235337,1.0,-4.087921625745988,0.0009415757940578473,0.054328753601605016,0.0,-21.397159376470675,0.0
phase2_sizing_compare,0.05,optimizer,2:1,linear_5_15,-106.98579688235337,1.0,-4.087921625745988,0.0009415757940578473,0.054328753601605016,0.0,-21.397159376470675,0.0
phase2_sizing_compare,0.05,optimizer,2:1,convex_power,-94.46671069566251,1.0,-3.6095679875026403,0.0008380226139457214,0.04698896629094235,0.0,-18.893342139132503,0.0
phase2_sizing_compare,0.05,optimizer,2:1,concave_power,-115.09911105704484,1.0,-4.397930922472254,0.0010001730802888797,0.058583155120097985,0.0,-23.019822211408968,0.0
