canonical_key,rule_id,fold_id,seed,feature_index,feature_name,group,source_name,source_family,normalized_value
(*)|(*)|(reg_range_atr_hybrid_top60==1),50912fee15bf,0,42,36,reg_range_atr_hybrid_top60,regime,range_atr,range,1
(*)|(*)|(reg_range_atr_hybrid_top60==1),5d4723f0a897,0,123,36,reg_range_atr_hybrid_top60,regime,range_atr,range,1
(*)|(*)|(reg_range_atr_hybrid_top60==1),fa8871ae2c96,0,999,36,reg_range_atr_hybrid_top60,regime,range_atr,range,1
(*)|(*)|(reg_range_atr_hybrid_top40==1),58fbc6b30562,1,42,35,reg_range_atr_hybrid_top40,regime,range_atr,range,1
(*)|(*)|(reg_range_atr_hybrid_top40==1),524ab8492038,1,42,35,reg_range_atr_hybrid_top40,regime,range_atr,range,1
(*)|(*)|(reg_atr_compression_ratio_hybrid_top20==1),31ed48108611,1,42,2,reg_atr_compression_ratio_hybrid_top20,regime,atr_compression_ratio,atr,1
(*)|(*)|(reg_range_atr_hybrid_top40==1),4ffe8aab06c3,1,42,35,reg_range_atr_hybrid_top40,regime,range_atr,range,1
(*)|(*)|(reg_atr_compression_ratio_hybrid_top20==1),020e4b02d2a6,1,42,2,reg_atr_compression_ratio_hybrid_top20,regime,atr_compression_ratio,atr,1
(*)|(*)|(reg_range_atr_hybrid_top40==1),b13e6a58eb59,1,42,35,reg_range_atr_hybrid_top40,regime,range_atr,range,1
(*)|(*)|(reg_atr_compression_ratio_hybrid_top20==1),8ce8ab5b916a,1,42,2,reg_atr_compression_ratio_hybrid_top20,regime,atr_compression_ratio,atr,1
(*)|(*)|(reg_range_atr_hybrid_top40==1),c900a4d22f31,1,42,35,reg_range_atr_hybrid_top40,regime,range_atr,range,1
(*)|(*)|(reg_atr_compression_ratio_hybrid_top20==1),947868a8aa34,1,42,2,reg_atr_compression_ratio_hybrid_top20,regime,atr_compression_ratio,atr,1
(*)|(*)|(reg_range_atr_hybrid_top40==1),898c31638d9d,1,42,35,reg_range_atr_hybrid_top40,regime,range_atr,range,1
(*)|(*)|(reg_atr_compression_ratio_hybrid_top20==1),5e0a511d9c9c,1,42,2,reg_atr_compression_ratio_hybrid_top20,regime,atr_compression_ratio,atr,1
(*)|(*)|(reg_range_atr_hybrid_top40==1),163eb1083751,1,42,35,reg_range_atr_hybrid_top40,regime,range_atr,range,1
(*)|(*)|(reg_atr_compression_ratio_hybrid_top20==1),105f6e21d347,1,42,2,reg_atr_compression_ratio_hybrid_top20,regime,atr_compression_ratio,atr,1
(*)|(*)|(reg_range_atr_hybrid_top40==1),efe4d211461e,1,42,35,reg_range_atr_hybrid_top40,regime,range_atr,range,1
(*)|(*)|(reg_ema50_gt_ema200_hybrid_top20==1),9869aae968be,1,42,19,reg_ema50_gt_ema200_hybrid_top20,regime,ema50_gt_ema200,ema50,1
(*)|(*)|(reg_atr_compression_ratio_hybrid_top20==1),9c94bbae3f5c,1,42,2,reg_atr_compression_ratio_hybrid_top20,regime,atr_compression_ratio,atr,1
(*)|(*)|(reg_range_atr_hybrid_top40==1),ac969c562d96,1,42,35,reg_range_atr_hybrid_top40,regime,range_atr,range,1
(*)|(*)|(reg_ema50_gt_ema200_hybrid_top20==1),e5ed375e8818,1,42,19,reg_ema50_gt_ema200_hybrid_top20,regime,ema50_gt_ema200,ema50,1
(*)|(*)|(reg_volume_spike_hybrid_top20==1),95631d16f601,1,42,43,reg_volume_spike_hybrid_top20,regime,volume_spike,volume,1
(*)|(*)|(reg_atr_compression_ratio_hybrid_top20==1),b8d15146f369,1,42,2,reg_atr_compression_ratio_hybrid_top20,regime,atr_compression_ratio,atr,1
(*)|(*)|(reg_range_atr_hybrid_top40==1),83ba1f4dc34d,1,42,35,reg_range_atr_hybrid_top40,regime,range_atr,range,1
(*)|(*)|(reg_volume_spike_hybrid_top20==1),5aebd70e4a55,1,42,43,reg_volume_spike_hybrid_top20,regime,volume_spike,volume,1
(*)|(*)|(reg_ema50_gt_ema200_hybrid_top20==1),8e3165387d4a,1,42,19,reg_ema50_gt_ema200_hybrid_top20,regime,ema50_gt_ema200,ema50,1
(*)|(*)|(reg_atr_compression_ratio_hybrid_top20==1),587a0222d4ba,1,42,2,reg_atr_compression_ratio_hybrid_top20,regime,atr_compression_ratio,atr,1
(*)|(*)|(reg_volume_spike_hybrid_top20==1),546848f4f9b1,1,42,43,reg_volume_spike_hybrid_top20,regime,volume_spike,volume,1
(*)|(*)|(reg_range_atr_hybrid_top40==1),99929bd007b1,1,42,35,reg_range_atr_hybrid_top40,regime,range_atr,range,1
(*)|(*)|(reg_ema50_gt_ema200_hybrid_top20==1),ecc10f153224,1,42,19,reg_ema50_gt_ema200_hybrid_top20,regime,ema50_gt_ema200,ema50,1
(*)|(*)|(reg_volume_spike_hybrid_top20==1),2f6a699a013e,1,42,43,reg_volume_spike_hybrid_top20,regime,volume_spike,volume,1
(*)|(*)|(reg_range_atr_hybrid_top40==1),3943581c289b,1,42,35,reg_range_atr_hybrid_top40,regime,range_atr,range,1
(*)|(*)|(reg_atr_compression_ratio_hybrid_top20==1),853b131649ec,1,42,2,reg_atr_compression_ratio_hybrid_top20,regime,atr_compression_ratio,atr,1
(*)|(*)|(reg_volume_spike_hybrid_top20==1),e0cb12e60c48,1,42,43,reg_volume_spike_hybrid_top20,regime,volume_spike,volume,1
(*)|(*)|(reg_range_atr_hybrid_top40==1),6051593e92e0,1,42,35,reg_range_atr_hybrid_top40,regime,range_atr,range,1
(*)|(*)|(reg_ema50_gt_ema200_hybrid_top20==1),8ff8cf71f608,1,42,19,reg_ema50_gt_ema200_hybrid_top20,regime,ema50_gt_ema200,ema50,1
(*)|(*)|(reg_volume_spike_hybrid_top20==1),ac322efc74b4,1,42,43,reg_volume_spike_hybrid_top20,regime,volume_spike,volume,1
(*)|(*)|(reg_atr_compression_ratio_hybrid_top20==1),677c331ef69c,1,42,2,reg_atr_compression_ratio_hybrid_top20,regime,atr_compression_ratio,atr,1
